Provider Name,State,City,Payment
BRANDON ASTIN DMD LLC,AK,ANCHOR POINT,113026
ELIZABETH WATNEY,AK,ANCHOR POINT,724
A HAND UP BEHAVIOR SERVICES,AK,ANCHORAGE,1191
A JOINT EFFORT PHYSICAL THERAPY,AK,ANCHORAGE,23361
"AA PAIN CLINIC, INC.",AK,ANCHORAGE,69976
"ABBOTT FAMILY DENTISTRY, LLC",AK,ANCHORAGE,13986
"ACD1, LLC",AK,ANCHORAGE,12379
"ACHIEVEMENT THERAPY CENTER, LLC",AK,ANCHORAGE,61525
ADKINS CHIROPRACTIC PC,AK,ANCHORAGE,89786
"ADL, INC",AK,ANCHORAGE,554253
ADVANCE CHIROPRACTIC CLINIC P.C.,AK,ANCHORAGE,6301
ADVANCED FAMILY DENTAL CARE INC,AK,ANCHORAGE,181527
"ADVANCED PAIN CENTERS OF AK, INC.",AK,ANCHORAGE,37291
ADVANCED PHYSICAL THERAPY INC,AK,ANCHORAGE,216499
"ADVANCED SONOGRAMS OF ALASKA, INC.",AK,ANCHORAGE,385
AER MEDICAL LLC,AK,ANCHORAGE,6954
AESTHETICA MEDICAL SPA LLC,AK,ANCHORAGE,1356
"AGAPE LOVE ASSISTED LIVING HOME, LLC",AK,ANCHORAGE,22630
"AK CARE COMFORT & COMPANY, INC.",AK,ANCHORAGE,8901
ALASKA BREAST CARE AND SURGERY LLC,AK,ANCHORAGE,10555
ALASKA BREAST CARE SPECIALISTS PC,AK,ANCHORAGE,2631
"ALASKA CARDIOTHORACIC SURGERY, PC",AK,ANCHORAGE,23046
"ALASKA CENTER FOR EAR, NOSE AND THROAT",AK,ANCHORAGE,333283
"ALASKA CENTER FOR PEDIATRICS, LLC",AK,ANCHORAGE,17412
ALASKA CHILDREN'S SERVICES INC.,AK,ANCHORAGE,193338
ALASKA CHILDRENS EYE AND STRABISMUS LLC,AK,ANCHORAGE,8801
"ALASKA COLORECTAL SURGERY, PC",AK,ANCHORAGE,22337
"ALASKA DENTAL ARTS, LLC",AK,ANCHORAGE,116065
ALASKA DENTAL CARE,AK,ANCHORAGE,59614
"ALASKA EAR NOSE & THROAT, INC",AK,ANCHORAGE,5487
ALASKA EMERGENCY MEDICINE ASSOCIATES,AK,ANCHORAGE,520896
ALASKA EYE CARE CENTERS APC,AK,ANCHORAGE,22157
"ALASKA EYE SURGERY AND LASER CENTER, INC.",AK,ANCHORAGE,88794
"ALASKA FAMILY CARE ASSOCIATES, LLC",AK,ANCHORAGE,22060
ALASKA FAMILY DENTAL LLC,AK,ANCHORAGE,11211
"ALASKA FAMILY DERMATOLOGY, LLC",AK,ANCHORAGE,6163
"ALASKA FAMILY SONOGRAMS, INC",AK,ANCHORAGE,803
"ALASKA HAND REHABILITATION, INC.",AK,ANCHORAGE,81342
ALASKA HEARS LLC,AK,ANCHORAGE,374
ALASKA HEART INSTITUTE,AK,ANCHORAGE,1006630
"ALASKA INPATIENT NEUROLOGY SERVICES, LLC",AK,ANCHORAGE,6873
ALASKA INTERNAL MEDICINE & PEDIATRICS LLC,AK,ANCHORAGE,43981
ALASKA MEDICAL CENTER,AK,ANCHORAGE,15692
ALASKA MOBILITY TRANSIT LLC,AK,ANCHORAGE,10312
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,AK,ANCHORAGE,29132282
"ALASKA NEURODIAGNOSTIC AND REHABILITATION MEDICINE, INC.",AK,ANCHORAGE,584
ALASKA NEUROLOGY CENTER LLC,AK,ANCHORAGE,708384
ALASKA OB-GYN ASSOCIATES LLC,AK,ANCHORAGE,463
ALASKA ONCOLOGY AND HEMATOLOGY LLC,AK,ANCHORAGE,138361
ALASKA PAIN AND INJURY CLINIC INC,AK,ANCHORAGE,50
ALASKA PEDIATRIC SURGERY LLC,AK,ANCHORAGE,68534
ALASKA PEDIATRIC THERAPY LLC,AK,ANCHORAGE,333745
"ALASKA PHYSICAL THERAPY SPECIALISTS, LLC",AK,ANCHORAGE,3299
ALASKA PODIATRY ASSOCIATES A PROFESSIONAL CORPORATION,AK,ANCHORAGE,21026
"ALASKA RADIATION ONCOLOGY SPECIALISTS, INC",AK,ANCHORAGE,24084
ALASKA RADIOLOGY ASSOCIATES INC,AK,ANCHORAGE,696472
ALASKA RETINAL CONSULTANTS,AK,ANCHORAGE,393554
"ALASKA SPINE & PAIN CENTER, LLC",AK,ANCHORAGE,54561
ALASKA SPINE CENTER LLC,AK,ANCHORAGE,1205
ALASKA SURGERY CENTER LIMITED PARTNERSHIP,AK,ANCHORAGE,83696
"ALASKA SURGICAL GROUP, LLC",AK,ANCHORAGE,41686
ALASKA THERAPEUTIC & AQUATIC SPECIALISTS LLC,AK,ANCHORAGE,2693
ALASKA TRAUMA & ACUTE CARE SURGERY LLC,AK,ANCHORAGE,116199
ALASKA URGENT CARE LLC,AK,ANCHORAGE,8763
ALASKA UROLOGICAL INSTITUTE PC,AK,ANCHORAGE,429086
ALASKA UROLOGY LLC,AK,ANCHORAGE,241624
"ALASKA WOMEN'S HEALTH, PC",AK,ANCHORAGE,174806
ALASKA WOMENS CANCER CARE LLC,AK,ANCHORAGE,27209
"ALASKAN HOME HEALTH, INC",AK,ANCHORAGE,99578
