Provider Name,State,City,Payment
ABBEVILLE FIRE & RESCUE,AL,ABBEVILLE,12377
"ABBEVILLE PHARMACY, LLC",AL,ABBEVILLE,3381
"FAMILY PRACTICE CENTER OF ABBEVILLE, PA",AL,ABBEVILLE,22131
HENRY COUNTY NURSING HOME,AL,ABBEVILLE,978370
SOUTHERN EYE CARE INC,AL,ABBEVILLE,3033
"WHATLEY FAMILY DENTISTRY, LLC",AL,ABBEVILLE,30475
ACTON DENTAL ASSOCIATES PC,AL,ACTON,456871
ALBERT E SMITH & ASSOC PC,AL,ADAMSVILLE,19269
BROOKLERE INVESTMENT CO INC,AL,ADAMSVILLE,2220
"MARK J. RICHMAN, MD PC",AL,ADAMSVILLE,10764
"THOMAS L DUNN, DMD, LLC",AL,ADAMSVILLE,203455
DEG PHARMACY INC,AL,ADDISON,1244
HYATTS MARKET INC,AL,ADDISON,660
"JAMES ENTERPRISES, LLC",AL,ADDISON,15974
ALABAMA CARDIOVASCULAR SPECIALISTS,AL,ALABASTER,6890
"ALABAMA FAMILY MEDICINE, P.C.",AL,ALABASTER,10047
ALABAMA VASCULAR SOLUTIONS,AL,ALABASTER,32482
ALABASTER OPTICAL INC,AL,ALABASTER,172
ALABASTER PEDIATRICS LLC,AL,ALABASTER,31002
ALBRITTON & ARDOVINO FAMILY DENTISTRY,AL,ALABASTER,19306
ALCHEMY PHARMACY GROUP LLC,AL,ALABASTER,106
"AYE UNNOPPET D.O., P.C..",AL,ALABASTER,1683
"CAHABA VALLEY SURGICAL GROUP, PC",AL,ALABASTER,186157
CALLYN TEDIN DMD PC,AL,ALABASTER,27791
CANALES ORTHODONTICS LLC,AL,ALABASTER,33061
COMMUNITY CARE SOLUTIONS,AL,ALABASTER,19
DILIP V SHAH MD PC,AL,ALABASTER,5731
"DONALD WING KWONG, MD, LLC",AL,ALABASTER,6729
"DR. RODERICK C. WHITE, LLC",AL,ALABASTER,543
GENERATIONS RADIOTHERAPY & ONCOLOGY PC,AL,ALABASTER,52687
"HEART SOUTH CARDIOVASCULAR GROUP, PC",AL,ALABASTER,629765
HECKMAN EYE CARE LLC,AL,ALABASTER,7314
"HELENA FAMILY MEDICINE, LLC",AL,ALABASTER,12659
