Provider Name,State,City,Payment
ALMA HEALTHCARE AND REHABILITATION CENTER LLC,AR,ALMA,502430
ALMA SCHOOL DISTRICT NO 30,AR,ALMA,789
CENTER FOR CHILD DEVELOPMENT AND FAMILY EDUCATION LLC,AR,ALMA,35568
COLEMAN PHARMACY OF CRAWFORD COUNTY INC.,AR,ALMA,905
"CORNERSTONE MEDICAL GROUP, PLLC",AR,ALMA,28561
"F&S PHYSICAL THERAPY, INC",AR,ALMA,15478
"STEPPING STONE SCHOOL FOR EXCEPTIONAL CHILDREN, INC.",AR,ALMA,787756
WEBB EYE CARE PA,AR,ALMA,1907
"DR. CHESTER V. CLARK, JR., DDS, MPH, P.C.",AR,AMITY,14020
"RYAN A MOORE, DDS, PLLC",AR,ARKADELPHA,19040
ARKADELPHIA CLINIC FOR CHILDREN AND YOUN,AR,ARKADELPHIA,148941
"ARKADELPHIA PHYSICAL THERAPY CENTER, INC.",AR,ARKADELPHIA,10257
"ARKANSAS DENTAL PROFESSIONALS, MONGRAIN,",AR,ARKADELPHIA,1022019
"ARKANSAS EYE SURGERY, FRANK S. TEED, M.D., P.A.",AR,ARKADELPHIA,35198
"BRAY FAMILY MEDICINE, PLLC",AR,ARKADELPHIA,88792
"BYERS EYE CARE, PLLC",AR,ARKADELPHIA,562
CLARK PROGRESSIVE ELDERCARE SERVICES INC,AR,ARKADELPHIA,655708
COMPASSION WOMEN'S CLINIC PA,AR,ARKADELPHIA,396
"DAVID BELL, DDS",AR,ARKADELPHIA,35690
"DENTAL HEALTH ASSOCIATES OF ARKANSAS, P.",AR,ARKADELPHIA,413524
FEASTER TRAIL EMERGENCY PHYSICIANS LLC,AR,ARKADELPHIA,24079
GARY GEHRKI,AR,ARKADELPHIA,7251
"GROUP LIVING, INC.",AR,ARKADELPHIA,117657
JOHN BOMAR,AR,ARKADELPHIA,548
"MIRANDA M. CHILDS, D.D.S.",AR,ARKADELPHIA,133629
PHARMACY CARE OF ARKANSAS LLC,AR,ARKADELPHIA,69
"R DAN BOST, OD, PA",AR,ARKADELPHIA,3078
ROBERT ANTHONY DORMAN MD PA,AR,ARKADELPHIA,14444
ROSS DENTAL LLC,AR,ARKADELPHIA,17784
"SCOTT BYRD, DDS",AR,ARKADELPHIA,13480
THE PLAZA AT TWIN RIVERS,AR,ARKADELPHIA,38051
TWIN RIVERS HEALTH AND REHAB LLC,AR,ARKADELPHIA,688177
"AFNC, INC.",AR,ASH FLAT,742329
ANTHONY DONCHEFF,AR,ASH FLAT,800
