Provider Name,State,City,Payment
"GUY W MENDIVIL, D.D.S., PROF DENTAL CORP",AS,BAKERSFIELD,27075
NORMAN N HOFFMAN MD INC,AS,BEVERLY HILLS,240463
GLENN ONG-VELOSO A DENTAL CORPORATION,AS,CALIFORNIA CITY,95285
"CHRISTOPHER N SPELLMAN, MD, INC",AS,CARLSBAD,27409
JENIFER B LABRADOR DDS INC,AS,CARSON,179183
"NORCO VALLEY OPTOMETRY, INC",AS,CHINO HILLS,435
P.R.I.M.A. INC,AS,CUMBERLAND,220884
PACIFIC PSYCHOLOGICAL ASSOCIATES,AS,EL SEGUNDO,8745
RIES ORTHODONTICS INC.,AS,ELLISVILLE,23213
"RANCHO SANTA FE PHYSICIAN CONSULTANTS, INC",AS,ENCINITAS,8633
CROSSROADS COUNSELING & TRAINING SERVICE,AS,FAIRBANKS,96547
PORTLAND CENTER FOR COUNSELING AND FAMILY THERAPY,AS,FALMOUTH,3552
PRECIOUS PALMS IN-HOME,AS,FLORISSANT,7922
CALIFORNIA SLEEP AND NEUROLOGY ORGANIZATION FOR WELLNESS,AS,FULLERTON,2968
"GABRIEL AKOPIAN, M.D., INC.",AS,GLENDALE,11595
GARY K KEVORKIAN,AS,GLENDALE,125620
"KHODAVERDIAN,KHACHATOORIAN,DDS,INC",AS,GLENDALE,61047
"JOANNE C. LEWIS PEDIATRIC DENTISTRY, LLC",AS,HOPE VALLEY,46038
AMH COMPREHENSIVE MEDICAL CENTERS,AS,LOS ANGELES,15588
ANDREI SOUCHITSKI DDS,AS,LOS ANGELES,50277
ROSEMARIE QUIMSON-CRUZ DMD INC,AS,LOS ANGELES,7542
SERRANO EYE CENTER MEDICAL GROUP,AS,LOS ANGELES,327067
ADULTDAYCARECENTERSCORP,AS,MIAMI  FLORIDA,35638
CENTRAL COAST URGENT CARE,AS,MORRO BAY,79550
"KENNETH SHANAHAN DDS, MS, INC.",AS,NAPA,35344
AKHPARIAN INC.,AS,NORTH HOLLYWOOD,3565
PATRICK YOSHIKANE DDS INC.,AS,ORANGE,104152
AMERICAN SAMOA MEDICAL CENTER,AS,PAGO PAGO,4896492
HOPE DIALYSIS CENTER. INC.,AS,PAGO PAGO,28033
FOREVER ACTIVE INC,AS,PASADENA,18963
GREGORY C MAR DMD INC,AS,PASADENA,25001
JOE HUNG LONG NGUYEN,AS,POWAY,16477
"LYLE J YEE, DDS",AS,ROHNERT PARK,38817
"GREAT EXPECTATIONS SERVICES, INC",AS,SAN CLEMENTE,40264
AMBROSIO DENTAL CORPORATION,AS,SAN DIEGO,81594
"JAY THOMAS GOLINVEAUX, DDS, INC.",AS,SAN FRANCISCO,6238
"BARRY JONES, DDS",AS,SAN MARCOS,64115
VIDA NAMAVAR DDS INC,AS,SAN MARCOS,5605
KEN CASSORLA CHIROPRACTIC CORPORATION,AS,SANTA CRUZ,2396
SHEILA COONERTY,AS,SANTA CRUZ,4321
"KRISTINA ZOULAS, DDS, INC.",AS,SOUTH SAN FRANCISCO,22285
"EXCEL HOME CARE, INC.",AS,ST LOUIS,98267
BASIM Z. ABDELKARIM MD INC,AS,UPLAND,46402
WALNUT HILLS FAMILY DENTISTRY,AS,WALNUT,9110
"PREMIER SPECIALTY SURGICAL CENTER, LLC",AS,WEST HILLS,802583
DRS STADELMANN AND GULINO INC,AS,WESTERLY,20327
BOLSA EXPRESS PHARMACY,AS,WESTMINSTER,30000
ROXANNE DIXON,AS,XENIA OH,529
