Provider Name,State,City,Payment
DESERT DREAMS ANESTHESIA PLLC,AZ,AHWATUKEE,11457
"AJO AMBULANCE, INC",AZ,AJO,492980
AJO COMMUNITY HEALTH CENTER,AZ,AJO,357246
DANIEL BRAY,AZ,AJO,347
ALLIANCE MEDICAL CLINIC LLC,AZ,ANTHEM,38213
"ANGEL PEDIATRICS, PLLC",AZ,ANTHEM,33609
"ANTHEM EYE CARE, P. C.",AZ,ANTHEM,1650
ANTHEM PAIN MANAGEMENT LLC,AZ,ANTHEM,4360
ANTHEM PHYSICAL MEDICINE LLC,AZ,ANTHEM,8784
"APPLIED HEARING SOLUTIONS, LLC",AZ,ANTHEM,241
CHRISTINE A SMITH PLLC,AZ,ANTHEM,123
"DAISY MOUNTAIN DENTISTRY, LLC",AZ,ANTHEM,16501
DAISY MOUNTAIN FIRE DISTRICT,AZ,ANTHEM,41692
GLOBAL GREEN LLC,AZ,ANTHEM,560
GREGORY B SHEPPARD DDS PLLC,AZ,ANTHEM,113494
HARPER PHYSICAL THERAPY INC,AZ,ANTHEM,21362
"I DRS, INC.",AZ,ANTHEM,1731
"INDEPENDENT HOSPITALISTS, PLLC",AZ,ANTHEM,216747
JH DENTAL PLLC,AZ,ANTHEM,27975
LAKESIDE FAMILY PHYSICIANS,AZ,ANTHEM,11849
MEDSCOPE LABORATORIES LLC,AZ,ANTHEM,17128
"OPTIMAL HEALTH & HEALING, PLLC",AZ,ANTHEM,2950
ORTHOPEDIC & SPORT REHAB SPECIALIST,AZ,ANTHEM,175738
PLACIDO LLC,AZ,ANTHEM,32143
SUMMIT ANESTHESIA SERVICES PLLC,AZ,ANTHEM,141787
TAP DENTAL PLLC,AZ,ANTHEM,19505
WALK IN MEDICAL PLLC,AZ,ANTHEM,10288
WILLIAM D FISHCO DPM PC,AZ,ANTHEM,14649
"WOOD ORTHODONTICS, PC",AZ,ANTHEM,253944
"KLITZKE FAMILY CHIROPRACTIC & REHAB, LLC",AZ,APACHE JCT,4058
ARIZONA SKIN AND LASER THERAPY INSTITUTE LTD,AZ,APACHE JUNCTION,523380
CENTRAL ARIZONA COUNCIL ON DEVEL DISABIL,AZ,APACHE JUNCTION,103943
