Provider Name,State,City,Payment
ARTURO CORDOVA,CA,ACTON,1218
"ELITE HOME CARE, INC.",CA,ACTON,118535
"JAMES A. SCHAUBEL, DDS",CA,ACTON,12031
PHILIP PINTO,CA,ACTON,2120
SANTIAGO PHYSICAL THERAPY INC,CA,ACTON,3337
THE BAIDEN GROUP INC,CA,ACTON,1679
BRYAN D. VANESIAN OD A PROFESSIONAL OPTOMETRY CORPORATION,CA,ADELANTO,435
HEMANSHU PATEL,CA,ADELANTO,74
ODOCHI N NWAGWU MD INC,CA,ADELANTO,25979
ANALUISA OROZCO,CA,ADIN,1128
SOUTHERN CASCADES COMMUNITY SERVICES DISTRICT,CA,ADIN,24664
AARON GLUCKSMAN MD INC,CA,AGOURA,341
BRITTANY LAMOUREUX DMD,CA,AGOURA,67600
FAYE BROWNFIELD,CA,AGOURA,1468
GEORGE HARRIS,CA,AGOURA,977
PAUL KONIKOFF,CA,AGOURA,5026
AARON CHOROOMI DDS INC,CA,AGOURA HILLS,25024
AFRAMIAN AND SHAMOEIL DENTAL,CA,AGOURA HILLS,16113
AGOURA HILLS HEALTH CARE,CA,AGOURA HILLS,1591
AKIKUR MOHAMMAD,CA,AGOURA HILLS,2140
ALAN M FINK,CA,AGOURA HILLS,6211
ALISON LEE,CA,AGOURA HILLS,1278
ANITA P. SINGH-CRAIGHEAD,CA,AGOURA HILLS,44637
"ARMOND AGHAKHANI DENTAL PRACTICE, APC",CA,AGOURA HILLS,20438
BARRY J WALLMAN MD,CA,AGOURA HILLS,9360
BENTE BERMAN MD INC,CA,AGOURA HILLS,35513
BRANDI STOOPS,CA,AGOURA HILLS,1864
"CENTURION SURGICAL CENTER, INC.",CA,AGOURA HILLS,60722
"CHANGRUI LIU, D.D.S., INC., A PROFESSIONAL CORPORATION",CA,AGOURA HILLS,295710
CHARLES D STEWART DMD,CA,AGOURA HILLS,925
CHRISTOPHER C HAIR OPTOMETRIC,CA,AGOURA HILLS,656
CLASSIC SLEEPCARE LLC,CA,AGOURA HILLS,86653
DEBRA NINO,CA,AGOURA HILLS,1735
DIANE WOODS,CA,AGOURA HILLS,187
DILIP ANMANGANDLA MD INC,CA,AGOURA HILLS,8302
ELIZABETH MALLEN,CA,AGOURA HILLS,9783
"ESTEEM DERMATOLOGY MEDICAL GROUP, INCORPORATED",CA,AGOURA HILLS,175
FAMILY PSYCHOLOGICAL SERVICES INC,CA,AGOURA HILLS,7042
GARFINKLE DENTAL CORP,CA,AGOURA HILLS,23274
"HILLTOP DENTAL OFFICE OF DR. GEORGE APELIAN DDS, INC.",CA,AGOURA HILLS,10907
JEFFREY TSENG MD INC,CA,AGOURA HILLS,15717
JMG INVESTMENTS INC.,CA,AGOURA HILLS,174423
JUDITH PABST DDS INC & SHOHREH SELKI DDS,CA,AGOURA HILLS,16755
KARIN HART,CA,AGOURA HILLS,1867
"KATHLEEN S CARSON DDS, INC",CA,AGOURA HILLS,32815
KATI ASGARIFAR DDS INC,CA,AGOURA HILLS,5140
KELLEY MAY MESA,CA,AGOURA HILLS,14
KESHISHIAN CHIROPRACTIC INC.,CA,AGOURA HILLS,2058
LAURA LAPIANA PSY D A PROF CORP,CA,AGOURA HILLS,1981
LAYA TAMAR,CA,AGOURA HILLS,1856
LISA HARRIS,CA,AGOURA HILLS,577
LURIE PHYSICAL THERAPY PC,CA,AGOURA HILLS,46709
"M. NATALIE DIANATI, DDS, INC.",CA,AGOURA HILLS,19275
MELINDA GARABEDIAN,CA,AGOURA HILLS,3992
