Provider Name,State,City,Payment
AGATE FIRE PROTECTION DISTRICT,CO,AGATE,504
"AKRON DENTAL CLINIC, LLC",CO,AKRON,22092
WASHINGTON COUNTY NURSING HOME,CO,AKRON,386504
ALAMOSA EYE CARE LLC,CO,ALAMOSA,3824
ALAMOSA FAMILY DENTAL LLC,CO,ALAMOSA,89421
"BLUE PEAKS DEVELOPMENTAL SERVICES, INC",CO,ALAMOSA,84671
CHRISTOPHER T OFFUTT,CO,ALAMOSA,20193
COUNTY OF ALAMOSA,CO,ALAMOSA,68905
"EVA S MEJIA, DDS, LLC",CO,ALAMOSA,49659
HEALTHY MOOSE ENTERPRISES,CO,ALAMOSA,26357
"HOSPICE DEL VALLE, INC.",CO,ALAMOSA,30541
LIVING PROOF LLC,CO,ALAMOSA,1389
LUTHERAN HOSPITAL ASSOC OF THE SAN LUIS VALLEY,CO,ALAMOSA,11056089
"ROCK CREEK FAMILY MEDICINE, P.C.",CO,ALAMOSA,12573
SAN LUIS VALLEY COMMUNITY MENTAL HEALTH CENTER,CO,ALAMOSA,614920
"VALLEY-WIDE HEALTH SYSTEMS, INC",CO,ALAMOSA,2465581
WILEY CHIROPRACTIC GROUP P. C.,CO,ALAMOSA,913
ACCELERATE PHYSICAL THERAPY PC,CO,ARVADA,3659
"ACTING UP SEMINARS, LLC",CO,ARVADA,39264
"ADVANCED DENTAL ARTS, P.C.",CO,ARVADA,35253
ALL STAR PHYSICAL THERAPY INC,CO,ARVADA,4002
AMERICAN MEDICAL RESPONSE OF COLORADO INC,CO,ARVADA,840679
ANIMAL ASSISTED THERAPY PROGRAMS OF COLORADO,CO,ARVADA,10733
ANNIE CHANG,CO,ARVADA,13644
"ARVADA DENTAL EXCELLENCE, PC",CO,ARVADA,46344
"ARVADA EYE CARE, LLC",CO,ARVADA,52411
ARVADA FIRE PROTECTION DISTRICT,CO,ARVADA,158852
"ARVADA MODERN DENTISTRY, LLP",CO,ARVADA,43435
"ARVADA PEDIATRIC ASSOCIATES, P.C.",CO,ARVADA,134990
ARVADA PHARMACY AND MEDICAL SUPPLY,CO,ARVADA,28938
"ARVADA SMILES DENTISTRY, LLP",CO,ARVADA,38191
ARVADA SPORT AND SPINE GROUP,CO,ARVADA,1704
"ARVADA THERAPY SOLUTIONS, PLLC",CO,ARVADA,2045
"ARVADA VISION & EYE CLINIC, P. C.",CO,ARVADA,4921
"ARVADA WEST DENTAL, P.C.",CO,ARVADA,68746
BENDER AND CALLENDER DDS PLLC,CO,ARVADA,4575
BENEDICTION INC,CO,ARVADA,1005
BIANUCCI ENTERPRISES LLC,CO,ARVADA,85833
"BOBERIAN BASIX, INC",CO,ARVADA,711
BREATHE DENTAL LLC,CO,ARVADA,10133
BRETT P FLOWER DDS PC,CO,ARVADA,69429
"BRYAN P SAVAGE, DDS, PC",CO,ARVADA,59645
CARIN' CLINIC,CO,ARVADA,4845
CAROL RAMATOWSKI,CO,ARVADA,2047
CASA DE ADULT DAY CARE INC.,CO,ARVADA,15991
CENTER FOR ADVANCED DERMATOLOGY LLC,CO,ARVADA,103987
CHRISTOPHER R STULL DC PC,CO,ARVADA,4119
"CLAUDIA B. WYRICK, M.D., PROF. LLC",CO,ARVADA,941
COLORADO NUTRITION COUNSELING LLC,CO,ARVADA,125
COLORADO REGIONAL ORAL SURGERY ASSOC,CO,ARVADA,88443
COLORADO SURGICAL SERVICE PC,CO,ARVADA,239735
COLORADO VISTING NURSE ASSOCIATION,CO,ARVADA,232293
COLORADO VNA LLC,CO,ARVADA,354364
COMFORT DENTAL,CO,ARVADA,56816
COMFORT DENTAL OF NORTH ARVADA,CO,ARVADA,53728
COMPREHENSIVE REHABILITATION & PAIN SPECIALISTS PLLC,CO,ARVADA,38185
CREATIVE TREATMENT OPTIONS INC,CO,ARVADA,38299
CYNTHIA TARKANIAN,CO,ARVADA,9742
D MALCOLM STRANGE DDS MSD PC,CO,ARVADA,23511
DARRELL GORMAN,CO,ARVADA,8079
