Provider Name,State,City,Payment
"ABINGTON FAMILY HEALTHCARE, LLL",CT,ABINGTON,12328
"HEBRON MEDICAL ASSOCIATES, LLC",CT,AMSTON,5160
PSYCHOTHERAPY ASSOCIATES OF CT LLC,CT,AMSTON,423
ANDOVER VOLUNTEER FIRE DEPARTMENT INC,CT,ANDOVER,1603
LAURA A VODOPIVEC OD LLC,CT,ANDOVER,4500
"NETWORK, INC.",CT,ANDOVER,434189
STEVEN M. LOVELACE,CT,ANDOVER,20992
ANSONIA PODIATRY ASSOCIATES LLC,CT,ANSONIA,145173
BRUCE BRENNAN,CT,ANSONIA,1929
CARDIOLOGY ASSOCIATES OF DERBY PC,CT,ANSONIA,22604
"CHILDRENS MEDICAL ASSOCIATES, PC",CT,ANSONIA,41210
CITY OF ANSONIA,CT,ANSONIA,14493
CONNECTICUT CHIROPRACTIC SPECIALISTS LLC,CT,ANSONIA,248
EFFECTIVE HEALTHCARE MEDICAL P.C.,CT,ANSONIA,2977
"ELIZABETH C RODRIGUEZ, LCSW",CT,ANSONIA,3745
JOEL ZARETZKY M.D.P.C.,CT,ANSONIA,4572
"PATRICK M. KEENAN, PLLC",CT,ANSONIA,638
"RICHARD B. KAPLAN,DDS,PC",CT,ANSONIA,15403
ROXANA JAFARIAN DDS LLC,CT,ANSONIA,11682
"THE HEARING CENTER, LLC",CT,ANSONIA,27
THOMAS DUFFY,CT,ANSONIA,835
ANTERO INC,CT,ASHFORD,40
ASHFORD VOLUNTEER FIRE DEPARTMENT INCORPORATED,CT,ASHFORD,3629
NEW ENGLAND CENTER FOR HEALTH AND NUTRITION LLC,CT,ASHFORD,1830
ADVANCED 6 HEALTH CARE LLC,CT,AVON,8077
ARNOLD KOFF,CT,AVON,6016
AVON CENTER DENTISTRY,CT,AVON,34935
AVON CHIROPRACTIC HEALTH CENTER,CT,AVON,5881
"AVON CONVALESCENT HOME, INC.",CT,AVON,1074785
AVON EYE CARE LLC,CT,AVON,1412
AVON FAMILY AND COSMETIC DENTISTRY LLC,CT,AVON,23438
"AVON FAMILY DENTISTRY, INC.",CT,AVON,43022
AVON FAMILY HEALTH LLC,CT,AVON,1396
AVON FOOT CARE PC,CT,AVON,3082
"AVON MEDICAL PROFESSIONALS, LLC",CT,AVON,50330
AVON ORAL AND MAXILLOFACIAL SURGERY,CT,AVON,62162
AVON PEDIATRICS LLC,CT,AVON,52831
