Provider Name,State,City,Payment
DUDKO CHIROPRACTIC LLC,DC,LORTON,215
PRUDENT MEDICAL ASSOCIATES,DC,NE WASHINGTON DC,14573
DIVINE CONNECT CARE INC.,DC,NORTHWEST,38638
EZE-DENTAL LLC,DC,NW WASHINGTON,2357
"GEORGETOWN ORAL AND MAXILLOFACIAL SURGERY, PLLC",DC,WAHINGTON,19228
1ST NEEDS MEDICAL,DC,WASHINGTON,839
"360 SUPPORT, INC",DC,WASHINGTON,5113
4900 DENTAL PLLC,DC,WASHINGTON,49732
A GREAT SMILE DENTAL CENTER LLC,DC,WASHINGTON,5544
"A-ALWAYS ENTERPRISES, INC.",DC,WASHINGTON,23483
AANANTHA RAO M.D. FACC PC,DC,WASHINGTON,16842
ABA INC,DC,WASHINGTON,263961
ABBAS MOTAZEDI,DC,WASHINGTON,36764
"ABC CARDIOLOGY CONSULTANTS, HERMAN GIST MD, P.C.",DC,WASHINGTON,23498
"ABDUL K JADUN, PC",DC,WASHINGTON,14397
"ABDUL Q AHAD, MD, PC",DC,WASHINGTON,14093
ABEL ORAL SURGERY ASSOCIATES PLLC,DC,WASHINGTON,56199
ABHA LOKHANDE,DC,WASHINGTON,214
ABRAHAM AND LAURA LISNER HOME FOR AGED WOMEN,DC,WASHINGTON,590754
ACCENT ON HEALTH LLC,DC,WASHINGTON,19788
ACE LIPSON,DC,WASHINGTON,8
ADAMS MORGAN COSMETIC DENTISTRY,DC,WASHINGTON,22600
ADAMS MORGAN FAMILY DENTISTRY,DC,WASHINGTON,48592
ADELE NATTER,DC,WASHINGTON,800
ADORN MEDICAL CARE SERVICES,DC,WASHINGTON,13540
"ADVANCED CHIROPRACTIC & SPORTS THERAPY, INC",DC,WASHINGTON,380
ADVANCED COSMETIC DENTISTRY PLLC,DC,WASHINGTON,246400
ADVANCED PERIODONTICS OF WASHINGTON,DC,WASHINGTON,45876
"AKOMA COUNSELING CONCEPTS, LLC",DC,WASHINGTON,789
AKOMA MODALITIES TO BETTER BEHAVIORAL HEALTH,DC,WASHINGTON,1069
ALAN BIRNKRANT,DC,WASHINGTON,7696
ALAN HELIG,DC,WASHINGTON,67850
"ALAN K. KUWABARA, DDS PLLC",DC,WASHINGTON,133380
ALAN MORRISON DO LLC,DC,WASHINGTON,13963
ALAN STONE,DC,WASHINGTON,5
"ALFRED C. BURRIS, M.D., P.C.",DC,WASHINGTON,31723
ALI SAFAYAN MD PC,DC,WASHINGTON,2176
"ALLAN TSAI, DDS",DC,WASHINGTON,21887
ALLEN A FLOOD MD,DC,WASHINGTON,22005
ALLIANCE HOME HEALTHCARE & EQUIPMENT SERVICES INC,DC,WASHINGTON,198996
ALWAYS SMILE DC LLC,DC,WASHINGTON,153135
"AMANDA ROMSA POLACK, DMD, MS, PC",DC,WASHINGTON,9781
"AMAZING GRACE SUPPORTS, INC",DC,WASHINGTON,67758
AMAZING LOVE HEALTH SERVICES,DC,WASHINGTON,1242238
AMERICAN HEALTH CARE SERVICES INC,DC,WASHINGTON,54345
"AMJAD M. RASUL, M.D., P.A.",DC,WASHINGTON,72567
ANASTASIA GYFTOPOULOS,DC,WASHINGTON,31936
ANCA G ZINNES MD LLC,DC,WASHINGTON,368
"ANCHOR MENTAL HEALTH ASSOCIATION, INC.",DC,WASHINGTON,89778
ANDRE S MICHALAK MD PC,DC,WASHINGTON,24447
ANDREW ADELSON,DC,WASHINGTON,24521
ANDREW C COBB DDS PC,DC,WASHINGTON,107686
ANDREW CARROLL,DC,WASHINGTON,4783
"ANDREW M. LASKY, D.D.S.P.C.",DC,WASHINGTON,74304
ANDROMEDA TRANSCULTURAL HEALTH,DC,WASHINGTON,15980
ANN REIFMAN,DC,WASHINGTON,2575
ANNE CINQUE,DC,WASHINGTON,323
ANNE MCKNIGHT,DC,WASHINGTON,153
ANTHONY A JIMENEZ PH.D. PLLC,DC,WASHINGTON,345
APEX METRO PRIMARY CARE GROUP LLC,DC,WASHINGTON,14096
APRILMAY COMPANY INC,DC,WASHINGTON,9443
"AQUILA RECOVER, INC",DC,WASHINGTON,59279
ARIEL RAD,DC,WASHINGTON,648
ARLENE LEVINSON,DC,WASHINGTON,1354
ART ENABLES,DC,WASHINGTON,57586
ARTURO HERNANDEZ,DC,WASHINGTON,129
ASAP SERVICES CORPORATION,DC,WASHINGTON,5562
"ASCENSIONS COMMUNITY SERVICES, INC.",DC,WASHINGTON,206
ASHESH D PATEL MD PC,DC,WASHINGTON,7138
AVRAHAM STRULSON RPT INC,DC,WASHINGTON,354
"B & W STAT LABORATORY, INC.",DC,WASHINGTON,205713
"BABAK NOOHI DDS, MS, PLLC",DC,WASHINGTON,16520
BARBARA PUPLAMPU,DC,WASHINGTON,5525
BARBARA T ROBERTS PHD PLLC,DC,WASHINGTON,33
BARRY SMITH,DC,WASHINGTON,5824
"BAUMAN & STOLERU, M.D., P.C",DC,WASHINGTON,6275
BELLEVUE PHARMACY LLC,DC,WASHINGTON,19
BENNING ROAD PRIMARY CARE AND PHYSICIAN WEIGHT LOSE PC,DC,WASHINGTON,17694
BERHAN HOME HEALTH CARE AGENCY INC,DC,WASHINGTON,453384
"BERNICE D JACKSON MD CARDIOLOGY SERVICES, PLLC",DC,WASHINGTON,10260
BERTHIE M LABISSIERE,DC,WASHINGTON,1882
BETH HOROWITZ MD PLLC,DC,WASHINGTON,1413
"BIO-MEDICAL APPLICATIONS OF ANACOSTIA, INC.",DC,WASHINGTON,72087
"BIO-MEDICAL APPLICATIONS OF COLUMBIA HEIGHTS, INC.",DC,WASHINGTON,289825
"BIO-MEDICAL APPLICATIONS OF NORTHEAST D.C., INC.",DC,WASHINGTON,112055
"BIO-MEDICAL APPLICATIONS OF SOUTHEAST WASHINGTON, INC.",DC,WASHINGTON,112074
"BIO-MEDICAL APPLICATIONS OF THE DISTRICT OF COLUMBIA, INC.",DC,WASHINGTON,135951
BLACK AND WHITE LOOK OPTICAL CORPORATION,DC,WASHINGTON,2000
"BLESSED SOLES PODIATRY, LLC",DC,WASHINGTON,12215
BLOOM OB GYN LLC,DC,WASHINGTON,66453
BOISEY BARNES,DC,WASHINGTON,8939
"BREAD FOR THE CITY, INC",DC,WASHINGTON,20317
BREAST CARE FOR WASHINGTON,DC,WASHINGTON,5996
BRIAN CROWLEY,DC,WASHINGTON,372
"BRIDGES 2 PSYCHOLOGICAL SERVICES, LLC",DC,WASHINGTON,1405
BRIDGES CENTER,DC,WASHINGTON,9912
"BRIDGEWAY COMMUNITY SERVICES, INC",DC,WASHINGTON,41285
BROOKLAND SENIOR DAY CARE CENTER INC,DC,WASHINGTON,187235
BURT B GRENELL PHD PLLC,DC,WASHINGTON,294
C JONEZ NUTRITION CONSULTING SERVICES,DC,WASHINGTON,2880
C L KAUFFMAN MD PLLC,DC,WASHINGTON,16758
"C.O.R.E. PHYSICAL THERAPY, PLLC",DC,WASHINGTON,248097
"CAPITAL AREA RENAL ASSOCIATES, PC",DC,WASHINGTON,162725
"CAPITAL CARDIOVASCULAR SPECIALISTS, PLLC",DC,WASHINGTON,90660
CAPITAL CITY SLEEP CENTER LLC,DC,WASHINGTON,14741
CAPITAL DENTAL,DC,WASHINGTON,19365
CAPITAL DENTAL CENTER PLLC,DC,WASHINGTON,25635
"CAPITAL DENTAL OF VIRGINIA, LLC/IDC",DC,WASHINGTON,421650
"CAPITAL HEART ASSOCIATES, PC",DC,WASHINGTON,29393
CAPITAL INTERNAL MEDICINE & GERIATRICS LLC,DC,WASHINGTON,21453
CAPITAL KIDS DENTISTRY,DC,WASHINGTON,98218
"CAPITAL MEDICAL SERVICES, PLLC",DC,WASHINGTON,56174
CAPITAL STROKE NEUROLOGY INC,DC,WASHINGTON,4002
CAPITOL BREATHE FREE SINUS & ALLERGY CENTERS,DC,WASHINGTON,128521
CAPITOL CARDIOVASCULAR & THORACIC SURGERY ASSOC. PC,DC,WASHINGTON,9040
"CAPITOL CLINICAL DENTAL SERVICES, PLLC",DC,WASHINGTON,35123
CAPITOL ENDODONTICS PLLC,DC,WASHINGTON,14666
CAPITOL HILL PEDIATRIC DENTISTRY,DC,WASHINGTON,18630
CAPITOL HILL THERAPY LLC / AURELIO OGILVIE,DC,WASHINGTON,5022
"CAPITOL MEDICAL HEALTH, LLC",DC,WASHINGTON,3261
"CAPITOL ORTHODONTICS, PC",DC,WASHINGTON,97608
CAPITOL PHYISCAL THERAPY LLC,DC,WASHINGTON,23455
CAPITOL PSYCHIATRIC GROUP,DC,WASHINGTON,604
CARLOS JONES,DC,WASHINGTON,72555
"CARMIANDKNOLL DDS,P.C. 818 18TH ST N.W. SUITE 700",DC,WASHINGTON,10385
"CAROL C. JAGDEO, MD. L.L.C",DC,WASHINGTON,16326
CAROL NEWMAN,DC,WASHINGTON,453
CAROL RIDGWAY,DC,WASHINGTON,1372
CAROLINE BERMAN DMD PA,DC,WASHINGTON,124704
CAROLYN COLE,DC,WASHINGTON,238
CARROLL MANOR,DC,WASHINGTON,1969482
CARY T CHAVIS DDS PA,DC,WASHINGTON,40005
CATHEDRAL DRUGS LLC,DC,WASHINGTON,210576
"CEDRIC POKU-DANKWAH,MD PC",DC,WASHINGTON,1600
CELIA OLIVEIRA,DC,WASHINGTON,1036
CENTER FOR DERMATOLOGY & DERMATOLOGIC SURGERY P C,DC,WASHINGTON,1514
CENTER FOR LASER SURGERY LLC,DC,WASHINGTON,37243
CHAD ZATEZALO MD LLC,DC,WASHINGTON,15014
CHARLES D DIETRICH,DC,WASHINGTON,70318
CHARLES FILSON,DC,WASHINGTON,216
"CHARLES J. BIER, M.D., PLLC",DC,WASHINGTON,841
"CHASE CONSULTING, LLC",DC,WASHINGTON,1695
"CHERYL Y. LEE D.D.S., PC",DC,WASHINGTON,23544
CHERYLE BAPTISTE DDS PLLC,DC,WASHINGTON,73812
CHILDREN'S HOSPITAL,DC,WASHINGTON,82327399
"CHILDREN'S PEDIATRICIANS AND ASSOCIATES, LLC",DC,WASHINGTON,807660
"CHRIS C. LOUKAITIS DDS, PLLC",DC,WASHINGTON,17884
CHRISTIAN LEFEVRE,DC,WASHINGTON,2958
CHRISTINA HALL,DC,WASHINGTON,353
CHRISTINE LYNN,DC,WASHINGTON,874
"CIBELLE CHIROPRACTIC OF GEORGETOWN, PC",DC,WASHINGTON,59044
"CITY DENTAL DC  MASS, PC",DC,WASHINGTON,27142
"CITY DENTAL DC 703 D, PC",DC,WASHINGTON,18645
"CITY DENTAL DC LENFANT, PC",DC,WASHINGTON,30385
CITYCARE HEALTH SERVICES INC,DC,WASHINGTON,72061
CLEAN AND SOBER STREETS,DC,WASHINGTON,265670
COHEN & COHEN DDS PA,DC,WASHINGTON,91863
COLLIN D CULLEN MD LLC,DC,WASHINGTON,5036
COLUMBIA EYE ASSOCIATES,DC,WASHINGTON,35083
"COMMUNITY AUDIOLOGY SERVICES, LLC",DC,WASHINGTON,671
COMMUNITY CARE NURSING SERVICES OF DC,DC,WASHINGTON,30044
COMMUNITY CONNECTIONS INC,DC,WASHINGTON,737989
"COMMUNITY OF HOPE, INC.",DC,WASHINGTON,259569
COMMUNITY WELLNESS VENTURES,DC,WASHINGTON,18737
COMPREHENSIVE CARDIAC CARE PLLC,DC,WASHINGTON,27173
COMPREHENSIVE WOUND CARE SERVICES,DC,WASHINGTON,113574
"CONFIDENT CARE MEDICAL, LLC",DC,WASHINGTON,383
CONSTANCE RIDGWAY,DC,WASHINGTON,777
"CONTEMPORARY FAMILY SERVICES, INC.",DC,WASHINGTON,11
COREY BURCHETTE,DC,WASHINGTON,166
CRAWFORD GREEN CARDIOLOGY GROUP LLC,DC,WASHINGTON,29358
"CSH FAIRFAX LESSEE, LLC",DC,WASHINGTON,330292
"CSH TRS HOLDING III, LLC",DC,WASHINGTON,117841
"CSH TRS HOLDING IV, LLC",DC,WASHINGTON,1135297
"CSH TRS HOLDING V, LLC",DC,WASHINGTON,212370
"CSH TRS HOLDING VI, LLC",DC,WASHINGTON,46725
CYNTHIA MORGAN,DC,WASHINGTON,5448
"D.C. MEDICINE AND ALLERGY, PLLC",DC,WASHINGTON,7249
DAL YOO MD LLC,DC,WASHINGTON,2526
"DANIEL P. JONES, D.D.S.,P.L.L.C.",DC,WASHINGTON,41266
DANIEL V YOUNG PC MD,DC,WASHINGTON,9749
DANIELLE LANIER BURWELL BETTER SPEECH ASSOCIATES,DC,WASHINGTON,25583
DARCY HANSEN,DC,WASHINGTON,3096
DAVID BACHMAN,DC,WASHINGTON,1783
DAVID J FISCHER M D P C,DC,WASHINGTON,2812
"DAVID P. SNIEZEK, MD",DC,WASHINGTON,127717
DAVID ROTHKOPF,DC,WASHINGTON,27941
DAVID TOSSMAN,DC,WASHINGTON,20
DAVINCI PLASTIC SURGERY PC,DC,WASHINGTON,10691
DAWN J ARMSTRONG INC,DC,WASHINGTON,1270
"DC DENTAL CARE, PLLC",DC,WASHINGTON,45496
DC DENTAL CENTER PC,DC,WASHINGTON,76660
"DC ENDODONTIC CENTER, PC",DC,WASHINGTON,26360
DC HEALTH CARE INC,DC,WASHINGTON,1615046
DC LIGHT DENTAL PC,DC,WASHINGTON,89175
"DC PERIO AND IMPLANTS, PLLC",DC,WASHINGTON,93822
DC PRECISION DENTISTRY PLLC,DC,WASHINGTON,29509
DC PSYCHOTHERAPY PLLC,DC,WASHINGTON,594
DC RECOVERY COMMUNITY ALLIANCE,DC,WASHINGTON,6640
DC SMILE STUDIO PLLC,DC,WASHINGTON,80142
"DC SURGICAL ARTS,LLC",DC,WASHINGTON,23446
DCA CAPITOL HILL LTACH LLC,DC,WASHINGTON,993153
DCA CAPITOL HILL SNF LLC,DC,WASHINGTON,700353
DCA HADLEY LTACH LLC,DC,WASHINGTON,1140478
"DCA HADLEY SNF, LLC",DC,WASHINGTON,619862
DEBONAIR DENTAL DC PLLC,DC,WASHINGTON,75095
DEBORAH NEWMARK,DC,WASHINGTON,1131
"DEDICATED CARE HEALTH SERVICES, INC",DC,WASHINGTON,24673
"DENIS R. HARRIS MD, PA",DC,WASHINGTON,7314
"DENNIS R. MILLIRON, DDS, PLLC",DC,WASHINGTON,38319
DENNIS S. O'LEARY DDS PC,DC,WASHINGTON,184374
DEPARTMENT OF BEHAVIORAL HEALTH - ST ELIZABETHS HOSPITAL,DC,WASHINGTON,82239
"DERMATOLOGY ASSOCIATES, P.C.",DC,WASHINGTON,15447
DESIREE PEARSON PHD PLLC,DC,WASHINGTON,16379
"DIANNE WHITFIELD-LOCKE, D.D.S.",DC,WASHINGTON,4000
DICC PC,DC,WASHINGTON,25687
DIDACE KABATSI MD PC,DC,WASHINGTON,1909
DIGESTIVE CENTER FOR WOMEN,DC,WASHINGTON,4386
DIMPLES DENTAL SUITE,DC,WASHINGTON,11264
DIRECT CARE HOME HEALTH SERVICES LLC,DC,WASHINGTON,13874
"DISCOUNT DRUGS WISCONSIN, INC.",DC,WASHINGTON,1782
"DISTRICT AMPUTEE CARE CENTER, LLC",DC,WASHINGTON,10668
"DISTRICT DENTAL GROUP OF DC, PLLC",DC,WASHINGTON,41501
DISTRICT DENTAL GROUP PLLC DBA DUNN DENTAL GROUP,DC,WASHINGTON,126611
DISTRICT DENTAL SOLUTIONS,DC,WASHINGTON,49948
DISTRICT ENDODOTICS PLLC,DC,WASHINGTON,26844
DISTRICT HOSPITAL PARTNERS L P,DC,WASHINGTON,44165980
"DISTRICT PRIMARY CARE, LLC",DC,WASHINGTON,2647
DLIGHT DENTAL PLLC,DC,WASHINGTON,22152
DON ELLIOT SCHWARTZ,DC,WASHINGTON,1309
"DON J. FONTANA, M.D. PA",DC,WASHINGTON,917
DONALD MCKNEW,DC,WASHINGTON,1160
DONALD VAFIDES DDS,DC,WASHINGTON,59024
DONNA ROSS,DC,WASHINGTON,3854
DOROTHY VAN DAM,DC,WASHINGTON,566
DR TERESA HILLIARD,DC,WASHINGTON,6
DR. CHRISTINA MILLS & ASSOCIATES LLC,DC,WASHINGTON,31269
DR. CLEVELAND WILLAMS,DC,WASHINGTON,3016
"DR. JUANITA E. RHODES, DDS, PC",DC,WASHINGTON,102792
"DR. KAMBEZ SHUKOOR, PLLC",DC,WASHINGTON,17288
"DRS GIALANELLA AND SCHOBEL,PLLC",DC,WASHINGTON,30980
DRS SCHNEIDERMAN & BARR DDS PC,DC,WASHINGTON,29293
DRS. ISAACSON & BERZIN PLLC,DC,WASHINGTON,34589
"DRS. KAIHARA & WATKINS, DDS, LTD",DC,WASHINGTON,68167
EAGLE MEDICAL,DC,WASHINGTON,19969
EAR NOSE & THROAT MEDICAL GROUP OF WASHINGTON PC,DC,WASHINGTON,40251
EASTON L. MANDERSON MD FACS PC,DC,WASHINGTON,3002
EDOMED MEDICAL ASSOCIATES LLC,DC,WASHINGTON,17860
EDWARD HONNOLD,DC,WASHINGTON,286
EDWIN C CHAPMAN MD PC,DC,WASHINGTON,15349
"ELAINE ELLIS CENTER OF HEALTH, INC",DC,WASHINGTON,77278
ELEMENTS CENTER INCORPORATED,DC,WASHINGTON,2417
ELITE DENTAL TAKOMA PARK,DC,WASHINGTON,38348
ELITE PHYSICAL THERAPY & WELLNESS CENTER,DC,WASHINGTON,73838
ELIZABETH EBAUGH,DC,WASHINGTON,992
"ELLIOT ALESKOW, M.D.,P.C.",DC,WASHINGTON,26986
"EMILY JETER, OTRL, MSPT, CHT, INC",DC,WASHINGTON,57148
EMMANUEL ONWENINEKE EZEMOBI,DC,WASHINGTON,21485
ENRIQUE A ROBLES MD PLLC,DC,WASHINGTON,10028
ENRIQUE SAMANEZ MD INC,DC,WASHINGTON,9415
ERGO SOLUTIONS LLC,DC,WASHINGTON,68478
ERIC BERGMAN,DC,WASHINGTON,2306
"ESSENTIAL SURGICAL CARE, P.C.",DC,WASHINGTON,2432
"ETERNAL DERMATOLOGY AND AESTHETIC CENTER, LLC",DC,WASHINGTON,11147
ETM INC,DC,WASHINGTON,19492
EUGENE MIKNOWSKI MD PC,DC,WASHINGTON,5655
EVA KAPLAN,DC,WASHINGTON,64
"EYE ASSOCIATES OF WASHINGTON, DC, PC",DC,WASHINGTON,261824
FAISAL MIR DDS II PLLC,DC,WASHINGTON,73185
FAISAL MIR DDS PLLC,DC,WASHINGTON,16679
"FAMILY AND MEDICAL COUNSELING SERVICE, INC",DC,WASHINGTON,39262
FAMILY MATTERS OF GREATER WASHINGTON,DC,WASHINGTON,161
FAMILY PODIATRY PC,DC,WASHINGTON,13946
"FARIS Z HAKKI, M.D.",DC,WASHINGTON,37093
FARRAGUT FAMILY ORTHODONTICS,DC,WASHINGTON,106650
FEDERAL CITY RECOVERY SERVICES,DC,WASHINGTON,390323
FIORELLO VICENCIO,DC,WASHINGTON,1333
FLORENCE EZE PRIMARY CARE CLINIC,DC,WASHINGTON,15183
FM MEDICAL SERVICES LLC,DC,WASHINGTON,13009
FOERS PHARMACY,DC,WASHINGTON,20182
FOOTPRINT PODIATRY CONSULTANTS LLC,DC,WASHINGTON,3455
"FOXHALL INTERNISTS,PC",DC,WASHINGTON,71636
FOXHALL MEDICINE PLLC,DC,WASHINGTON,80395
FOXHALL OB GYN ASSOC PC,DC,WASHINGTON,10735
"FOXHALL PODIATRY ASSOCIATES, PC",DC,WASHINGTON,23590
"FOXHALL SMILES, PC",DC,WASHINGTON,105419
FOXHALL UROLOGY,DC,WASHINGTON,17965
FRANCIS G SURPRENANT,DC,WASHINGTON,32572
"FREDERICK W. GOODING, M.D. & ASSOCIATES, P.C.",DC,WASHINGTON,10478
FREEDOM S DOWDY,DC,WASHINGTON,1434
GALLAUDET UNIVERSITY,DC,WASHINGTON,1085
"GASTROINTESTINAL  ASSOCIATES, PC",DC,WASHINGTON,88161
GAY FAMILY CARE,DC,WASHINGTON,8324
GCAF LLC,DC,WASHINGTON,14522
GEORGE M BAIRD,DC,WASHINGTON,20007
GEORGE SAMMAN MD PC,DC,WASHINGTON,5608
"GEORGES C. AWAH, MD, PHD, PC",DC,WASHINGTON,21272
GEORGETOWN DENTISTRY,DC,WASHINGTON,11891
GEORGETOWN DERMATOLOGY PLLC,DC,WASHINGTON,31448
GEORGETOWN NEUROPSYCHOLOGY LLC,DC,WASHINGTON,3212
GEORGETOWN SMILE PC,DC,WASHINGTON,24849
GERALD FAMILY CARE,DC,WASHINGTON,44845
"GERALD M. MARLIN, D.M.D., P.C.",DC,WASHINGTON,128640
GETACHEW AFRE,DC,WASHINGTON,4519
GETACHEW MEKASHA,DC,WASHINGTON,4122
GFG/MM-JEA VENTURE COMPANY LLC,DC,WASHINGTON,221858
GIANNINI GRAY DENTAL PARTNERS PC,DC,WASHINGTON,89566
GIROLAMI & GIEGERICH DPM PC,DC,WASHINGTON,17697
GLENN H FUCHS MD PC,DC,WASHINGTON,81329
GLOBAL MEDICAL ENTERPRISE INC,DC,WASHINGTON,7510
GLORIA OVIOSA JOYE ASSISTED LIVING SERVICES,DC,WASHINGTON,7065
GOOD HOPE FAMILY DENTAL PLLC,DC,WASHINGTON,58209
"GOT YOUR BACK CHIROPRACTIC, PC",DC,WASHINGTON,235
GOT YOUR BACK TOTAL HEALTH PC,DC,WASHINGTON,85
GOVERNMENT OF THE DISTRICT OF COLUMBIA,DC,WASHINGTON,497485
"GREGORY BUTLER, MD, PC.",DC,WASHINGTON,38225
GREGORY GRINC,DC,WASHINGTON,706
GREGORY OPTOMETRICS PC,DC,WASHINGTON,82768
GRENELL ASSOCIATES INC.,DC,WASHINGTON,1094
GRIFFIN PSYCHIATRIC SERVICES PLLC,DC,WASHINGTON,283
"GRUBB'S PHARMACY SE, INC.",DC,WASHINGTON,346919
GRUBBS CARE PHARMACY NW INC,DC,WASHINGTON,39628
"GRUBBS PHARMACY OF D.C., INC.",DC,WASHINGTON,3678
GUH-KIDS MOBILE MEDICAL CLINIC PROGRAM LLC,DC,WASHINGTON,3
"H L YOON, MD, P.C.",DC,WASHINGTON,7992
H&B CARE PLLC,DC,WASHINGTON,12
"H.ARTURO MENDOZA,DDS",DC,WASHINGTON,8738
HALBACK AND ASSOCIATES,DC,WASHINGTON,38313
HAND THERAPY PLLC,DC,WASHINGTON,1101
HEALING HANDS PHYSICAL THERAPY SERVICES,DC,WASHINGTON,13750
"HEALTH MANAGEMENT, INC.",DC,WASHINGTON,82000
"HEART TO HEART, PLLC",DC,WASHINGTON,680
HELEN EPPS,DC,WASHINGTON,308
HELENE C FREEMAN MD PC,DC,WASHINGTON,3901
"HELFGOTT, HARGETT & PLUZNIK, M.D., P.C.",DC,WASHINGTON,77116
HENRY J FISHMAN MD PC,DC,WASHINGTON,53172
HERITAGE PHARMACY CORP,DC,WASHINGTON,1452
HERO DENTAL OF WASHINGTON DC PC,DC,WASHINGTON,1014276
HIPS,DC,WASHINGTON,3922
HOLY HEALTH CARE SERVICES LLC,DC,WASHINGTON,27439
HOPEWELL HOME HEALTHCARE LLC,DC,WASHINGTON,14914
HORACIO SCHAPIRO,DC,WASHINGTON,2472
HOUSE CALLS OF DC,DC,WASHINGTON,27303
