Provider Name,State,City,Payment
APEX CHIROPRACTIC SERVICES INC,DE,BEAR,1061
AVENUE MEDICAL ASSOCIATES PA,DE,BEAR,1315
BEAR CHIROPRACTIC INC.,DE,BEAR,565
"BEAR MRI AND IMAGING CENTER, LLC",DE,BEAR,164186
BETTER WELLNESS FAMILY PRACTICE LLC,DE,BEAR,454
"DENTAL BEAR, LLC",DE,BEAR,2853
DIANE WRIGHT,DE,BEAR,5994
FEENEY CHIROPRACTIC CARE CENTRE,DE,BEAR,4371
FIRST STATE PHYSICIANS LLC,DE,BEAR,539
GREENBROOK TMS NEWARK LLC,DE,BEAR,638
HOLISTIC ELEVATION LLC,DE,BEAR,1800
IRENE C. SZETO M.D. LLC,DE,BEAR,38988
IRENE SZETO,DE,BEAR,64
JOSHI MEDICAL PA,DE,BEAR,2187
KELLY WALKER DDS,DE,BEAR,84158
LINDA LOUISE LAWTON,DE,BEAR,7883
MARK WIECZOREK DMD PC,DE,BEAR,29891
MEDICAL ASSOCIATES OF BEAR,DE,BEAR,18196
MESSIAHS ANGELS FOUNDATION CENTER,DE,BEAR,2044
PHYSICIANS PLUS SPINE AND REHAB CENTER,DE,BEAR,244
"SAMTO MEDICAL SERVICES, LLC",DE,BEAR,6984
"SURGICAL ASSOCIATES OF NEW CASTLE, P.A.",DE,BEAR,4746
UNITED MEDICAL CLINIC OF DE LLC,DE,BEAR,71108
UNITED MEDICAL LLC,DE,BEAR,1571
W LEE MACKEWIZ OD PA,DE,BEAR,9655
"WAYNE TUCKER, DO, PA",DE,BEAR,26748
BETHANY BEACH VOLUNTEER FIRE CO. INC,DE,BETHANY BEACH,12325
"BETHANY DENTAL ASSOCIATES, PA",DE,BETHANY BEACH,27745
BETHANY PRIMARY CARE,DE,BETHANY BEACH,23132
DELMARVA DERMATOLOGY LLC,DE,BETHANY BEACH,1662
BLADES VOLUNTEER FIRE COMPANY,DE,BLADES,10074
PAUL AGUILLON,DE,BLADES,9699
BRIDGEVILLE FIRE COMPANY,DE,BRIDGEVILLE,9488
HARRISON FAMILY PRACTICE,DE,BRIDGEVILLE,4947
KENNETH R SMITH MD,DE,BRIDGEVILLE,27091
ABSOLUTE HEALTH LLC,DE,CAMDEN,1943
ALL ABOUT YOU HAIR SALON INC.,DE,CAMDEN,2721
ALVIS BURRIS COSMETIC AND FAMILY DENTISTRY LLC,DE,CAMDEN,34450
BRIGHT FUTURE PEDIATRICS LLC,DE,CAMDEN,42093
CAMDEN-WYOMING FIRE COMPANY INC,DE,CAMDEN,26115
CONTEMPORARY NUTRITION,DE,CAMDEN,31
"COWAN CHIROPRACTIC & REHABILITATION, PA",DE,CAMDEN,1144
DOVER FAMILY CHIROPRACTIC,DE,CAMDEN,20917
FINDLEY CHIROPRACTIC CENTER P.A.,DE,CAMDEN,6408
PETER R. COGGINS MD PA,DE,CENTREVILLE,1023
WILLIAM SILVER,DE,CENTREVILLE,296
CHESWOLD VOLUNTEER FIRE COMPANY,DE,CHESWOLD,12515
CHRISTIANA FIRE COMPANY,DE,CHRISTIANA,70802
CLAYMONT FAMILY DENTISTRY PA,DE,CLAYMONT,19760
CLAYMONT FIRE COMPANY 1,DE,CLAYMONT,36672
DARLEY HEALTH SERVICES INC,DE,CLAYMONT,935
PALMER PODIATRY,DE,CLAYMONT,16664
TOMARO'S C.H.A.N.G.E.,DE,CLAYMONT,1327
THOMAS CLINICAL CONSULTATION SERVICES LLC,DE,CLAYTON,980
BRAFMAN FAMILY DENTISTRY,DE,DAGSBORO,388043
DAGSBORO VOLUNTEER FIRE DEPARTMENT INC,DE,DAGSBORO,5661
"FIT CONSULTANTS PHYSICAL THERAPY, LLC",DE,DAGSBORO,3687
"DELAWARE CITY FIRE COMPANY, NO 1",DE,DELAWARE CITY,10130
RALPH BURDICK,DE,DELAWARE CITY,4040
101 E DELAWARE AVE LLC,DE,DELMAR,792318
AMANDA BORDWINE,DE,DELMAR,420
DELMAR FIRE DEPARTMENT INC.,DE,DELMAR,21493
SAI SWAMI III LLC,DE,DELMAR,1127
"A CENTER FOR MENTAL WELLNESS, INC.",DE,DOVER,27109
A PEACE OF MIND,DE,DOVER,1342
ABC PEDIATRICS,DE,DOVER,55071
"ACCESS DENTAL, LLC",DE,DOVER,21004
ADVANCE ENDOSCOPY CENTER LLC,DE,DOVER,29356
ADVANCED SLEEP DISORDERS CENTER,DE,DOVER,38165
"AHL AND O'CONNOR ORTHODONTICS, LLC",DE,DOVER,178557
ALLSMILES FAMILY & COSMETIC DENTISTRY PA,DE,DOVER,96823
"ALOE & CARR, P.A.",DE,DOVER,71813
"AMEDISYS DELAWARE, L.L.C.",DE,DOVER,112030
AMERICAN DENTAL CARE OF DOVER LLC,DE,DOVER,96218
AMERICARE HOME SOLUTIONS,DE,DOVER,26838
ANEW MENTAL HEALTH,DE,DOVER,11474
ANNA HOIER,DE,DOVER,2321
"ASHOK PATEL, MD PA",DE,DOVER,1901
ATI HOLDINGS LLC,DE,DOVER,1545693
ATLANTIS SENIOR LIVING 11 LLC,DE,DOVER,43969
BAYARD PHARMACY LLC,DE,DOVER,219
"BAYHEALTH EMERGENCY PHYSICIANS, LLC",DE,DOVER,389630
"BAYHEALTH MEDICAL CENTER, INC.",DE,DOVER,58785345
BETTER LIFE CHIROPRACTIC & REHABILITATION CENTER,DE,DOVER,4275
"BLUE RIDGE HOME CARE, INC",DE,DOVER,2760
BRADFORD FAMILY PHYSICIANS LLC,DE,DOVER,11341
BRYAN K STERLING OD LLC,DE,DOVER,11451
C-SCHELL SPINE SPECIALISTS INC.,DE,DOVER,6455
CAMDEN PRIMARY CARE L.L.C,DE,DOVER,10938
CAMDEN WALK IN,DE,DOVER,210600
"CAPITAL ORTHOPAEDIC SPECIALISTS, P.A.",DE,DOVER,11672
CARLA DAUFENBACH,DE,DOVER,1375
CDEU ANESTHESIA LLC,DE,DOVER,6379
CENTRAL DELAWARE FAMILY FOOT CARE,DE,DOVER,9962
CENTRAL DELAWARE FAMILY MEDICINE LLC,DE,DOVER,82612
"CNMRI, PA",DE,DOVER,431450
COMPREHENSIVE CHIROPRACTIC & REHABILITATION PA,DE,DOVER,3540
COURTLAND MANOR INC.,DE,DOVER,440717
"DANIEL J. FAY, DMD, P.A.",DE,DOVER,30423
"DELAWARE DERMATOLOGY, P.A.",DE,DOVER,40332
"DELAWARE EYE INSTITUTE, P.A.",DE,DOVER,9
DELAWARE INJURY CARE L.L.C.,DE,DOVER,8508
DELAWARE PLASTIC SURGERY PA,DE,DOVER,22698
DELAWARE PODIATRIC MEDICINE PA,DE,DOVER,112086
"DELAWARE SURGERY CENTER, LLC",DE,DOVER,239324
DELMARVA ORTHOTICS AND PROSTHETICS,DE,DOVER,4833
DOCTORS PATHOLOGY SERVICES,DE,DOVER,59166
"DOVER CHIROPRACTIC AND REHABILITATION, INC.",DE,DOVER,8914
"DOVER DENTAL ARTS, PA",DE,DOVER,46879
DOVER FAMILY PHYSICIANS PA,DE,DOVER,113948
DOVER HEALTH CARE CENTER,DE,DOVER,3862
DOVER PULMONARY PA,DE,DOVER,19615
DOVER UNIVERSAL LLC,DE,DOVER,6275
DYNAMIC THERAPY SERVICES LLC,DE,DOVER,706063
EDELMAN SPINE & ORTHOPAEDIC PHYSICAL THERAPY,DE,DOVER,119251
EDEN HILL EXPRESS CARE LLC,DE,DOVER,37405
"EMIL W. TETZNER, DMD, MS, P.A.",DE,DOVER,175871
EMOTIONAL WELLNESS COUNSELING LLC,DE,DOVER,2305
ENDOCRINOLOGY CONSULTANT PA,DE,DOVER,13434
F H EVERETT & ASSOC INC,DE,DOVER,778
FAMILY ALLERGY & ASTHMA CARE CONSULTANTS LLC,DE,DOVER,22975
FAMILY HEALTH OF DELAWARE INC,DE,DOVER,59751
"FAMILY MEDICAL CENTRE, P.A.",DE,DOVER,77659
FIRST STATE GASTROENTEROLOGY ASSOCIATION,DE,DOVER,31216
FIRST STATE INFECTIOUS DISEASES LLC,DE,DOVER,39271
FIRST STATE ORAL & MAXILLOFACIAL SURGERY CORP,DE,DOVER,103789
"FIRST STATE PODIATRY, L.L.C.",DE,DOVER,14321
FORREST FAMILY CHIROPRACTIC,DE,DOVER,5597
GI ASSOCIATES OF DELAWARE PA,DE,DOVER,41635
"GI CONSULTANTS,LLC",DE,DOVER,17329
GOODNIGHTS COUNSELING LLC,DE,DOVER,6616
GOVERNORS FAMILY PRACTICE PA,DE,DOVER,16028
GREEN CLINICS LABORATORY LLC,DE,DOVER,97503
GREENWOOD URGENT CARE CENTER INC,DE,DOVER,7
HALPERN MEDICAL SERVICES LLC,DE,DOVER,174370
HEAL MEDICAL GROUP LLC,DE,DOVER,4215
INFUSION SOLUTIONS OF DELAWARE,DE,DOVER,584755
"INNOVATION BEHAVIOR SERVICES, LLC",DE,DOVER,38076
INTERNAL MEDICINE OF DOVER PA,DE,DOVER,95029
JACK R MILLIGAN MD PA,DE,DOVER,6531
JOEL TEMPLE,DE,DOVER,4247
JOSE MARTE SANTANA,DE,DOVER,2526
JR ANESTHESIA LLC,DE,DOVER,4554
"KATHRYN L FORD FAMILY PRACTICE CENTER, L.L.C.",DE,DOVER,12471
"KENT DIAGNOSTIC RADIOLOGY ASSOCIATES, P.C.",DE,DOVER,879225
KENT FOOT AND ANKLE CENTER INC,DE,DOVER,14983
KENT PEDIATRICS LLC,DE,DOVER,11447
"KENT PHYSICAL THERAPY, LLC",DE,DOVER,2820
"KENT PULMONARY ASSOCIATES, LLC",DE,DOVER,272469
"KHAN OBSTETRICS & GYNECOLOGY ASSOCIATES, PA",DE,DOVER,1919
LAWRENCE A. LOUIE,DE,DOVER,32941
LAWRENCE LEWANDOWSKI,DE,DOVER,3467
LAWRENCE PICCIONI MD PA,DE,DOVER,24283
LEE DENNIS,DE,DOVER,1683
LEILA H JONES,DE,DOVER,202
LEIPSIC VOLUNTEER FIRE COMPANY INC.,DE,DOVER,2860
MENTAL EDGE COUNSELING LLC,DE,DOVER,6273
"MERCER DENTAL ASSOCIATES, PA",DE,DOVER,97635
MID-ATLANTIC CARE LLC,DE,DOVER,355514
"MID-DELAWARE IMAGING,PA",DE,DOVER,79010
MIKE WALSH PHYSICAL THERAPY,DE,DOVER,50372
NORTHNODE GROUP COUNSELING,DE,DOVER,2230
PAM SQUARED AT DOVER LLC,DE,DOVER,962233
PERFORMANCE ENHANCEMENT PROFESSIONALS LLC,DE,DOVER,19185
PORT IN THE STORM LLC,DE,DOVER,730
"PREMIER COUNSELING, LLC",DE,DOVER,6364
"PRIMARY CARE OF DELAWARE, LLC",DE,DOVER,41252
PSYCHIATRIC ACCESS FOR CENTRAL DELAWARE PA,DE,DOVER,1419
"QUINN PEDIATRIC DENTISTRY, PA",DE,DOVER,102427
"REGIONAL MEDICAL ASSOCIATES, PA",DE,DOVER,22708
RESOLUTIONS THERAPY GROUP LLC,DE,DOVER,48
RETINA CONSULTANTS OF DELMARVA PA,DE,DOVER,845758
RICHARD S WILLIAMSON DDS,DE,DOVER,35904
ROBERT GORKIN,DE,DOVER,387
ROBERT R COOPE DDS PA,DE,DOVER,24484
"ROBERT W. WEBSTER, DDS",DE,DOVER,39643
ROBIN HAYES,DE,DOVER,1714
ROGER ALLEN,DE,DOVER,2673
SCHREPPLER CHIROPRACTIC OFFICES P.A. SMYRNA DELAWARE,DE,DOVER,6460
SEIFF CENTER FOR AESTHETIC & RECONSTRUCTIVE SURGERY PA,DE,DOVER,31111
SOUTHERN DELAWARE SPORTSCARE AND REHABILITATION LLC,DE,DOVER,15068
"SOUTHSIDE FAMILY PRACTICE, P.A.",DE,DOVER,37609
SUMMIT ORTHOPAEDIC HOME CARE,DE,DOVER,160116
SUNWISE DERMATOLOGY & SURGERY LLC,DE,DOVER,64993
SURGICAL ASSOCIATES PA,DE,DOVER,42858
"TAMESIS RHEUMATOLOGY MEDICINE OF DELAWARE, P.A",DE,DOVER,32060
THE JUNGLE GYM,DE,DOVER,8996
"THE MIND AND BODY CONSORTIUM, LLC.",DE,DOVER,53702
THE ORTHOPAEDIC SPINE CENTER,DE,DOVER,15108
THE VEIN CENTER AT EDEN HILL LLC,DE,DOVER,18022
THOMAS FAMILY DENTIST LLC,DE,DOVER,12003
TP INDIRA MD PA,DE,DOVER,23548
UHS OF DOVER LLC,DE,DOVER,592473
UPPER BAY ANESTHESIA LLC,DE,DOVER,5838
UROLOGY ASSOCIATES OF DOVER,DE,DOVER,253142
VICDANIA HEALTH SERVICES LLC,DE,DOVER,236145
VISION QUEST EYE CARE CENTER INC,DE,DOVER,37923
"WALKER SQUARE DENTAL, INC",DE,DOVER,15251
"WEST DOVER DENTAL, LLC",DE,DOVER,53300
"WOLF CREEK SURGEONS, P.A.",DE,DOVER,20541
"ELKTON-BEAR DENTAL ARTS, LLC",DE,ELKTON,7179
ELLENDALE FIRE CO INC,DE,ELLENDALE,8860
AMY K NORMAN DDS PS,DE,EVERETT,94934
FELTON COMMUNITY FIRE COMPANY INC,DE,FELTON,11407
FENWICK MEDICAL CENTER PA,DE,FENWICK ISLAND,7513
FRANKFORD VOLUNTEER FIRE COMPANY,DE,FRANKFORD,6728
NORTHEAST EXPRESS,DE,FRANKFORD,51690
ROXANA VOLUNTEER FIRE COMPANY,DE,FRANKFORD,17259
BOWERS FIRE COMPANY INC,DE,FREDERICA,2449
FREDERICA VOLUNTEER FIRE COMPANY,DE,FREDERICA,3663
ASTRA CARE PHYSICAL THERAPY LLC,DE,GEORGETOWN,3259
"ATLANTIC FAMILY PHYSICIANS, LLC",DE,GEORGETOWN,36051
"BRIDGE COUNSELING AND THERAPY CENTER, LLC",DE,GEORGETOWN,2802
CATHOLIC CHARITIES INC,DE,GEORGETOWN,1403
"COMPASSIONATE CARE HOSPICE OF THE DELMAR PENINSULA, LLC",DE,GEORGETOWN,196291
"DAVIS CHIROPRACTIC, INC.",DE,GEORGETOWN,2583
"DC MEDICAL SERVICES, LLC",DE,GEORGETOWN,14062
DELAWARE HOME HEALTH CARE INC,DE,GEORGETOWN,26012
DELAWARE INTEGRATIVE MEDICAL CENTER,DE,GEORGETOWN,16718
GENERATIONS HOMECARE INC,DE,GEORGETOWN,121025
GEORGETOWN FAMILY MEDICINE,DE,GEORGETOWN,24826
GEORGETOWN MEDICAL ASSOCIATES,DE,GEORGETOWN,60082
GEORGETOWN MEDICAL ELDERCARE LLC,DE,GEORGETOWN,14920
HEALTHY MINDS OF DELAWARE LLC,DE,GEORGETOWN,3943
"KNS COUNSELING SERVICES, LLC",DE,GEORGETOWN,558
"LA RED HEALTH CENTER, INC",DE,GEORGETOWN,616034
PATRICIA D. LIFRAK MD INC,DE,GEORGETOWN,4993
"RAINBOW PEDIATRICS,LLC",DE,GEORGETOWN,34758
SEA CARE LLC,DE,GEORGETOWN,54469
SEAFORD INTERNAL MEDICINE LLC,DE,GEORGETOWN,72143
SUN BEHAVIORAL DELAWARE LLC,DE,GEORGETOWN,2155723
"SUSSEX EYE CENTER, P.A.",DE,GEORGETOWN,92545
SUSSEX PAIN RELIEF CENTER LLC,DE,GEORGETOWN,41875
SUSSEX POST 8 AMERICAN LEGION GEORGETOWN AMBULANCE SERV,DE,GEORGETOWN,28639
THE ROSA HEALTH CENTER,DE,GEORGETOWN,14727
"THRESHOLDS, INC.",DE,GEORGETOWN,21124
CONFIDENTIAL ASSOCIATES,DE,GIG HARBOR,4236
GREENVILLE RETIREMENT COMMUNITY L.L.C.,DE,GREENVILLE,699549
YOUR DENTISTRY TODAY,DE,GREENVILLE,10935
GREENWOOD VOLUNTEER FIRE COMPANY NO 1 OF GREENWOOD DELAWARE,DE,GREENWOOD,8269
"AMBIENT MEDICAL CARE, LLC",DE,HARRINGTON,9253
DELMARVA CHIROPRACTIC AND WELLNESS CENTER LLC,DE,HARRINGTON,1685
HARRINGTON EYECARE CENTER LLC,DE,HARRINGTON,2265
HARRINGTON FIRE CO INC,DE,HARRINGTON,12821
HARTLY VOLUNTEER FIRE COMPANY,DE,HARTLY,4706
"JULISSA LA TERAPISTA, LLC",DE,HISTORIC NEW CASTLE,411
AMERICAN UNIVERSAL-HOCKESSIN LLC,DE,HOCKESSIN,44349
ASPEN CHIROPRACTIC INC,DE,HOCKESSIN,3779
BARBARA RIDGE,DE,HOCKESSIN,1583
"CHADLEY, INC",DE,HOCKESSIN,13371
DR ROBERT J KACMARCIK JR DDS,DE,HOCKESSIN,18467
"FAMILY PRACTICE OF HOCKESSIN, P.A.",DE,HOCKESSIN,29978
"GLORIA C FONG, M.D., INC",DE,HOCKESSIN,3907
HOCKESSIN CHIROPRACTIC CENTRE,DE,HOCKESSIN,1961
HOCKESSIN DENTAL,DE,HOCKESSIN,23392
HOCKESSIN FAMILY MEDICINE LLC,DE,HOCKESSIN,20241
HOCKESSIN FIRE COMPANY,DE,HOCKESSIN,53829
HOCKESSIN WALK IN MEDICAL CARE,DE,HOCKESSIN,2691
JOHN DETTWYLER,DE,HOCKESSIN,1911
JUSTIN CONNOR MD LLC,DE,HOCKESSIN,30524
KEITH SOKOLOFF,DE,HOCKESSIN,2210
MARK P. CARNEY PSY.D. INC,DE,HOCKESSIN,15729
MATTHEWS DENTAL ASSOCIATES PA,DE,HOCKESSIN,40355
"QUALITY FAMILY PHYSICIANS, PA",DE,HOCKESSIN,40216
"RAYMOND L PARA, DDS, PA",DE,HOCKESSIN,131268
"ROBERT H. HALL, M.D.,P.A.",DE,HOCKESSIN,2579
"TOWER HEALTH URGENT CARE, LLC",DE,HOCKESSIN,120576
TRI STATE FOOT AND ANKLE CENTER,DE,HOCKESSIN,20731
VALLEY CHIROPRACTIC HEALTH CENTER,DE,HOCKESSIN,4218
WEBSTER DERMATOLOGY PA,DE,HOCKESSIN,38689
WILLIAM E GONCE DDS PA,DE,HOCKESSIN,27676
HOUSTON VOLUNTEER FIRE COMPANY,DE,HOUSTON,7395
MARC B BROWN DC PLLC,DE,KENNEWICK,7309
AZAR/FILIPOV MD PA,DE,LAUREL,170621
CURTIS A SMITH DO,DE,LAUREL,15329
LAUREL FIRE DEPARTMENT INC.,DE,LAUREL,16490
"LAUREL HEALTH SERVICES,INC",DE,LAUREL,36121
"LAUREL MEDICAL GROUP, LLC",DE,LAUREL,41105
ODYSSEY COUNSELING PA,DE,LAUREL,740
