Provider Name,State,City,Payment
"ALACHUA FAMILY EYE CARE, PA",FL,ALACHUA,1780
ASCENSION INTERNAL MEDICINE OF FLORIDA LLC,FL,ALACHUA,16931
BETTER BEGINNINGS,FL,ALACHUA,10271
CHIROPRACTIC ASSOCIATES OF ALACHUA PA,FL,ALACHUA,6422
LARRY J LATOUR OD PA,FL,ALACHUA,434
MARY JO FERNANDEZ,FL,ALACHUA,1516
MITCH P FEARING MD PA,FL,ALACHUA,4772
NORTH CENTRAL FLORIDA NEURODIAGNOSTIC SERVICES LLC,FL,ALACHUA,701844
ONE STOP MEDICAL AND URGENT CARE,FL,ALACHUA,1528
"RACHEL QUINTANA, ARNP, LLC",FL,ALACHUA,659
SMOAKS BEHAVIORAL SYSTEMS INC,FL,ALACHUA,4262
UNIQUE CARING OPPORTUNITIES INC.,FL,ALACHUA,10376
NANCY SMITH,FL,ALTAMONTE SPG,242
ABOVE ALL MANAGEMENT SERVICES INC,FL,ALTAMONTE SPRINGS,2287
ABRAHAM L WOODS III MD PA,FL,ALTAMONTE SPRINGS,9733
ADVANCED AMBULATORY SURGERY CENTER LLC,FL,ALTAMONTE SPRINGS,3343
"ADVANCED VISION INSTITUTE, PA",FL,ALTAMONTE SPRINGS,13020
ADVANTACARE MULTI-SPECIALTY GROUP LLC,FL,ALTAMONTE SPRINGS,6409
ALAN B KINGSTON DMD PA,FL,ALTAMONTE SPRINGS,14938
ALLERGY ASTHMA SPECIALISTS PA,FL,ALTAMONTE SPRINGS,121737
ALONSO MEDICAL AND WELLNESS INSTITUTE LLC,FL,ALTAMONTE SPRINGS,24658
"ALTAMONTE INTERNAL MEDICINE, PA",FL,ALTAMONTE SPRINGS,1605
ALTAMONTE MEDICAL ASSOCIATES PA,FL,ALTAMONTE SPRINGS,16438
"ALTAMONTE PEDIATRIC ASSOCIATES, PA",FL,ALTAMONTE SPRINGS,394632
ALTAMONTE SMILES PLLC,FL,ALTAMONTE SPRINGS,44911
ALTAMONTE SPRINGS DENTAL,FL,ALTAMONTE SPRINGS,33999
"ALTAMONTE WOMEN'S CENTER, P.A.",FL,ALTAMONTE SPRINGS,12963
"AMER ALSHAREEF DDS, PA",FL,ALTAMONTE SPRINGS,73641
AMERICHOICE HOME HEALTH INC,FL,ALTAMONTE SPRINGS,78284
AMSURG ALTAMONTE SPRINGS ANESTHESIA LLC,FL,ALTAMONTE SPRINGS,9566
"ANDREW E. KRUPITSKY, DO PA",FL,ALTAMONTE SPRINGS,59308
ANEESA B. AHMAD MD PA,FL,ALTAMONTE SPRINGS,8285
ANILKUMAR C PATEL BDS PA,FL,ALTAMONTE SPRINGS,13155
ARMSTRONG BUILDING CONSTRUCTION LLC,FL,ALTAMONTE SPRINGS,31412
ASHTON C BRINSON MD PA,FL,ALTAMONTE SPRINGS,17841
AXIOM REHABILITATION LLC,FL,ALTAMONTE SPRINGS,15727
"BEYOND CHIROPRACTIC, LLC",FL,ALTAMONTE SPRINGS,25027
"BEYOND MEDICAL, LLC",FL,ALTAMONTE SPRINGS,32618
"BIOPLUS SPECIALTY PHARMACY SERVICES, INC.",FL,ALTAMONTE SPRINGS,7419291
BJA INCORPORATED,FL,ALTAMONTE SPRINGS,22897
"BRIGHT BEGINNINGS FAMILY SERVICES, LLC",FL,ALTAMONTE SPRINGS,24166
CHRISTOPHER A. RAWLE DMD MS PA,FL,ALTAMONTE SPRINGS,36867
"CHRISTOPHER KAOUK, DMD, PA",FL,ALTAMONTE SPRINGS,16065
CITRUS SURGICAL GROUP P.A.,FL,ALTAMONTE SPRINGS,3304
CLARITY BEHAVIORAL HEALTH,FL,ALTAMONTE SPRINGS,9004
"COMMUNITY SYNERGY GROUP, INC.",FL,ALTAMONTE SPRINGS,10553
"COMPREHENSIVE PHYSICIANS GROUP, INC.",FL,ALTAMONTE SPRINGS,54806
CORDELL MITCHELL,FL,ALTAMONTE SPRINGS,1465
CRIGLER FOOT & ANKLE CENTER LLC,FL,ALTAMONTE SPRINGS,1729
"DALE F WALKER & MARITZA I HALL, ET AL, PARTNERSHIP",FL,ALTAMONTE SPRINGS,2308
DENNIS R WARD MD PA,FL,ALTAMONTE SPRINGS,200
