Provider Name,State,City,Payment
CARING DENTAL CENTER,FM,ANN ARBOR,33625
CARDIOQ HEART AND VASCULAR SPECIALISTS OF MI,FM,BEVERLY HILLS,33373
COUNTRYSIDE DRUG CO III,FM,EDMORE,3387
"TRANSITIONAL CARE SERVICES, LLC",FM,FENTON,57696
"BILOXI HMA, LLC",FM,FRANKLIN,12364364
COVENANT LIVING OF THE GREAT LAKES,FM,GRAND RAPIDS,391010
AVERA GRANITE FALLS HEALTH CENTER,FM,GRANITE FALLS,4475148
"LEADING HOME HEALTH SERVICES, INC",FM,HAMTRAMCK,58586
"LAPEER CHRISTIAN COUNSELING, LLC",FM,LAPEER,787
ROSEDALE COMMUNITY PHARMACY INC,FM,LIVONIA,40649
"NORTHVILLE VISION CLINIC, PC",FM,NORTHVILLE,19831
"INTEGRATED MEDICAL PARTNERS, P.A.",FM,NOVI,122742
CHARTER TOWNSHIP OF MERIDIAN,FM,OKEMOS,50036
POHNPEI COMMUNITY HEALTH CENTRE,FM,POHNPEI,103253
ALLERGY AND ASTHMA CLINIC OF MICHIGAN,FM,SOUTHGATE,33865
SOUTHGATE MEDICAL CLINIC PC,FM,SOUTHGATE,20338
"GRAND TRAVERSE ALLERGY, PC",FM,TRAVERSE CITY,23760
ONIEL FAMILY DENTISTRY PLLC,FM,TROY,11834
REGENCY IHS HOSPICE SERVICES,FM,VICTORIA,77394
TIMOTHY D ANDRES DDS PC,FM,WYANDOTTE,24241
