Provider Name,State,City,Payment
LOU ANN BEST DMD PC,GA,ABANY,7457
"GLOBAL ABBEVILLE, LLC",GA,ABBEVILLE,545144
HIGH COTTON HOMES LLC,GA,ABBEVILLE,71748
"A. DYLAN REACH, OD, PC",GA,ACWORTH,3780
"ACWORTH CENTER FOR DENTAL EXCELLENCE, P.C.",GA,ACWORTH,19113
ACWORTH DENTAL LLC,GA,ACWORTH,37721
"ACWORTH FAMILY PRACTICE,LLC",GA,ACWORTH,7650
ACWORTH PAIN MANAGEMENT CENTER INC,GA,ACWORTH,3685
ADJUSTED DEVELOPMENT FAMILY CHIROPRACTIC PC,GA,ACWORTH,111
ASHLEY MEEKS,GA,ACWORTH,1330
BACK TO LIFE PAIN CENTER LLC,GA,ACWORTH,14630
BARRY SCHIRACK,GA,ACWORTH,383
"BEYOND LIMITS PEDIATRIC THERAPY CENTER, LLC",GA,ACWORTH,28267
CEDARCREST DENTAL PC,GA,ACWORTH,17732
"CENTER FOR SPINE INTERVENTIONS ASC 3, LLC",GA,ACWORTH,16059
"CENTERVIEW COUNSELING, LLC",GA,ACWORTH,1152
CHRISTINA ARMSTRONG LCSW LLC,GA,ACWORTH,1343
"CHRISTOPHER B. ADAMS, DDS",GA,ACWORTH,21486
CLINICA SANTA MARIA LLC,GA,ACWORTH,250
"CML FAMILY CHIROPRACTIC, INC.",GA,ACWORTH,2584
COWRY MEDICAL GROUP,GA,ACWORTH,8971
"D SMITH COUNSELING SERVICES, LLC",GA,ACWORTH,452
DANIEL LEE DMD PC,GA,ACWORTH,23136
"DAVID K BURAN, DMD",GA,ACWORTH,14084
DELARAM SHEKARRIZ,GA,ACWORTH,1110
DENTAL NATION PC,GA,ACWORTH,210562
DTJG DENTAL GROUP LLC,GA,ACWORTH,5350
EYE CONTACT INC,GA,ACWORTH,27295
FELICITY WARREN,GA,ACWORTH,8925
FREGO HOMECARE INC,GA,ACWORTH,2492
HACKETT-HAYES & ASSOCIATES,GA,ACWORTH,46972
"HAL WILSON, DDS",GA,ACWORTH,24344
"HEALTHCARE SMART, INC.",GA,ACWORTH,8332
HIRAM CHIROPRACTIC,GA,ACWORTH,758
J CHAPPELL MD PC,GA,ACWORTH,15270
"JASON E. TURNER DMD, P.C.",GA,ACWORTH,57609
"JOHN I. KELLY, D.C.",GA,ACWORTH,1819
JON BYRD,GA,ACWORTH,5
"KIRSTEN P JONES, LPC",GA,ACWORTH,14335
"LACEY DRUG COMPANY, INC",GA,ACWORTH,14368
LAKE POINTE CHIROPRACTIC INC,GA,ACWORTH,46442
"LAKE POINTE DENTAL, INC.",GA,ACWORTH,29225
"MAYS & VALLE, P.C.",GA,ACWORTH,52574
"MIDNIGHT ROSE, LLC",GA,ACWORTH,22234
NORTH COBB SPINE AND NERVE INSTITUTE LLC,GA,ACWORTH,8665
"NORTHWEST ORAL & MAXILLOFACIAL SURGERY ASSOC., P.C.",GA,ACWORTH,161951
PATRICIA COHEN,GA,ACWORTH,205
PHILIP LIBRONE,GA,ACWORTH,1000
"PHYSICIAN PAIN CARE,P.C.",GA,ACWORTH,21354
"RICHARD J SCHLEISSINGER, DPM PC",GA,ACWORTH,8767
SAINI DENTAL LLC,GA,ACWORTH,213459
STEVE TONGKUN HAHN DMD PC,GA,ACWORTH,152525
THE PAYNE CENTER PC,GA,ACWORTH,923
VAUGHN CHIROPRACTIC LLC,GA,ACWORTH,1552
VISION ONE INC,GA,ACWORTH,29389
"WESTBROOK INTERNAL MEDICINE, LLC",GA,ACWORTH,9347
"ADAIRSVILLE WORX, LLC",GA,ADAIRSVILLE,89942
GILBERT JAMES OD INC,GA,ADAIRSVILLE,26131
GILFERG WELLNESS GROUP,GA,ADAIRSVILLE,1223
LIM FAMILY DENTISTRY,GA,ADAIRSVILLE,76123
PLAY WITH PURPOSE LLC,GA,ADAIRSVILLE,1790
COOK COUNTY THERAPY INC,GA,ADEL,8025
CROSBY AND SHAW ENTERPRISES INC.,GA,ADEL,14946
"DR TIM SELLERS, OPTOMETRIST",GA,ADEL,28709
"FAMILY HEALTH CENTER OF ADEL, INC.",GA,ADEL,12554
