Provider Name,State,City,Payment
"MARIANAS MEDICAL RESPONSE, LLC",GU,BARRIGADA,20332
PALM TREE LLC,GU,BARRIGADA,409175
PARAOCEANA BEHAVIORAL HEALTH SERVICES,GU,BARRIGADA,50923
ALIX CHENET,GU,DEDEDO,3873
"BLUE OCEAN MEDICAL GROUP, LLC",GU,DEDEDO,148352
"C.V. ALEGRIA D.D.S., INC.",GU,DEDEDO,419136
DONALD PRESTON,GU,DEDEDO,1465
"GREGORY J MILLER, DC",GU,DEDEDO,9697
GUAM HEALTHCARE DEVELOPMENT INC.,GU,DEDEDO,10598576
"GUAM MEDICAL HEALTH CARE CENTER, INC",GU,DEDEDO,18268
"INTERNATIONAL HEALTH PROVIDERS, LLC",GU,DEDEDO,25636
MA GLADYS LINSANGAN,GU,DEDEDO,15152
SCOTT LARKIN,GU,DEDEDO,408
CARDIOLOGY CARE CLINIC,GU,EATONTON,72399
PRACTICAL THERAPY SOLUTIONS LLC,GU,EXPERIMENT,1402
ABC DENTAL LLC,GU,HAGATNA,65263
ALH LLC,GU,HAGATNA,565337
"FRANCISCO P. SAN NICOLAS , DMD PC",GU,HAGATNA,27610
GOVERNMENT OF GUAM - DEPARTMENT OF ADMINISTRATION,GU,HAGATNA,133438
GUAM URGENT CARE LLC,GU,HAGATNA,1775
EVERGREEN HEALTH CENTER,GU,MAITE,14533
THE DOCTORS CLINIC,GU,MANGILAO,20676
ORDOT DENTAL CLINIC LLP,GU,ORDOT,169862
"ADVANCED EYECARE, LLC",GU,SINAJANA,68102
PACIFIC MED & NEPHROLOGY,GU,SINAJANA,243829
AC MICRO GUAM LLC,GU,TAMUNING,18731
ACCESS MEDICAL TRANSPORT,GU,TAMUNING,18713
ADULT HEALTH CARE CLINIC,GU,TAMUNING,4233
AMBC P.C.,GU,TAMUNING,99504
AMERICAN MEDICAL CENTER,GU,TAMUNING,383425
BYUNGSOO KIM,GU,TAMUNING,3860
DARIUS A. RICHARDSON,GU,TAMUNING,12616
DAVID J PARKS MD INC,GU,TAMUNING,223846
DENNIS ANTONIO A SARMIENTO,GU,TAMUNING,9990
DR RUBEN P ARAFILES PC,GU,TAMUNING,2747
EDGAR M MAGCALAS MD PC,GU,TAMUNING,44004
ELIZABETH Q CAULEY,GU,TAMUNING,74126
GENERAL CONFERENCE CORP. OF SEVENTH-DAY ADVENTISTS,GU,TAMUNING,953643
GUAHAN PHYSICIANS AND CONSULTANTS,GU,TAMUNING,17011
GUAM DERMATOLOGY INSTITUTE,GU,TAMUNING,22496
"GUAM MEDICAL CARE, LLC",GU,TAMUNING,15680
GUAM MEDICAL IMAGING CENTER LLC,GU,TAMUNING,33436
GUAM MEMORIAL HOSPITAL AUTHORITY,GU,TAMUNING,9739904
"GUAM SLEEP CENTER, LLC",GU,TAMUNING,574
"GUAM SPECIALIST GROUP, PLLC",GU,TAMUNING,56539
"GUAM SURGICENTER, LLC",GU,TAMUNING,154988
"GUAM UROLOGY, LLC",GU,TAMUNING,11453
GUAM X-RAY,GU,TAMUNING,398173
"GURUSAMY, INC. DBA HEALTH SERVICES OF THE PACIFIC",GU,TAMUNING,172415
"GVN, INC.",GU,TAMUNING,33985
"HAFA ADAI FAMILY DENTAL, PC",GU,TAMUNING,28323
HAFA SPECIALIST GROUP LLP,GU,TAMUNING,24421
