Provider Name,State,City,Payment
"AIEA INTERNAL MEDICINE SERVICES, L.L.C.",HI,AIEA,24020
ALAN N OKI MD INC,HI,AIEA,11036
ALAN T SUYAMA MD INC,HI,AIEA,1371
ALOHA CRITICAL CARE ASSOCIATES LLP,HI,AIEA,57837
ALOHA DENTAL CENTER INC,HI,AIEA,11911
AMERICAN HOME CARE SYSTEM INC,HI,AIEA,3440
ANCHETA PEDIATRIC DENTAL LLC,HI,AIEA,95708
ANGELA K WAI MD INC,HI,AIEA,1337
ASPECTS OF LIFE COUNSELING SERVICES LLC,HI,AIEA,2703
"ATTA REHAB, LLC",HI,AIEA,3897
AUTISM BEHAVIOR CONSULTING GROUP,HI,AIEA,501028
BEHRUZ YUSUFBEKOV,HI,AIEA,96
BERNADETTE A FIRME,HI,AIEA,528
CALVIN S OISHI MD INC,HI,AIEA,45732
"CANCER CENTER OF HAWAII, LLC",HI,AIEA,190381
CARMEN BAYBAYAN MD LLC,HI,AIEA,6883
CENTER FOR SIGHT LLC,HI,AIEA,1864
CENTRAL OAHU PHYSICAL THERAPY SPECIALISTS,HI,AIEA,31616
CHARITIE GAMIAO,HI,AIEA,3930
CHERILLE BALAGAT,HI,AIEA,276
CHIROPRACTIC FAMILY HEALTH CENTER,HI,AIEA,80
"CRAIG Y HAMASAKI, MD LLC",HI,AIEA,14878
DARIN AWAYA MD INC,HI,AIEA,13764
DARRELL J LEE MD INC,HI,AIEA,10201
DAVID J MOLS RPT INC.,HI,AIEA,429
DEAN K OTAKA MD INC,HI,AIEA,6656
DEREK B TOM,HI,AIEA,327942
"DIAGNOSTIC LABORATORY SERVICES, INC.",HI,AIEA,2651874
DOLORES G. VICENCIO,HI,AIEA,1577
DR CHARLENE BELL INC,HI,AIEA,2003
EAR NOSE & THROAT CLINICS OF OAHU LLC,HI,AIEA,12889
EDWIN YOSHIO ENDO,HI,AIEA,26000
ELMA YEN B BELORIA,HI,AIEA,157
"EMERGENCY MEDICINE PHYSICIANS OF HONOLULU PALI MOMI, PLLC",HI,AIEA,87364
"ENDODONTIC SPECIALISTS, INC",HI,AIEA,22415
ERIC SMEDEGAARD,HI,AIEA,3867
FLOYD TANOUE DDS,HI,AIEA,10112
"FOOT &AMP; ANKLE INSTITUTE OF HAWAII, LLC",HI,AIEA,19096
"GABRIELA ORTIZ-OMPHROY, MD",HI,AIEA,49685
GALE MARANA DDS INC,HI,AIEA,57697
GEOFFREY V DAVIS MD INC,HI,AIEA,43456
GEORGE SHIMOMURA MD INC,HI,AIEA,3353
GILBERT KORENAGA,HI,AIEA,604
GREGG SHIMOMURA,HI,AIEA,913
"HAWAII DERMATOLOGY & SURGERY, INC",HI,AIEA,12891
HAWAII EAR CLINIC INC,HI,AIEA,127421
HAWAII GASTROENTEROLOGY SPECIALISTS LLC,HI,AIEA,41451
HAWAII HOSPITAL PHYSICIANS INC,HI,AIEA,67642
HAWAII VISION CLINIC,HI,AIEA,261522
HEALTHCARE PARTNERS,HI,AIEA,42993
"ISLAND DENTAL GROUP, INC",HI,AIEA,13547
ISLAND EYE CENTER INC,HI,AIEA,17907
IUC HOLDINGS INC,HI,AIEA,31452
