Provider Name,State,City,Payment
CITY OF ACKLEY,IA,ACKLEY,3265
KURT SPERFSLAGE,IA,ACKLEY,7461
PRESBYTERIAN VILLAGE,IA,ACKLEY,393723
ADAIR FIRE DEPARTMENT INC,IA,ADAIR,849
ADEL CHIROPRACTIC INC,IA,ADEL,1419
"ADEL FAMILY DENTISTRY, P.C.",IA,ADEL,107270
ADEL HEALTHMART INC,IA,ADEL,3118
ADEL VISION CLINIC,IA,ADEL,305
CORE PHYSICAL THERAPY INC,IA,ADEL,38298
DALLAS COUNTY IOWA,IA,ADEL,23255
DR CHARLES R VARCOE OD PC,IA,ADEL,1177
HERRONS HOLDINGS LLC,IA,ADEL,44920
"LUELLEN CHIROPRACTIC, LLC",IA,ADEL,1450
"MAXIMUM PHYSICAL THERAPY, LLC",IA,ADEL,4210
RACHEL N MATTA FAMILY DENTAL PC,IA,ADEL,7105
"AKRON CARE CENTER, INC",IA,AKRON,676314
"BRITTON CHIROPRACTIC PLUS, PLC",IA,AKRON,20663
CITY OF AKRON,IA,AKRON,2324
IMPACT PHYSICAL THERAPY AND WELLNESS LLC,IA,AKRON,4804
THORSON DRUG INC,IA,AKRON,2040
TIMOTHY J ALLARD DC PC,IA,AKRON,686
ALBERT CITY IMPROVEMENT CORP,IA,ALBERT CITY,439940
MICHAEL JUDGE,IA,ALBIA,1290
"MONROE CARE CENTER, INC.",IA,ALBIA,668919
MONROE COUNTY HOSPITAL,IA,ALBIA,4061782
MONROE COUNTY IOWA,IA,ALBIA,113
"REBECCA A THOMAS, PSYD & ASSOCIATES, P.C.",IA,ALBIA,829
"SARVER CHIROPRACTIC CLINIC, P.C.",IA,ALBIA,3332
SOUTHERN IOWA HOME HEALTH LLC,IA,ALBIA,2497
WILLIAM R. ADLER OD PC,IA,ALBIA,922
"ALGONA MANOR CARE CENTER, INC.",IA,ALGONA,543687
ANNE NERISON,IA,ALGONA,374
CITY OF ALGONA,IA,ALGONA,20893
DANIEL REEDY,IA,ALGONA,16506
DAVID JENSON,IA,ALGONA,4181
EXCEPTIONAL OPPORTUNITIES INC,IA,ALGONA,112254
GEVING CHIROPRACTIC P.C.,IA,ALGONA,3235
JEAN HAULARD,IA,ALGONA,11713
JOHN C. KORTENBER OPTOMETRY PC,IA,ALGONA,12443
KLEPPER AND TRAINER PARTNERSHIP,IA,ALGONA,17192
KOSSUTH REGIONAL HEALTH CENTER,IA,ALGONA,4620486
KYLE L WEHRSPAN,IA,ALGONA,2692
"LOUSCHER FAMILY DENTISTRY, LLC",IA,ALGONA,363754
MARY BETH HANSON,IA,ALGONA,833
STEVEN MUELLER,IA,ALGONA,13656
STROHMAN FAMILY DENTAL,IA,ALGONA,34796
TAFFE HEALTH SOLUTIONS,IA,ALGONA,2301
WALKER CHIROPRACTIC & WELLNESS PC,IA,ALGONA,7315
ALLISON FAMILY DENTAL PC,IA,ALLISON,19798
CITY OF ALLISON,IA,ALLISON,1525
"COUNTY OF BUTLER, DBA BUTLER COUNTY PUBLIC HEALTH",IA,ALLISON,14144
KUENY CHIROPRACTIC PC,IA,ALTA,2635
TOWN OF ALTON,IA,ALTON,417
"ALTOONA DENTAL, INC",IA,ALTOONA,27807
ALTOONA SMILES PC,IA,ALTOONA,66378
BALANCE AUTISM,IA,ALTOONA,619997
BTX IOWA INC,IA,ALTOONA,209283
CAPITOL DENTAL,IA,ALTOONA,46837
CHRISTENSEN CHIROPRACTIC PC,IA,ALTOONA,2221
CITY OF ALTOONA,IA,ALTOONA,11876
INSIDE OUT CHIROPRACTIC PLC,IA,ALTOONA,195
JERALD CATRON,IA,ALTOONA,516
KEVIN EICHELBERGER,IA,ALTOONA,1183
MARCUS DAWSON,IA,ALTOONA,1761
"OPCO ALTOONA, IA, LLC",IA,ALTOONA,601702
SUNTKEN FAMILY CHIROPRACTIC LLC,IA,ALTOONA,1089
TERIN STANFLEY,IA,ALTOONA,119
THERESA CRISPIN,IA,ALTOONA,40
VERNON FAMILY CHIROPRACTIC PLC,IA,ALTOONA,1574
WOLFE FAMILY DENTISTRY,IA,ALTOONA,36184
"AMANA FAMILY PRACTICE CLINIC, PC",IA,AMANA,16912
"CHRISTENSEN FAMILY DENTAL, PLC",IA,AMANA,42080
"COLONIAL MANOR OF AMANA, INC",IA,AMANA,736112
ESSENCE OF LIFE LLC,IA,AMANA,127743
LAKEVIEW VILLAGE INC,IA,AMANA,48950
UTHOFF FAMILY CHIROPRACTIC PC,IA,AMANA,2021
ADVANCED CHIROPRACTIC INC,IA,AMES,1022
"AMES CENTER FOR COSMETIC AND FAMILY DENTISTRY, P.C.",IA,AMES,135132
AMES FOOT CLINIC PC,IA,AMES,9855
"AMES ORAL SURGEONS, PC",IA,AMES,67413
AMES THERAPY SERVICES PC,IA,AMES,10434
AMY KUEHL,IA,AMES,644
ANNE MCCREA LISW INC,IA,AMES,1640
ARTHUR KONAR,IA,AMES,18
BACK IN ACTION CHIROPRACTIC LLC,IA,AMES,1430
"BLUE SKY ORTHODONTICS, PC",IA,AMES,45622
BRANDON M PATTEN DDS PC,IA,AMES,38846
BRIDGES CHIROPRACTIC CLINIC DC PC,IA,AMES,4103
CARVER NEBBE,IA,AMES,350
CATALYST COUNSELING P.L.L.C.,IA,AMES,1702
"CHOICE MEDICAL, LLC",IA,AMES,8332
COMPASS TREE LLC,IA,AMES,2455
"CRAWFORD ENDODONTICS, PLLC",IA,AMES,21505
CYCLONE HEALTHCARE INC.,IA,AMES,1460
DAVIS CHIROPRACTIC SERVICES INC,IA,AMES,1419
DEENA CAVENDER LISW INC,IA,AMES,1307
"DENTISTRY AT SOMERSET, PC",IA,AMES,48198
DORAN & DORAN PC,IA,AMES,2515
EDWARD RUPPERT,IA,AMES,1320
"EXPRESSIONS DENTAL OF IOWA, P.C.",IA,AMES,8877
FEIL CHIROPRACTIC LLC,IA,AMES,18
"FIVE OAKS CHIROPRACTIC, LLC",IA,AMES,13996
FRANK MARTINEZ,IA,AMES,841
"FRIENDSHIP ARK, INC.",IA,AMES,52536
GLORIA BILLINGS LISW ACSW PLC,IA,AMES,782
GRAND CARE LLC,IA,AMES,839050
"GRANDGENETT FAMILY DENTAL, P.C.",IA,AMES,30135
"GREEN HILLS HEALTH CARE CENTER, INC.",IA,AMES,597457
HEALTHY LIFESTYLES CHIROPRACTIC,IA,AMES,740
HEARTLAND MENTAL HEALTH THERAPY LLC,IA,AMES,856
"ILLUMINATIONS, INC.",IA,AMES,1727
IOWA FAMILY CHIROPRACTIC AMES,IA,AMES,2097
JEFFREY G HERRICK,IA,AMES,96726
JOCELYN WILSON,IA,AMES,253
"JOHN E KRUGER, O.D., P.C.",IA,AMES,37666
"JOHN J KEARNEY DDS, P.C.",IA,AMES,78920
JORGENSEN CHIROPRACTIC PC,IA,AMES,856
KATIE KEARNEY PORTER DDS PC,IA,AMES,39215
KIM J WASS DDS MS PC,IA,AMES,23605
KIMBERLY BENTON HERZBERG,IA,AMES,429
KIMBERLY J HARMON,IA,AMES,7023
KURT VER HELST DC PC,IA,AMES,1603
LINDA FELDMAN,IA,AMES,1800
"MAINSTREAM LIVING, INC.",IA,AMES,1272268
MARY GREELEY MEDICAL CENTER,IA,AMES,6410177
"MCFARLAND CLINIC, P.C.",IA,AMES,10532946
NORTH GRAND DENTAL,IA,AMES,491784
"NORTHCREST, INC.",IA,AMES,82807
PAMELA BROWN,IA,AMES,221
PLATINUM CHIROPRACTIC INC,IA,AMES,560
"PYFFEROEN PEDIATRIC DENTISTRY, PLLC",IA,AMES,25657
REBARCAK CHIROPRACTIC PLC,IA,AMES,93480
RISE CHIROPRACTIC LLC,IA,AMES,121
SONYA M STOLTZE NEWSTROM DDS PC,IA,AMES,24636
STANIFORTH AND HAWTHORNE DENTAL,IA,AMES,23195
SUNCREST HOSPICE LLC,IA,AMES,650116
SWANSON FAMILY DENTAL PC,IA,AMES,16395
THE RICHMOND CENTER,IA,AMES,21774
"WARREN H. PHILLIPS, III, PHD PC",IA,AMES,7607
"YOUTH AND SHELTER SERVICES, INC.",IA,AMES,100469
ANAMOSA AREA AMBULANCE SERVICE,IA,ANAMOSA,13065
ANAMOSA NURSING HOME COMPANY,IA,ANAMOSA,647829
CITY OF OLIN,IA,ANAMOSA,733
DEBRA K OLDHAM DDS PC,IA,ANAMOSA,102751
JCFD PLC,IA,ANAMOSA,107174
MARC N DUNCAN,IA,ANAMOSA,6119
PRESCRIPTION SHOPPE INC,IA,ANAMOSA,3184
ST LUKES JONES REGIONAL MEDICAL CENTER,IA,ANAMOSA,4461906
WAPSI CHIROPRACTIC INC,IA,ANAMOSA,1766
"WAPSI PHYSICAL THERAPY, INC",IA,ANAMOSA,5947
ANDOVER AMBULANCE SERVICE,IA,ANDOVER,500
CARING ACRES LLC,IA,ANITA,492481
CITY OF ANITA,IA,ANITA,1173
ABSOLUTE HEALTH CHIROPRACTIC PLLC,IA,ANKENY,504
"ANKENY DENTAL ASSOCIATES, P.C.",IA,ANKENY,156396
"ANKENY FAMILY DENTAL CENTER, PLC",IA,ANKENY,113740
"ANKENY HEALTH CARE ENTERPRISES, LLC",IA,ANKENY,866637
"ANKENY MEDICAL PARK SURGERY CENTER, L.C.",IA,ANKENY,374350
ANKENY SMILES,IA,ANKENY,6240
ARBOR VITAE P.C.,IA,ANKENY,1288
"BARBARA E. EVANS, M.D., P.C.",IA,ANKENY,42769
BIRCHWOOD WELLNESS,IA,ANKENY,1437
"BLOYER CHIROPRACTIC AND WELLNESS, PLLC",IA,ANKENY,11649
CENTER FOR INTERPERSONAL EFFECTIVENESS,IA,ANKENY,4339
CHADWIN J WAGENER,IA,ANKENY,20999
CITY OF ANKENY,IA,ANKENY,35358
CNR DEVELOPMENT LLC,IA,ANKENY,6348
DENTAL IMPRESSIONS LLC,IA,ANKENY,12510
DESIGNED 2 MOVE LLC,IA,ANKENY,6475
DONOVAN SALGADO,IA,ANKENY,33
DR KEVIN STAPLEFORD,IA,ANKENY,2012
EMBRACE LIFE CHIROPRACTIC LLC,IA,ANKENY,1459
"ERIKA E. PEDDICORD, DDS PLC",IA,ANKENY,20692
"EVOLUTIONZ, INC",IA,ANKENY,1131
FAMILY WELLNESS CHIROPRACTIC PLLC,IA,ANKENY,338
FOOT AND ANKLE CENTER OF IOWA LLC,IA,ANKENY,7217
"FRED C MARSH MD, PC",IA,ANKENY,646
FREEDOM HOME HEALTH CARE INC.,IA,ANKENY,66141
"FULL HEART FAMILY THERAPY AND RENEWAL CENTER, LLC",IA,ANKENY,5993
"GENERATIVITY, LLC",IA,ANKENY,39387
"GREGG S SUNNER, O.D., P.C.",IA,ANKENY,12379
"GREGORY C BRANDT DDS, PC",IA,ANKENY,77114
"GRX HOLDINGS, LLC",IA,ANKENY,37786
HAWKEYE ESTATES DBA THE BRIDGES AT ANKENY,IA,ANKENY,603267
HEALTH CLINIC PC,IA,ANKENY,275
