Provider Name,State,City,Payment
ABERDEEN- SPRINGFIELD FIRE DISTRICT,ID,ABERDEEN,768
AF DENTAL PLLC,ID,AMERICAN FALLS,5624
BRIAN PATRICK ADAIR OD PLLC,ID,AMERICAN FALLS,1899
COUNTY OF POWER,ID,AMERICAN FALLS,5763
DEVON TOMKINSON,ID,AMERICAN FALLS,130
DOCTORS CLINIC PA,ID,AMERICAN FALLS,6995
POWER COUNTY HOSPITAL DISTRICT,ID,AMERICAN FALLS,3494099
ROCKLAND PHARMACY INC,ID,AMERICAN FALLS,4508
A CHILDS SMILE KIDS DENTAL,ID,AMMON,29846
ASPEN RIDGE EYE CARE PLLC,ID,AMMON,874
BADGER INC,ID,AMMON,9992
CANNON CHIROPRACTIC,ID,AMMON,3213
"CAROL KLETT VANCE MD, INC.",ID,AMMON,169
"EDEN HOME HEALTH OF IDAHO FALLS, LLC",ID,AMMON,64124
HAS INCORPORATED,ID,AMMON,359305
HEALTHY CARE SOLUTIONS LLC,ID,AMMON,42201
JOSHUA DAVIS,ID,AMMON,4160
KAYNE KISHIYAMA MD PA,ID,AMMON,2000
PATRICK MAYO,ID,AMMON,1353
"PEAK PERFORMANCE THERAPY SERVICES, PC",ID,AMMON,6143
PEARL HEALTH CLINIC,ID,AMMON,70865
ROOT CAUSE INTEGRATIVE MEDICINE LLC,ID,AMMON,530
ROYAL JOURNEYS LLC,ID,AMMON,152776
SCORESBY CHIROPRACTIC CENTER PA,ID,AMMON,898
SNF AMMON OPERATING COMPANY LLC,ID,AMMON,769694
SPINE ALIGN CHIROPRACTIC INC,ID,AMMON,1979
TETON RETINAL INSTITUTE PA,ID,AMMON,114295
LOST RIVER EMT,ID,ARCO,5467
LOST RIVERS MEDICAL CENTER,ID,ARCO,3473881
ALPINE PHYSICAL THERAPY PLLC,ID,ASHTON,5363
"ASHTON MEMORIAL, INC.",ID,ASHTON,497578
MORRISON COUNSELING,ID,ASHTON,4321
PRECISION CHIROPRACTIC,ID,ASHTON,6499
"BELLEVUE OF CASCADIA, LLC",ID,BELLEVUE,307658
BLAINE COUNTY,ID,BELLEVUE,12642
INDEPENDENCE REHAB LLC,ID,BELLEVUE,58630
PRIMARY THERAPY SOURCE LLC,ID,BELLEVUE,6011
SNOWY RIVER DENTAL PLLC,ID,BELLEVUE,5965
ADVANCED CHIROPRACTIC OF BLACKFOOT,ID,BLACKFOOT,820
ADVANCED EYECARE OF BLACKFOOT PLLC,ID,BLACKFOOT,1146
"ADVANCED FOOT & ANKLE CENTER, LLC",ID,BLACKFOOT,4974
"BARNES PHYSICAL THERAPY, LLC",ID,BLACKFOOT,8003
BINGHAM FAMILY VISION LLC,ID,BLACKFOOT,1343
BLACKFOOT FAMILY DENTISTRY PLLC,ID,BLACKFOOT,21185
"BMH, INC.",ID,BLACKFOOT,9557924
CAMP HIPPO PEDIATRIC THERAPY LLC,ID,BLACKFOOT,1064
CC HOME HEALTH CHOICES LLC,ID,BLACKFOOT,146993
CITY OF BLACKFOOT,ID,BLACKFOOT,22209
"COMPLETE FAMILY EYE CARE, PA",ID,BLACKFOOT,3666
CRAIG J DENNY MD PROF,ID,BLACKFOOT,1001
DARIN GAMBLES,ID,BLACKFOOT,9498
DENNIS N MARSHALL OD PA,ID,BLACKFOOT,4101
"DJ MARC CARDINAL, MD PA",ID,BLACKFOOT,9330
ELLIS CHIROPRACTIC INC,ID,BLACKFOOT,2913
EMERALD HOUSE LLC,ID,BLACKFOOT,117045
FAMILY DENTAL CENTER PLLC,ID,BLACKFOOT,18923
FAMILY DENTAL OF BLACKFOOT  LLC,ID,BLACKFOOT,14477
"FAMILY PATHWAYS COOPERATIVE, INC",ID,BLACKFOOT,774
HAWKER INC.,ID,BLACKFOOT,16226
IDAHO KIDNEY CENTER - BLACKFOOT LLC,ID,BLACKFOOT,61900
IDAHO PATHOLOGY LABORATORY PHYSICIANS,ID,BLACKFOOT,20243
JOHNSON CHIROPRACTIC PC,ID,BLACKFOOT,1521
MOUNTAIN RIVER BIRTHING AND SURGERY CENTER LLC,ID,BLACKFOOT,1032744
MVH BMC LLC,ID,BLACKFOOT,275012
MVH PARKWAY LLC,ID,BLACKFOOT,6220
"ORTHOMEDICAL, INC",ID,BLACKFOOT,5769
ROBERT JONES,ID,BLACKFOOT,13142
ROCKY MOUNTAIN PHYSICAL THERAPY PLLC,ID,BLACKFOOT,4409
SOUTHEASTERN DISTRICT HEALTH DEPARTMENT,ID,BLACKFOOT,5313
STILLWATERS COUNSELING LLC,ID,BLACKFOOT,1163
"TETON RADIOLOGY DIAGNOSTIC, LLC",ID,BLACKFOOT,109001
62 DEGREES PHYSICAL THERAPY,ID,BOISE,2932
8850 W EMERALD #150,ID,BOISE,49419
A BETTER CARE HOME HEALTH INC.,ID,BOISE,46497
"A BETTER DAY COUNSELING SERVICES, PA",ID,BOISE,659
A BETTER LIFE COUNSELING PLLC,ID,BOISE,32
"A BETTER WAY HOME, LLC",ID,BOISE,283671
A HELPING HAND IN HOME CARE,ID,BOISE,14881
A. YOUNG INCORPORATED,ID,BOISE,439
ABIGAIL PIRON,ID,BOISE,1917
"ABOUT BALANCE MENTAL HEALTH, LLC",ID,BOISE,5659
"ACCESS BEHAVIORAL HEALTH SERVICES, INC",ID,BOISE,305811
ACHIEVE PHYSICAL THERAPY PLLC,ID,BOISE,33688
"ACTIVE CHIROPRACTIC, PC",ID,BOISE,9712
"ACUTE RESCUE AND TRANSPORT, INC",ID,BOISE,10195
ADA COUNTY,ID,BOISE,181993
"ADA DERMATOLOGY, P.A.",ID,BOISE,23171
"ADA PEDIATRICS, P.A.",ID,BOISE,20034
"ADA THERAPY SERVICES, PLLC",ID,BOISE,2245
ADA VISION CENTER EAST PLLC,ID,BOISE,10207
ADA VISION CENTER PA,ID,BOISE,419178
ADVANCE PHYSICAL THERAPY FOR ORTHOPAEDIC AND SPORTS INJURIES,ID,BOISE,5882
ADVANCED PROSTHETICS AND ORTHOTICS LLC,ID,BOISE,25146
AFFINITY DENTAL PLLC,ID,BOISE,13063
ALAN BARNES,ID,BOISE,729
ALESSI VASCULAR SURGERY PC,ID,BOISE,13262
ALEXANDER ORTHODONTICS LLC,ID,BOISE,29958
ALICE STERNKE & ASSOC INC,ID,BOISE,168
"ALL ABOUT YOU DENTAL, PLLC",ID,BOISE,61596
ALL HORIZONS INC,ID,BOISE,46870
"ALL TOGETHER NOW, INC",ID,BOISE,7220
ALLIANCE MEDICAL GROUP LLC,ID,BOISE,1191175
ALTURAS COUNSELING,ID,BOISE,112
"ALVES FAMILY CHIROPRACTIC, INC.",ID,BOISE,3012
ALVIN JONES,ID,BOISE,1173
ALWAYS A WAY LLC,ID,BOISE,117
AMBITIONS OF IDAHO INC,ID,BOISE,8915
AMY EDWARDS,ID,BOISE,14
"ANESTHESIA ASSOCIATES OF BOISE, P.A.",ID,BOISE,651318
ANESTHESIOLOGY CONSULTANTS OF TREASURE VALLEY PLLC,ID,BOISE,97993
APB MEDICAL PC,ID,BOISE,12489
APLUS CHIROPRACTIC PLLC,ID,BOISE,560
APRIL JOHNSON-BEERY,ID,BOISE,401
"ARC LIVING, INC.",ID,BOISE,3550
ASCEND MEDICAL LLC,ID,BOISE,5661
ASHLEY A DAVIS M.D.P.C.,ID,BOISE,1257
ATKINSON PSYCHOLOGY LLC,ID,BOISE,735
AUDIOLOGY AND HEARING AID ASSOCIATES,ID,BOISE,11589
AUDIOLOGY UNLIMITED & HEARING AID SALES LLC,ID,BOISE,1072
AUDREY MITCHELL,ID,BOISE,1982
AWIC PC,ID,BOISE,9774
B & B LINGERIE COMPANY INC,ID,BOISE,1877
BARBARA MINTON,ID,BOISE,421
BARBER TOWN EYE CARE,ID,BOISE,7977
BEDSIDE XRAY SERVICE INC,ID,BOISE,18150
BEHAVIORAL HEALTH ASSOCIATES LLP,ID,BOISE,264
"BENCHMARK FAMILY DENTISTRY, PLLC",ID,BOISE,35694
"BENEFICIAL CONNECTIONS THERAPY SERVICES, INC.",ID,BOISE,1956
"BHC INTERMOUNTAIN HOSPITAL, INC.",ID,BOISE,571085
BLACKFLY INVESTMENTS LLC,ID,BOISE,362675
BOISE CARING DENTISTRY,ID,BOISE,20480
BOISE CHIROPRACTIC INC,ID,BOISE,2808
BOISE DIALYSIS PARTNERS II LLC,ID,BOISE,53535
BOISE FAMILY DENTAL CARE,ID,BOISE,45854
BOISE FAMILY MEDICINE LLC,ID,BOISE,20919
"BOISE LASER & COSMETIC SURGERY CENTER, PC",ID,BOISE,40549
"BOISE MOUNTAIN EYE ASSOCIATES, P.C.",ID,BOISE,25372
"BOISE OPERATIONS, LLC",ID,BOISE,701393
"BOISE ORTHODONTICS, PLLC",ID,BOISE,9532
BOISE PATHOLOGY GROUP P.A.,ID,BOISE,157457
BOISE PHYSICAL MEDICINE AND REHABILITATION CLINC,ID,BOISE,8981
BOISE RADIOLOGY GROUP PLLC,ID,BOISE,567385
BOISE TOOTH TOWN DENTISTRY PLLC,ID,BOISE,45204
BOISE VALLEY CHIROPRACTIC LLC,ID,BOISE,1420
"BOISE VISION CARE, P.A.",ID,BOISE,40079
"BRANDON L TAYLOR DMD, PC",ID,BOISE,28817
BRENDA DEE,ID,BOISE,799
"BRENT L. CHAPMAN DDS, PC",ID,BOISE,10909
BRIAN BIRD DMD PLLC,ID,BOISE,16161
BRIGHT BLOOMS LLC,ID,BOISE,55107
BRIGHTER FUTURE HEALTH INC,ID,BOISE,1419
BRINTON ANESTHESIA GROUP PLLC,ID,BOISE,923
BROADWAY CHIROPRACTIC CENTER PROFESSIONAL ASSOCIATION,ID,BOISE,1250
BRUCE DMD AND RIRIE DDS PA,ID,BOISE,61163
BRYAN JAMES ANDERSON MD PC,ID,BOISE,517
CAI HUA LI,ID,BOISE,389
"CAPITOL DENTAL, PC",ID,BOISE,32028
CARRICK C BREWSTER DDS PA,ID,BOISE,20907
"CARTER DENTAL, PA",ID,BOISE,20786
CENTER FOR BEHAVIORAL HEALTH LAS VEGAS I,ID,BOISE,87296
"CENTER FOR COLORECTAL CARE, LLC",ID,BOISE,3665
CENTER FOR PAIN CARE P A,ID,BOISE,5313
CHARLES C NOVAK MD CHARTERED,ID,BOISE,2159
"CHARLES DIEMART, LICENSED PROFESSIONAL COUNSELOR",ID,BOISE,363
"CHATTERTON SPEECH THERAPY, LLC",ID,BOISE,2138
CHILDREN'S HOME SOCIETY OF IDAHO,ID,BOISE,249191
CHILDRENS THERAPY PLACE INC,ID,BOISE,319221
"CHIROPRACTIC SPINE CARE, INC.",ID,BOISE,149
"CHRISTOPHER R. WELLS DMD, PC",ID,BOISE,27141
CLAUDIA CURRIE-MILLS,ID,BOISE,342
COIRE WEATHERS MD PLLC,ID,BOISE,2135
"COLE DIAGNOSTICS, INC.",ID,BOISE,97151
COLE FAMILY EYE CENTER PA,ID,BOISE,838
"COMMUNITY PARTNERSHIPS OF IDAHO, INC.",ID,BOISE,1136739
COMPLETE HOSPICE CARE OF BOISE LLC,ID,BOISE,84483
COMPREHENSIVE HEALTH ASSOCIATES PLLC,ID,BOISE,3594
CONSULTANTS IN EPILEPSY AND NEUROLOGY PLLC,ID,BOISE,4690
"CORNERSTONE PSYCHOLOGICAL ASSOCIATES, PLLC",ID,BOISE,15728
"CRAIG D. BLAISDELL, DDS, PLLC",ID,BOISE,33643
"CRUM CHIROPRACTIC, LLC",ID,BOISE,1034
CTM ASSISTED LIVING INC.,ID,BOISE,26154
CYNDY RADOVICH,ID,BOISE,1049
D PETER REEDY MD PA,ID,BOISE,740
DALLAS STEVENS OD PA,ID,BOISE,160
DANIEL S MALAN DMD PLLC,ID,BOISE,18701
DARIN L WEYHRICH M D P A,ID,BOISE,1051
"DARING IN IDAHO, LLC",ID,BOISE,2468
"DARON LIND DDS, PLLC",ID,BOISE,42584
"DAVID M. WARD, JR., OD, PA",ID,BOISE,1986
DAVID N SIM MD PA,ID,BOISE,7172
DAVID PRICE,ID,BOISE,1288
DAVID TEED,ID,BOISE,526
DAYLEY FAMILY DENTAL,ID,BOISE,17931
DELRAY MAUGHAN MD PLLC,ID,BOISE,1135
"DENNIS J. GARPETTI, DDS, PC",ID,BOISE,31507
"DFC, PLLC",ID,BOISE,41042
DINU G MISTRY MD PA,ID,BOISE,402
DIRECT ORTHOPEDIC CARE LLC,ID,BOISE,19583
DIVISION OF VETERANS SERVICES,ID,BOISE,3273957
DONDELL INC,ID,BOISE,44667
