Provider Name,State,City,Payment
WALTER D PEREZ MD SC,IL,ADDISO,22672
1ST FAMILY DENTAL OF ADDISON PC,IL,ADDISON,26222
ACCESS DENTAL & MEDICAL CENTER PC,IL,ADDISON,55358
ADDISON FIRE PROTECTION DISTRICT,IL,ADDISON,26641
ADDISON MEDICAL ASSOCIATES LTD,IL,ADDISON,13499
ADDISON MEDICAL SQUARE LTD,IL,ADDISON,2301
ADDISON PHARMACY INC,IL,ADDISON,2
AIDEN CENTER FOR DAY SURGERY,IL,ADDISON,195753
"AMERICAS FAMILY MEDICAL CENTERS, SC",IL,ADDISON,11853
AVESENA INC.,IL,ADDISON,89662
BOZENA SCIGACZ MEDICAL OFFICE S.C.,IL,ADDISON,7673
CHIROCARE CLINIC CORPORATION,IL,ADDISON,9
COMMUNITY PHYSICAL THERAPY & ASSOC LTD,IL,ADDISON,15591
"DR CALVIN GEORGE, PC",IL,ADDISON,2240
"DUPAGE OPTICAL, INC",IL,ADDISON,36842
ELITE DENTISTRY P.C.,IL,ADDISON,14195
FAMILY HOME HEALTH SERVICES INC,IL,ADDISON,795731
"FMGC, S.C.",IL,ADDISON,28433
GREGORY IAVARONE,IL,ADDISON,455
"HAMDARD CENTER FOR HEALTH AND HUMAN SERVICES, NFP",IL,ADDISON,15955
JAMES A VITALE OD PC,IL,ADDISON,17997
"LAKE STREET FAMILY MEDICINE, LLC",IL,ADDISON,8626
LUBNA KADIR DDS PC,IL,ADDISON,4858
MANOHAR L. JAIN,IL,ADDISON,23636
MEDICAL AND HEART CLINIC SC,IL,ADDISON,3149
"MICHAEL W. NABOROWSKI D.D.S., LTD.",IL,ADDISON,18377
"MIDWEST MEDICAL TRANSPORT, INC",IL,ADDISON,122
"N O S  HEALTHCARE, INC",IL,ADDISON,51305
"PROGRESSIVE MEDICAL CENTER, S.C.",IL,ADDISON,66481
RENU JAIN MD,IL,ADDISON,77326
SONIC IMAGING INC,IL,ADDISON,4838
SRIWELLNESS CENTRE,IL,ADDISON,3944
THE INSTITUTE FOR VEIN HEALTH LLC,IL,ADDISON,9614
UPGRADE PHARMACY INC,IL,ADDISON,99
ALBANY FIRE PROTECTION DISTRICT,IL,ALBANY,1725
EDWARDS COUNTY HEALTH OFFICE,IL,ALBION,3283
"EKMKK PHARMACY, LLC",IL,ALBION,1443
GARY STEVENS,IL,ALBION,2451
"REST HAVEN MANOR, INC.",IL,ALBION,314562
SPEIR CHIROPRACTIC P.C.,IL,ALBION,41073
ADVANTAGE FAMILY CHIROPRACTIC PC,IL,ALEDO,3876
COUNTY OF MERCER,IL,ALEDO,1404
"DRS. DISTIN & DOYLE, OPTOMETRISTS",IL,ALEDO,3114
"FAMILY CHIROPRACTIC CLINIC OF VIOLA, PC",IL,ALEDO,3544
GENESIS MEDICAL CENTER ALEDO,IL,ALEDO,3719158
RAJPUT MEDICAL CLINIC LTD,IL,ALEDO,3559
ALEXIS NORTH HENDERSON AMBULANCE SERVICE,IL,ALEXIS,2285
ACTIVE FAMILY CHIROPRACTIC,IL,ALGONQUIN,1013
ADVANCED DENTAL AND IMPLANT CARE PC,IL,ALGONQUIN,11852
"ALGONQUIN CHIROPRACTIC CENTER, PC",IL,ALGONQUIN,18873
ALGONQUIN FAMILY CHIROPRACTIC LTD,IL,ALGONQUIN,1298
"ALGONQUIN FAMILY HEALTHCARE, P.C.",IL,ALGONQUIN,24989
ALL SOLUTIONS HEALTHCARE INC,IL,ALGONQUIN,50120
"AMERICANCANCER CENTER,PC",IL,ALGONQUIN,122439
ANJUMOHSI INC,IL,ALGONQUIN,27247
ATKINSON EYE CARE PC,IL,ALGONQUIN,2326
BACK OF AMERICA LTD.,IL,ALGONQUIN,5146
"BACK TO BASICS PEDIATRICS, SC",IL,ALGONQUIN,6891
BELRICHARD FAMILY CHIROPRACTIC INC,IL,ALGONQUIN,508
BETTER HEALTH CARE OPTIONS,IL,ALGONQUIN,63971
CARE NAVIGATORS INC.,IL,ALGONQUIN,5000
CLAIRE L BROWN LCSW PC,IL,ALGONQUIN,877
DAN NIEQUIST,IL,ALGONQUIN,2850
DAVID NIEQUIST,IL,ALGONQUIN,1317
DENNIS NIEQUIST,IL,ALGONQUIN,1224
DENTAL PROFESSIONALS OF ALGONQUIN,IL,ALGONQUIN,22617
DERMATOLOGY SPECIALISTS OF ILLINOIS,IL,ALGONQUIN,96607
"DIAMOND PHYSICAL THERAPY AND REHABILITATION, PC",IL,ALGONQUIN,26123
DR DAWN WICKIZER AND ASSOCIATES LLC,IL,ALGONQUIN,3834
"ELIZABETH PAJAK DDS, LTD",IL,ALGONQUIN,29489
EMMANUEL HOME HEALTH INC.,IL,ALGONQUIN,63128
ENDOCRINE AND METABOLIC CENTER INC.,IL,ALGONQUIN,4910
"FAVIA PRIMARY CARE, S.C.",IL,ALGONQUIN,145722
FERNANDES CHIROPRACTIC LTD.,IL,ALGONQUIN,402
FIANDACA PERIODONTICS PC,IL,ALGONQUIN,211858
FOOT AND ANKLE SPECIALISTS OF ILLINOIS LTD,IL,ALGONQUIN,30523
FOX VALLEY MOBILE PT,IL,ALGONQUIN,185
"HORIZON CHIROPRACTIC, SC",IL,ALGONQUIN,11957
HUNTLEY COMMUNITY SCHOOL DISTRICT 158,IL,ALGONQUIN,23288
HUNTLEY FIRE PROTECTION DISTRICT,IL,ALGONQUIN,44703
JEFFREY D GINDORF PC,IL,ALGONQUIN,5482
JILL LITWIN,IL,ALGONQUIN,822
KEVIN GAVIN,IL,ALGONQUIN,6795
LAKE IN THE HILLS PODIATRY P.C.,IL,ALGONQUIN,59237
LORD FOOT & ANKLE SPECIALIST SC,IL,ALGONQUIN,17376
M D PATEL INC,IL,ALGONQUIN,12772
MARK R PACANA DDS PC,IL,ALGONQUIN,13238
"NEELAM NARULA,MD",IL,ALGONQUIN,21404
NORTHWEST PRIMARY CARE PC,IL,ALGONQUIN,4215
PRECISION EYE CARE LLC,IL,ALGONQUIN,32934
