Provider Name,State,City,Payment
"ADVANCE VOLUNTEER FIRE DEPARTMENT, INC.",IN,ADVANCE,386
AKRON FAMILY CHIROPRACTIC LLC,IN,AKRON,944
"MELANIE A BEAM, DDS, PC",IN,AKRON,7182
WEBB'S FAMILY PHARMACY LLC,IN,AKRON,409
JOHN W CARTER MD LLC,IN,ALBANY,5778
MATTHEW T MCCRADY,IN,ALBANY,70966
CONNIE S CARUNCHIA PROFESSIONAL CORPORATION,IN,ALBION,1162
KENNETH CRIPE,IN,ALBION,964
"THE ARC NOBLE COUNTY FOUNDATIONS, INC.",IN,ALBION,13603
CITY OF ALEXANDRIA,IN,ALEXANDRIA,5657
COREY D MARTINEZ DDS- BINFORD LLC,IN,ALEXANDRIA,25042
JFRIEDMAN-ALEXANDRIA LLC,IN,ALEXANDRIA,15674
ROXANNE BRUNSMAN LCSW LLC,IN,ALEXANDRIA,1619
AMO VOLUNTEER FIRE DEPT INC,IN,AMO,206
"ABOVE & BEYOND HOMECARE, INC.",IN,ANDERSON,450122
AMERICAN CHIROPRACTIC AND WELLNESS,IN,ANDERSON,1024
ANDERSON FAMILY MEDICINE PC,IN,ANDERSON,18823
ANDERSON PSYCHIATRIC CLINIC LLC,IN,ANDERSON,235
BAKER CHIROPRACTIC CLINIC INC.,IN,ANDERSON,2872
BONNIE HUXFORD,IN,ANDERSON,333
BRAUCHLA FAMILY CHIROPRACTIC PROFESSIONAL CORPORATION,IN,ANDERSON,3570
CARE FORCE ONE INC.,IN,ANDERSON,34076
CARE PLUS HOMEHEALTH CARE INC,IN,ANDERSON,24376
"CHRIS D. KINNEY, DDS, PC",IN,ANDERSON,18076
CHRISTINA WROBLEWSKI DDS PC,IN,ANDERSON,13757
CITY OF ANDERSON,IN,ANDERSON,37982
"COMMUNITY ENDOSCOPY CENTER, LLC",IN,ANDERSON,1017291
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY INCORPORATED,IN,ANDERSON,717
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY, INC.",IN,ANDERSON,11824089
COMMUNITY PATHOLOGY & NUCLEAR MEDICINE PC,IN,ANDERSON,12790
DAMON A TURNER,IN,ANDERSON,2459
"DAVID L. MARTIN, M.D., INC",IN,ANDERSON,10389
EMAS.INC,IN,ANDERSON,48794
"EPCHA, PC",IN,ANDERSON,68634
GREGG W HORSTMEYER DDS LLC,IN,ANDERSON,8428
HEALING HANDS OUTPATIENT THERAPY AND REHABILITATION CENTER LLC,IN,ANDERSON,19
HEALTH FIRST PHYSICAL THERAPY INC,IN,ANDERSON,32437
"HOOSIER HEALTH PLUS, LLC",IN,ANDERSON,12620
"HOOSIER HOMECARE SERVICES, LLC",IN,ANDERSON,231537
"HOOSIER OPHTHALMOLOGY ASSOCIATES, P.C.",IN,ANDERSON,129174
INDIANA ALLERGY AND INFECTIOUS DISEASE LLC,IN,ANDERSON,3429
"INPHYNET PRIMARY CARE PHYSICIANS MIDWEST, S.C.",IN,ANDERSON,28635
JENIFER MUDD-CHAMBERLAIN,IN,ANDERSON,1123
"JERRY D WARTHMAN, O.D., LLC",IN,ANDERSON,11040
JOHN R. FRAZIER DDS,IN,ANDERSON,10408
KHALIL WAKIM,IN,ANDERSON,1805
KOHLES FAMILY PRACTICE LLC,IN,ANDERSON,4615
LAKEWOOD FAMILY DENTAL OF ANDERSON PC,IN,ANDERSON,12636
"LLOYD PODIATRY GROUP, INC.",IN,ANDERSON,38936
MACHA FAMILY EYE CARE PC,IN,ANDERSON,41083
"PEREZLI OPHTHALMOLOGY GROUP, PC",IN,ANDERSON,281902
QUALCOMP PREFERRED MEDICAL CONSULTANTS.PC,IN,ANDERSON,177
RENAL ASSOCIATES OF CENTRAL INDIANA PROFESSIONAL CORPORATION,IN,ANDERSON,59104
RICHLAND TOWNSHIP,IN,ANDERSON,1793
ROBERT ANDERSON,IN,ANDERSON,12856
ROBERT BEESON,IN,ANDERSON,10588
SCOTT ERNY COUNSELING PRACTICE,IN,ANDERSON,357
"SHERRY HODGE AU.D., LLC",IN,ANDERSON,77
SIMPLY CHIROPRACTIC PC,IN,ANDERSON,3
"ST. VINCENT ANDERSON REGIONAL HOSPITAL, INC.",IN,ANDERSON,4670384
SURGICAL ASSOCIATES OF MADISON COUNTY PC,IN,ANDERSON,18978
SUSAN ANDERSON,IN,ANDERSON,4425
SUZANNE BEESON,IN,ANDERSON,1203
T. MICHAEL ROBINSON DDS PC,IN,ANDERSON,20818
TILL EYECARE LLC,IN,ANDERSON,743
TRACI L WILLIAMS,IN,ANDERSON,1455
UNITED FAMILY CARE,IN,ANDERSON,758
"VB ORTHODONTICS, LLC",IN,ANDERSON,27736
WILLIAM KOPP,IN,ANDERSON,9900
ACHIEVE PHYSICAL THERAPY AND SPORTS PERFORMANCE LLC,IN,ANGOLA,10414
ANGOLA FAMILY DENTISTRY LLC,IN,ANGOLA,33861
"ANGOLA PHYSICAL THERAPY, INC.",IN,ANGOLA,5663
ANTHONY ZVIRBLIS,IN,ANGOLA,1513
"CAMERON MEMORIAL COMMUNITY HOSPITAL, INC.",IN,ANGOLA,5864404
"COMMUNITY LIVING, INC.",IN,ANGOLA,78053
DERMATOLOGY & SKIN SURGERY CENTER,IN,ANGOLA,382638
ERIC DELLINGER,IN,ANGOLA,46133
FAMILY PRACTICE & ORTHOPEDIC CARE CENTER PC,IN,ANGOLA,67463
GASDORF FAMILY CHIROPRACTIC PC,IN,ANGOLA,2434
"GREAT GRILLZ, LLC",IN,ANGOLA,132770
"HEALTHY SMILES FAMILY DENTISTRY, TAMARA",IN,ANGOLA,27565
HOSPITAL CARE GROUP PC,IN,ANGOLA,94105
"JONATHAN ALLEY, D.O., P.C.",IN,ANGOLA,10657
"MATTOX FAMILY PHYSICIANS, INC",IN,ANGOLA,23625
"PATHWAY TO CLARITY, LLC",IN,ANGOLA,586
RISE INC.,IN,ANGOLA,26737
STEUBEN FAMILY CHIROPRACTIC LLC,IN,ANGOLA,856
STEVENS CHIROPRACTIC CENTER PC,IN,ANGOLA,6245
JACKSON TOWNSHIP HAMILTON COUNTY,IN,ARCADIA,3848
"LAKEVIEW FAMILY MEDICINE, LLC",IN,ARCADIA,10813
TOWN OF ARGOS,IN,ARGOS,729
BRYAN T WELCH DDS PC,IN,ATTICA,20660
DAVIS DRUGS LLC,IN,ATTICA,2385
STEVEN WEBB,IN,ATTICA,343
ACT 3 CARE LLC,IN,AUBURN,18725
AIRWAY OXYGEN INC,IN,AUBURN,514507
AUBURN CHIROPRACTIC CLINIC P C,IN,AUBURN,532
