Provider Name,State,City,Payment
ABILENE CHIROPRACTIC & SPORTS REHAB LLC,KS,ABILENE,385
ABILENE CPAP SALES & SUPPLIES LLC,KS,ABILENE,6501
CHRISTOPHER MCKEE,KS,ABILENE,686
DANIEL BYARLAY,KS,ABILENE,2736
GARY B WEINER MD CHARTERED,KS,ABILENE,60524
HARVEY THOMPSON,KS,ABILENE,916
"JARAD M. WAITE, OD, PA",KS,ABILENE,7619
JC PHARMACY LLC,KS,ABILENE,62382
"JEFFREY L LUTY OD, PA",KS,ABILENE,9958
MEMORIAL HOSPITAL,KS,ABILENE,5669860
"NEUROSCIENCE & REHABILITATION ASSOCIATES, LLC",KS,ABILENE,22861
PORTER CHIROPRACTIC PA,KS,ABILENE,3052
STEPHENS CHIROPRACTIC,KS,ABILENE,2209
CHRISTOPHER D SMITH DDS PA,KS,ALMA,14009
"RELIABLE MEDICAL SUPPLY & RENTAL, INC.",KS,ALTAMONT,9322
"RYAN DUGAN EYE CARE, LLC",KS,ANDALE,67998
"ANDOVER CHIROPRACTIC CENTER, INC.",KS,ANDOVER,1442
ANDOVER FAMILY COUNSELING LLC,KS,ANDOVER,122
ANDOVER FAMILY MEDICINE LLC,KS,ANDOVER,103626
"ANDOVER SENIOR CARE, LLC",KS,ANDOVER,637126
"BAILEY TOTAL HEALTH, INC.",KS,ANDOVER,3171
BRUCE A BRITTAIN DDS,KS,ANDOVER,16776
CEDAR SURGICAL LLC,KS,ANDOVER,34115
"DR. RACHEL VINER, DC LLC",KS,ANDOVER,130
DRS TODD & GIANNETTI EYE CARE OF ANDOVER LLC,KS,ANDOVER,3953
FAMILY PHYSICIANS OF KANSAS LLC,KS,ANDOVER,69782
FLINT HILLS DENTAL GROUP PA,KS,ANDOVER,17359
KANSAS MEDICAL CENTER LLC,KS,ANDOVER,3550215
KEVIN D ALLEN FAMILY CHIROPRACTIC LLC,KS,ANDOVER,2556
SPARKS EYE CARE LLC,KS,ANDOVER,6984
"STINEMETZ CHIROPRACTIC, INC.",KS,ANDOVER,5451
