Provider Name,State,City,Payment
ALBANY FAMILY CHIROPRACTIC PLLC,KY,ALBANY,64096
"ASSOCIATES IN EYE CARE, INC.",KY,ALBANY,115225
BUCKEYE HOME HEALTH CENTER INC,KY,ALBANY,439290
CAROL B PEDDICORD MD PLLC,KY,ALBANY,21435
CENTRAL KENTUCKY APOTHECARY,KY,ALBANY,8229
COUNTY JUDGE COUNTY OF CLINTON,KY,ALBANY,28923
CRMC MSO SUB 1 INCORPORATED,KY,ALBANY,293894
DOCTORS HEALTH & WEIGHTLOSS CLINIC,KY,ALBANY,249
OSBORNE CHIROPRACTIC CENTER,KY,ALBANY,817
ROBERTS' PHARMACY LLC,KY,ALBANY,51325
"SOUTHERN KENTUCKY EYE CENTER, PSC",KY,ALBANY,48983
"WILLIAM CALVIN POWELL, MD PSC",KY,ALBANY,8892
"ALEXANDRIA DRUGS, INC.",KY,ALEXANDRIA,687
ALEXANDRIA FIRE DISTRICT,KY,ALEXANDRIA,9618
ALEXANDRIA PHYSICAL MEDICINE PSC,KY,ALEXANDRIA,177
ALEXANDRIA TOTAL CARE CHIROPRACTIC,KY,ALEXANDRIA,5051
DANIEL J SHERIDAN DMD PSC,KY,ALEXANDRIA,26813
"JAMES M. ERNST, O.D., P.S.C",KY,ALEXANDRIA,10984
JULIE HERRON,KY,ALEXANDRIA,4101
"KEVIN E. CROWLEY DC, PSC",KY,ALEXANDRIA,12218
KEVIN G LOESCH OD LLC,KY,ALEXANDRIA,749
MARK FRANZEN,KY,ALEXANDRIA,357
NORTHERN KENTUCKY FAMILY FOOT CARE INC,KY,ALEXANDRIA,6261
SOUTHERN CAMPBELL FIRE DISTRICT,KY,ALEXANDRIA,3733
FOREVER SMILES INC,KY,ALLEN,4975
HOWARD FAMILY PHARMACY 2 INC,KY,ALLEN,134
JT ASSOCIATES DBA COMMUNITY CONNECTIONS,KY,ALLEN,31385
LEE BOYD DMD PSC,KY,ALLEN,27555
RURAL MEDICAL GROUP,KY,ALLEN,1328
"BRIDGE TO ADULTHOOD, LLC",KY,ALLENSVILLE,24401
LOUISVILLE PM&R,KY,ANCHORAGE,26074
ANNVILLE KY ADULT DAY CARE LLC,KY,ANNVILLE,24096
DAVID J HAYS,KY,ANNVILLE,10871
ARLINGTON MEDICAL CLINIC,KY,ARLINGTON,17503
DAVID ZETTER,KY,ARLINGTON,849
MEDCARE INC,KY,ARLINGTON,164207
"ASHLAND INTEGRATIVE MEDICINE, LLC",KY,ASHAND,496583
A BRIGHTER FUTURE ABI INC,KY,ASHLAND,46098
A BRIGHTER FUTURE INC,KY,ASHLAND,136058
A CENTER 4 CHANGE,KY,ASHLAND,24729
"ASHLAND CHILDRENS CLINIC, PSC",KY,ASHLAND,68525
"ASHLAND CHIROPRACTIC CENTER, INC.",KY,ASHLAND,28658
ASHLAND HOSPITAL CORPORATION,KY,ASHLAND,9118139
ASHLAND NURSING HOME CORP,KY,ASHLAND,1391010
ASHLAND ORTHOPEDIC ASSOCIATES PSC,KY,ASHLAND,8866
ASHLAND PEDIATRIC ASSOCIATES PSC,KY,ASHLAND,10662
ASHLAND PHYSIATRY & PAIN MANAGEMENT,KY,ASHLAND,15954
ASHLAND PROSTHETIC & ORTHOTIC,KY,ASHLAND,129500
"ASHLAND RADIATION ONCOLOGY, PSC",KY,ASHLAND,99453
ASHLAND RADIOLOGY ASSOCIATES PSC,KY,ASHLAND,142950
BAL BANSAL,KY,ASHLAND,2532
BELLEFONTE PATHOLOGY AND LABORATORY MEDICINE PSC,KY,ASHLAND,11499
"BEN J. O'DELL, MD, PSC",KY,ASHLAND,13776
"BODY-MIND-SPIRIT PODIATRIC CENTER, PLLC",KY,ASHLAND,20761
BOYD COUNTY AMBULANCE SERVICE DIST,KY,ASHLAND,71349
BOYD NURSING AND REHABILITATION LLC,KY,ASHLAND,556415
BOYD PHARMACIST GROUP LLC,KY,ASHLAND,56
"CARING RECOVERY, PLLC",KY,ASHLAND,8516
CAROL H COOPER MD PSC,KY,ASHLAND,20459
CCC MANAGMENT LLC,KY,ASHLAND,7
"CHRISTIAN AND EVANS, P.S.C.",KY,ASHLAND,11344
"CHRISTINA JORDAN WEBB, DMD, PSC",KY,ASHLAND,32293
"COMMUNITY HOSPICE, INC.",KY,ASHLAND,653659
DILLON CHIROPRACTIC,KY,ASHLAND,4552
DIVERSICARE LEASING CORP.,KY,ASHLAND,9083913
DWAIN PORTER,KY,ASHLAND,2520
"EASTERN KENTUCKY IMAGING, PSC",KY,ASHLAND,12421
"EDWARD L. JOHNSON, DMD",KY,ASHLAND,13727
ELDRIDGE-KEELIN CHIROPRACTIC,KY,ASHLAND,1156
"EMERGENCY PROFESSIONAL SERVICES, INC.",KY,ASHLAND,625119
"FAMILY ALLERGY SERVICES, INC.",KY,ASHLAND,18164
"FAMILY MEDICINE CENTER, PLLC",KY,ASHLAND,96937
FRESH START HEALTH PSC,KY,ASHLAND,6875
GALLAHERS PHARMACY,KY,ASHLAND,61241
"GEORGE C. BORST, III, PSC",KY,ASHLAND,357524
GUIDED LIVING LLC,KY,ASHLAND,33025
HOLMES CHIROPRACTIC PSC,KY,ASHLAND,1898
INFINITY CENTER LLC,KY,ASHLAND,1117
"J BRIAN FREDERICK, M.D., PLLC",KY,ASHLAND,1199
JACK DITTY,KY,ASHLAND,17989
JAMES ELLIOTT,KY,ASHLAND,8109
JAMES H MARTIN JR MD PSC,KY,ASHLAND,11309
JBD INC,KY,ASHLAND,1058
JEROD DARNELL DPM PLLC,KY,ASHLAND,32117
"JOSEPH W. FRAZIER, D.M.D.,P.S.C.",KY,ASHLAND,21974
KATHERINE D. CARIAS MD INC,KY,ASHLAND,11644
KENTUCKY MEDICAL LOGISTICS INC,KY,ASHLAND,58918
KINGS DAUGHTERS MEDICAL SPECIALTIES INC,KY,ASHLAND,1379866
L. MICHAEL BERTRAM OD PLLC,KY,ASHLAND,2247
LEADINGHAM EYE CARE CENTER ASHLAND,KY,ASHLAND,20529
LEWIS FAMILY CARE INC,KY,ASHLAND,31383
M & G NEUROPHYSIOLOGY,KY,ASHLAND,15551
M K SCOTT DC PSC,KY,ASHLAND,20007
MARTIN KASSAN,KY,ASHLAND,923
MARY REAMS MD,KY,ASHLAND,17120
"MAURICE J. OAKLEY,M.D.,P.S.C.",KY,ASHLAND,16458
MCMEANS PHARMACY INC,KY,ASHLAND,1965
"MEADE & MEADE, DMD PSC",KY,ASHLAND,60630
MICHELLE MURRAY DPM PSC,KY,ASHLAND,9178
MOB PSC,KY,ASHLAND,553
"PATHWAYS, INC.",KY,ASHLAND,1003686
PEDIATRIC DENTISTRY PSC,KY,ASHLAND,141958
PHILLIP MAROUDIS OD PSC & JOHN MORTON PTR,KY,ASHLAND,10409
PORTSMOUTH HOSPITAL CORPORATION,KY,ASHLAND,9041732
"PREMIER THERAPY & HEALTH CENTERS, INC.",KY,ASHLAND,635826
PROFESSIONAL PATHOLOGY SERVICE,KY,ASHLAND,44830
"RADIATION THERAPY SERVICE, INC",KY,ASHLAND,265301
REGIONAL PSYCHOTHERAPY SERVICES INC,KY,ASHLAND,23329
RIVER CITIES BONE AND JOINT CENTRE PSC,KY,ASHLAND,46420
"SERENITY HEALTH CARE, PLLC",KY,ASHLAND,2939
SMITH ORTHOPEDICS & SPORTS MEDICINE PSC,KY,ASHLAND,11916
"SOMC MEDICAL CARE FOUNDATION, INC.",KY,ASHLAND,743624
SOUND PHYSICIANS EMERGENCY MEDICINE OF KENTUCKY PLLC,KY,ASHLAND,66648
"ST. MARY'S MEDICAL MANAGEMENT, LLC",KY,ASHLAND,366212
SUPPORTIVE MED,KY,ASHLAND,3285
TERRY MEREDITH,KY,ASHLAND,476
"THOMAS L. MAHONEY, MD, PLLC",KY,ASHLAND,1091
TIMOTHY M WHEELER MD PSC,KY,ASHLAND,148
"TIMOTHY S. HART, MD, PSC",KY,ASHLAND,15420
"TONY W DOTSON, DO, PLLC",KY,ASHLAND,1761
TRI-STATE DIABETES AND ENDOCRINOLOGY PLLC,KY,ASHLAND,3566
TRI-STATE DIGESTIVE DISEASES,KY,ASHLAND,68271
"TRI-STATE PERIODONTICS, PSC",KY,ASHLAND,8205
"UNIFIED PSYCHIATRY, PSC",KY,ASHLAND,17012
WEBER WEST EYE CARE PSC,KY,ASHLAND,24974
WEST FAIRVIEW EMERGENCY PHYSICIANS LLC,KY,ASHLAND,111515
"WILLIAM E. LEADINGHAM, O.D., PSC",KY,ASHLAND,36253
"WILLIAM J. SHORT, MD  PSC",KY,ASHLAND,9945
WILLIAM NICHOLS,KY,ASHLAND,216
