Provider Name,State,City,Payment
"ABBEVILLE CHIROPRACTIC CLINIC, A.P.C.C.",LA,ABBEVILLE,1463
ABBEVILLE EMERGENCY GROUP LLC,LA,ABBEVILLE,27082
ABBEVILLE GENERAL HOSPITAL,LA,ABBEVILLE,7753
ABBEVILLE GENERAL HOSPITAL,LA,ABBEVILLE,6496796
"ABBEVILLE HEARING AND SPEECH ASSOCIATES,INC",LA,ABBEVILLE,524
"ACADIANA BONE & JOINT CLINIC, APMC",LA,ABBEVILLE,9362
ACCESS PRIMARY CARE,LA,ABBEVILLE,3632
"BEHAVIORAL HEALTH ASSOCIATES OF ACADIANA, LLC",LA,ABBEVILLE,12959
BROOKSHIRE GROCERY COMPANY,LA,ABBEVILLE,148281
"BYRON R HEBERT, CRNA ANESTHESIA SERVICES, INC",LA,ABBEVILLE,7019
CASHWAY PHARMACY OF ABBEVILLE,LA,ABBEVILLE,53094
"CHIROPRACTIC PAIN MANAGEMENT AND INJURY CLINIC, LLC",LA,ABBEVILLE,13137
"CLAUDE MEEKS MEDICAL GROUP, LLC",LA,ABBEVILLE,83040
DARRELL ROBINSON,LA,ABBEVILLE,1381
EDWARD R CHAUVIN CHIROPRACTIC LTD,LA,ABBEVILLE,2878
"EMILE D. BROUSSARD, M.D. APMC",LA,ABBEVILLE,25760
GRIFFIN'S FAMILY CHIROPRACTIC CLINIC,LA,ABBEVILLE,1611
GUIDRY EYE CARE LLC,LA,ABBEVILLE,16712
GULF REGIONAL OCCUPATIONAL MEDICINE CENTER OF ACADIANA,LA,ABBEVILLE,7062
JEREMY ROMERO,LA,ABBEVILLE,2481
"JOELLE NIXON, LPC",LA,ABBEVILLE,734
"JOHN R. BUDDEN, M.D. APMC",LA,ABBEVILLE,3611
"KERRY M. BROWN, M.D. APMC",LA,ABBEVILLE,82922
"LAHASKY MEDICAL CLINIC, APMC",LA,ABBEVILLE,46355
MEDXCEL OCCUPATIONAL MEDICINE,LA,ABBEVILLE,2000
MICHAEL DAIGLE,LA,ABBEVILLE,19210
MULA FAMILY PHARMACY LLC,LA,ABBEVILLE,81574
NGUYEN CHIROPRACTIC INC.,LA,ABBEVILLE,1103
"NOEL & HANBY, LLC",LA,ABBEVILLE,175643
"PALMS SURGERY CENTER, LLC",LA,ABBEVILLE,33107
"PHILLIP E NOEL, MD, APMC",LA,ABBEVILLE,25315
"PHYSICAL THERAPY PLUS OF VERMILION, INC.",LA,ABBEVILLE,8159
SCOTT HOLLIER,LA,ABBEVILLE,6771
SOUTHCARE MEDICAL LLC,LA,ABBEVILLE,204746
SOUTHSIDE FAMILY CLINIC LLC,LA,ABBEVILLE,114777
TRICIA H LEGE OD LLC,LA,ABBEVILLE,29078
VERMILION PHYSICAL THERAPY INC,LA,ABBEVILLE,13653
