Provider Name,State,City,Payment
ANGELS NEUROLOGICAL CENTERS PC,MA,ABINGTON,65793
BEMIS DRUG CO INC,MA,ABINGTON,437
"CHIRO-ASSOCIATES, INC.",MA,ABINGTON,2217
"FITZGERALD, GRAZIOSO, & KUCZMA LLC",MA,ABINGTON,92381
FREEMAN DENTAL ASSOCIATES ABINGTON,MA,ABINGTON,26607
GAIL S MARCHETTO OD LLC,MA,ABINGTON,27326
PAUL DOHERTY,MA,ABINGTON,3097
SCOTT SCHIPANI DMD,MA,ABINGTON,10152
TIMOTHY CURRAN,MA,ABINGTON,3540
TOWN OF ABINGTON,MA,ABINGTON,17693
ACHIEVE PHYSICAL THERAPY LLC,MA,ACTON,44282
"ACTON CHIROPRACTIC & REHABILITATION, INC.",MA,ACTON,9416
ACTON COUNSELING ASSOCIATES,MA,ACTON,336
"ACTON FAMILY DENTAL CARE, INC.",MA,ACTON,96371
ACTON MEDICAL ASSOCIATES PC,MA,ACTON,522922
ACTON PHARMACY INC,MA,ACTON,910
ACTON PSYCHOLOGICAL ASSOCIATES LLC,MA,ACTON,600
"ADULT & PEDIATRIC DERMATOLOGY, PC",MA,ACTON,552640
BAJWA DENTAL PC,MA,ACTON,72113
BARBARA MCDONALD,MA,ACTON,457
BARRON CHIROPRACTIC & WELLNESS CENTER INC,MA,ACTON,1247
BARRON CHIROPRATIC AND WELLNESS,MA,ACTON,603
BE WELL AND BEYOND INC,MA,ACTON,927
CHERYL EPPEL,MA,ACTON,441
CONCORD ACTON DENTAL,MA,ACTON,73115
"CONCORD PRIMARY CARE,INC",MA,ACTON,7522
CYNTHIA BROWN,MA,ACTON,221
DEBORAH PIPER,MA,ACTON,721
DEVITA CHIROPRACTIC OFFICE PC,MA,ACTON,10599
ELEANOR MATHEWS,MA,ACTON,566
ELIZABETH BERK,MA,ACTON,548
ELIZABETH PINES LEARNER,MA,ACTON,1360
ELLEN MAIMAN,MA,ACTON,872
GEORGE THOMSON,MA,ACTON,2237
GINA KING,MA,ACTON,581
INGER MAIER,MA,ACTON,1907
"INSPIRE MOTION, LLC",MA,ACTON,1024
JENNY CITRIN DMD PLLC,MA,ACTON,230
"JESSICA PECCHENINO, PSY.D",MA,ACTON,721
JILL DEFOE,MA,ACTON,940
KENNETH MINKOFF,MA,ACTON,216
KOPELMAN FAMILY CHIROPRACTIC INC,MA,ACTON,6916
LIFE MANAGEMENT ASSOCIATES INC,MA,ACTON,1739
MARY KEEFE,MA,ACTON,79
MED-EX LLC,MA,ACTON,3096
MICHELLE REYNOLDS,MA,ACTON,185
MIDDLESEX ENDOSCOPY CENTER LLC,MA,ACTON,749428
"MIDDLESEX GASTROENTEROLOGY, PC",MA,ACTON,179204
NETWORK CHIROPRACTIC OF ACTON PC,MA,ACTON,6362
NEW ENGLAND CENTER FOR MENTAL HEALTH LLC,MA,ACTON,73504
NIRO EYE CARE & ASSOCIATES LLC,MA,ACTON,27860
"NJLAROCQUE COUNSELING, LLC",MA,ACTON,408
PADMA NANDURI JONNAVITHULA DDS,MA,ACTON,49788
PAULINE GERSON,MA,ACTON,1100
PETER MOSBACH,MA,ACTON,1967
PROFESSIONAL COUNSELING SERVICES INC,MA,ACTON,6083
RATTI HANDA DMD PC,MA,ACTON,16132
S Y WANG DMD PC,MA,ACTON,76282
SHALOM DENTISTRY PC,MA,ACTON,35969
SHEILA SPITZAK,MA,ACTON,35
STEPHEN H GROSSMAN,MA,ACTON,15961
"SVEN SUPPLIES DMD, PC",MA,ACTON,15216
TEAMWORKS PHYSICAL THERAPY LLC,MA,ACTON,538
TERRIE SKILLINGS,MA,ACTON,806
TOWN OF ACTON,MA,ACTON,30739
WARD BEIN,MA,ACTON,1066
"CRABBE CHIROPRACTIC, INC",MA,ACUSHNET,2681
TOWN OF ACUSHNET,MA,ACUSHNET,14296
TRANQUILITY MENTAL HEALTH COUNSELING AND WELLNESS CENTER LLC,MA,ACUSHNET,1772
"ADAMS AMBULANCE SERVICE, INC.",MA,ADAMS,33488
"ADAMS PHYSICAL THERAPY, LLC",MA,ADAMS,9741
CATARACT AND LASER CENTER ASSOCIATES PC,MA,ADAMS,113778
1200 SUFFIELD STREET OPERATOR LLC,MA,AGAWAM,1049891
462 MAIN STREET OPERATIONS LLC,MA,AGAWAM,396776
AGAWAM MEDICAL SUPPLY CORP,MA,AGAWAM,11843
ANDREW E BORASKI OD PC,MA,AGAWAM,2250
"ASSOCIATES IN WOMEN'S HEALTH CARE, PC",MA,AGAWAM,7968
CHRISTINE DOUCETTE,MA,AGAWAM,241
"CHRISTOPHER J MAGIERA, DMD, PC",MA,AGAWAM,23552
"CORNERSTONE KIDS DENTISTRY, PC",MA,AGAWAM,18448
DENISE GAGNIER,MA,AGAWAM,419
"DENTAL STUDIO, LLC",MA,AGAWAM,147882
"EYECARE & EYEWEAR CENTER, P.C.",MA,AGAWAM,8083
