Provider Name,State,City,Payment
ANDREW MROWIEC MD LLC,MD,ABERDEEN,38690
CARR PROFESSIONAL ASSOCIATION,MD,ABERDEEN,63451
"HARFORD COUNTY CHIROPRACTIC, LLC",MD,ABERDEEN,351
JEFFREY S. FILANDRO OD PA,MD,ABERDEEN,3628
JENNIFER BADDING-BENTON,MD,ABERDEEN,3270
JOHNSON FAMILY PHARMACY LLC,MD,ABERDEEN,7975
"KAPLAN & MCGLOTHLIN, DDS, PA",MD,ABERDEEN,14454
"KEY POINT HEALTH SERVICES, INC.",MD,ABERDEEN,366413
KLEINS OF ABERDEEN INC,MD,ABERDEEN,68452
KOULWARD HEALTH LLC DBA POPULATION HEALTH PHARMACY,MD,ABERDEEN,27012
LANDMARK DENTAL LLC,MD,ABERDEEN,51658
OPTIMAL SPINE CHIROPRACTIC LLC,MD,ABERDEEN,12588
PROHEALTH PRIMARY CARE LLC,MD,ABERDEEN,3744
SAMUEL A POTTASH DPM PA,MD,ABERDEEN,4015
SEIDENBERG PROTZKO SURGERY CENTER LLC,MD,ABERDEEN,99005
THE ABERDEEN FIRE DEPARTMENT INC.,MD,ABERDEEN,23694
"THE ARC NORTHERN CHESAPEAKE REGION, INCO",MD,ABERDEEN,306179
"THERESA T. KUJALA DMD,LLC",MD,ABERDEEN,16234
VIRTUOUS INC,MD,ABERDEEN,18990
"WINNERS CHOICE HEALTHCARE SERVICES, LLC",MD,ABERDEEN,18638
"DR. V. DAVIS, PA",MD,ABINGDOM,5153
ABINGDON SURGICAL CENTER PC,MD,ABINGDON,5304
ALICIA DANELLE MYERS,MD,ABINGDON,3020
ALPHA COUNSELING AND TREATMENT INC,MD,ABINGDON,4263
"ANGELIC CARE PLUS, LLC.",MD,ABINGDON,237
AUFUST C. WEBER III D.D.S.,MD,ABINGDON,22949
BOX HILL SURGERY CENTER LLC,MD,ABINGDON,9915
CLARIBEL HART & ASSOCIATES INC,MD,ABINGDON,345
ENGLERT DERMATOLOGY LLC,MD,ABINGDON,156088
"FOR HOPES SAKE, LLC",MD,ABINGDON,22402
"HARFORD GASTROENTEROLOGY ASSOCIATES, P.A.",MD,ABINGDON,470906
HARFORD PRIMARY CARE LLC,MD,ABINGDON,342898
JADE BELLAMY,MD,ABINGDON,281
MADI'S PLACE INC.,MD,ABINGDON,5968
"MICHAEL K. BLOCK, DPM, LLC",MD,ABINGDON,36244
