Provider Name,State,City,Payment
TOWN OF ACTON,ME,ACTON,2503
"ALLEN S. GOLDEY, DDS, PA",ME,ALBION,17452
TOWN OF ALBION,ME,ALBION,515
LANA CLOUGH,ME,ALFRED,915
TOWN OF ALFRED,ME,ALFRED,3069
LINDA MORRIS,ME,ALNA,106
ANSON MADISON AMBULANCE SERVICE,ME,ANSON,22768
ACTIVE BALANCE SPINE AND SPORTS CARE PLLC,ME,ARUNDEL,1005
KEVIN MULLARKY,ME,ARUNDEL,2350
TOWN OF ARUNDEL,ME,ARUNDEL,2611
TOWN OF ASHLAND,ME,ASHLAND,4002
ANASTASIA THEODOROU DMD PA,ME,AUBURN,36422
ANDREW HALTOF,ME,AUBURN,5512
ANDROSCOGGIN ORTHODONTICS PA,ME,AUBURN,16785
"ANESTHESIA ASSOCIATES OF L-A, P.A.",ME,AUBURN,117401
"AUBURN CHIROPRACTIC, P.A",ME,AUBURN,3288
BEDARD MEDICAL INC,ME,AUBURN,124941
CAROLYN BLOOM,ME,AUBURN,469
CENTER FOR ADVANCED DENTISTRY,ME,AUBURN,55124
"CENTRAL MAINE ORTHOPAEDICS AMBULATORY SURGERY CENTER, LLC",ME,AUBURN,490256
"CENTRAL MAINE OSTEOPATHIC MANUAL MEDICINE, LLC",ME,AUBURN,85795
CHRISTINE GRAY,ME,AUBURN,1106
CITY OF AUBURN,ME,AUBURN,32154
COASTAL COMMUNITY CARE LLC,ME,AUBURN,1967
EILEEN MANGLASS,ME,AUBURN,1626
GERALD NADEAU DC PA,ME,AUBURN,3847
"HEALTH AFFILIATES MAINE, LLC",ME,AUBURN,101050
HUBER ASSOCIATES INC,ME,AUBURN,12449
INDEPENDENT ORDER OF ODDFELLOWS,ME,AUBURN,284647
"JAMES F. HELMKAMP, DDS",ME,AUBURN,97170
JANET RENSINK,ME,AUBURN,805
"JOHN F. MURPHY HOMES, INC.",ME,AUBURN,1413384
