Provider Name,State,City,Payment
FINTON GALLOUP,MI,ACME,2958
WILLIAM NOWAK,MI,ACME,4894
ADA VISION CENTER PLLC,MI,ADA,413
BRIAN CARPENTER DDS,MI,ADA,6764
"DANIEL K. EHNIS, PC",MI,ADA,403
DENISE HAMES,MI,ADA,380
"DR. JULIA A. MOHR, PLC",MI,ADA,764
"DZIRBOWICZ CHIROPRACTIC, PLC",MI,ADA,309
ENDURANCE REHABILITATION & ATHLETICS PLLC,MI,ADA,171
INTEGRATIVE PSYCHOTHERAPY PLC,MI,ADA,149
KIRK BRINK,MI,ADA,1083
KJC323 PLLC,MI,ADA,158
LYNN MARCH,MI,ADA,1133
"MI-WI SPEECH AND HEARING SERVICES, PLLC",MI,ADA,5752
NORMAN FAMILY DENTISTRY PC,MI,ADA,236033
SAMY SALHADAR DDS PLLC,MI,ADA,121330
WILLIAM PARKER PHD PC,MI,ADA,1446
3 DIMENSIONAL PHYSICAL THERAPY LLC,MI,ADRIAN,39299
"A. HAJYOUSEF, MD PC",MI,ADRIAN,73713
"ACPC,PLLC",MI,ADRIAN,2808
ADRIAN CHIROPRACTIC PC,MI,ADRIAN,1495
ADRIAN MI SNF MANAGEMENT LLC,MI,ADRIAN,816014
ADRIAN PHARMACY LLC,MI,ADRIAN,84
ADRIAN URGENT CARE PLLC,MI,ADRIAN,78169
ANDREW SMITH MD PC,MI,ADRIAN,747
BIXBY ANESTHESIA ASSOCIATES PC,MI,ADRIAN,19740
BROWN CHIROPRACTIC CENTER PLLC,MI,ADRIAN,7219
CHARTER TOWNSHIP OF MADISON,MI,ADRIAN,27037
"CHRISTIAN HEALTH SERVICES, INC.",MI,ADRIAN,8478
CITY OF ADRIAN,MI,ADRIAN,28995
CORTEZ AND ASSOCIATES,MI,ADRIAN,456
COUNTY OF LENAWEE,MI,ADRIAN,415
"CRG LYNWOOD, LLC",MI,ADRIAN,615149
D DUNCAN PATERSON,MI,ADRIAN,123
D. PATERSON,MI,ADRIAN,1750
DONNA BISHOP,MI,ADRIAN,2170
"DOWLING CHIROPRACTIC, PC",MI,ADRIAN,7983
DR MARTINS FOOT AND ANKLE CLINIC,MI,ADRIAN,31395
DRS RAVIN BIRNDORF & RAVIN INC,MI,ADRIAN,267612
ELLEN KEELER,MI,ADRIAN,436
EYE CENTER OF LENAWEE PC,MI,ADRIAN,35113
GASLIGHT VILLAGE ASSISTED LIVING LLC,MI,ADRIAN,156651
"HOSPICE OF LENAWEE, INC.",MI,ADRIAN,408368
JANA PENROD,MI,ADRIAN,608
JOHN WOODARD,MI,ADRIAN,576
"JOSEPHINE C. WEEDEN, DDS, MS PC",MI,ADRIAN,26553
JULIE ARTINIAN CALLAWAY,MI,ADRIAN,1052
KAREN STAFFORD-MAY LLC,MI,ADRIAN,1567
KELLI WATKINS,MI,ADRIAN,2246
LAWRENCE DESJARLAIS MD PC,MI,ADRIAN,29233
LENAWEE ADULT & PEDIATRIC MEDICINE,MI,ADRIAN,24226
LENAWEE COMMUNITY MENTAL HEALTH AUTHORITY,MI,ADRIAN,6214
LENAWEE MEDICAL CARE FACILITY,MI,ADRIAN,1043186
"LOVE FAMILY DENTAL, P.C.",MI,ADRIAN,12093
MICHELE A GARDNER MD PLLC,MI,ADRIAN,13422
"MICHIGAN PAIN SPECIALISTS, PLLC",MI,ADRIAN,73924
NORTH MAIN CHIROPRACTIC WELLNESS CENTER PLLC,MI,ADRIAN,519
"NUGA PEDIATRICS OF LENAWEE, PLLC",MI,ADRIAN,103783
OLIVERIO GARZA,MI,ADRIAN,2783
"PAUL W. LANCZKI, PC",MI,ADRIAN,60786
PREMIER CHIROPRACTIC PLLC,MI,ADRIAN,3117
RAJAMATHIAS Y REDDY MD PLLC,MI,ADRIAN,18018
RAYMOND GARNO,MI,ADRIAN,5067
SCOTT R SMITH DDS PC,MI,ADRIAN,21505
SHEMICK CHIROPRACTIC CENTER PC,MI,ADRIAN,1874
SOCORRO SEVILLA,MI,ADRIAN,80
STEVEN SHERMAN,MI,ADRIAN,6448
SUDHA BANSAL MD PC,MI,ADRIAN,5695
SUYDAM CHIROPRACTIC AND NUTRITIONAL WELLNESS PLLC,MI,ADRIAN,60
TOWNSHIP OF ADRIAN,MI,ADRIAN,5324
WILLIAM DECKER,MI,ADRIAN,24445
Z MED LLC,MI,ADRIAN,2218
ALBION FAMILY CHIROPRACTIC PLLC,MI,ALBION,44750
COUNTY OF CALHOUN,MI,ALBION,795
KIDNEY AND HYPERTENSION SPECIALISTS PLLC,MI,ALBION,51844
LANE STUMPOS DDS PC,MI,ALBION,117477
MARSHALL MEDICAL ASSOCIATES PC,MI,ALBION,18160
PARKS DRUG STORE INC,MI,ALBION,52
PARKS PHARMACY LLC,MI,ALBION,339
SUMMIT POINTE,MI,ALBION,23724
ALGONAC CHIROPRACTIC FAMILY WELLNESS CENTER LLC,MI,ALGONAC,1277
DOWNRIVER COMMUNITY SERVICES INC,MI,ALGONAC,98667
MEGAN BRADFORD,MI,ALGONAC,380
MICHIGAN TRI-COUNTY PHYSICAL THERAPY PLLC,MI,ALGONAC,5440
ROBERT J BATES,MI,ALGONAC,5529
