Provider Name,State,City,Payment
"ADA CHIROPRACTIC CLINIC, P.A",MN,ADA,1314
BRIDGES CARE CENTER,MN,ADA,760749
BRIDGES MEDICAL CENTER,MN,ADA,3514862
NORMAN COUNTY DAC,MN,ADA,93414
PRAIRIE DENTAL CENTERS PA,MN,ADA,57082
ADAMS AREA AMBULANCE SERVICE JOINT POWERS BOARD,MN,ADAMS,3484
CODY KIRKPATRICK,MN,ADAMS,532
CITY OF ADRIAN,MN,ADRIAN,2176
HAWLEY SENIOR LIVING LLC SUNRISE VIEW ASSISTED LIVING,MN,ADRIAN,103301
"AICOTA HEALTH CARE CENTER, INC.",MN,AITKIN,574970
AITKIN ACUPUNCTURE LLC,MN,AITKIN,1079
AITKIN COMMUNITY HOSPITAL INC,MN,AITKIN,6456605
AITKIN HEALTH SERVICES,MN,AITKIN,437444
ANCHOR MEDICAL LLC,MN,AITKIN,10576
BRUCE CARROLL,MN,AITKIN,665
COUNTY OF AITKIN,MN,AITKIN,726
DR. PAUL A. KUIKEN P.A.,MN,AITKIN,2621
"EYECARE CENTERS OF AITKIN & MCGREGOR OPTOMETRISTS, PA",MN,AITKIN,33676
INDEPENDENT SCHOOL DISTRICT 1,MN,AITKIN,1361
RIVERS EDGE ASSISTED LIVING,MN,AITKIN,26459
"ALBANY FAMILY DENTISTRY, P.A.",MN,ALBANY,42382
HARRY J LARSON DDS PA,MN,ALBANY,4996
MOTHER OF MERCY,MN,ALBANY,513364
ADVANCED FAMILY DENTAL PA,MN,ALBERT LEA,66846
"ALBERT LEA CHIROPRACTIC, PLC",MN,ALBERT LEA,3585
CHRISTOPHER SHOFF,MN,ALBERT LEA,3435
COUNTY OF FREEBORN,MN,ALBERT LEA,4440
"EATON SPORT AND SPINE CLINIC, LLC",MN,ALBERT LEA,6850
EMBRACE HOME CARE LLC,MN,ALBERT LEA,28573
"EPIPHANY DERMATOLOGY OF MINNESOTA, LLC",MN,ALBERT LEA,23648
HATAYE-SOFTING OPTOMETRISTS LTD,MN,ALBERT LEA,22347
HEARING ASSOCIATES PC,MN,ALBERT LEA,3921
INDEPENDENT SCHOOL DISTRICT 241 FREEBORN COUNTY,MN,ALBERT LEA,36124
JOHN M ENGER PROFESSIONAL ASSOCIATION,MN,ALBERT LEA,20614
JOHN PETERSON,MN,ALBERT LEA,2722
JOSEPH NELSON,MN,ALBERT LEA,3111
NEW RICHLAND DRUG PC,MN,ALBERT LEA,2667
ST. JOHNS LUTHERAN HOME OF ALBERT LEA,MN,ALBERT LEA,1268698
"TOUCHWORKS CHIROPRACTIC, P.A.",MN,ALBERT LEA,217
"TUBBS CHIROPRACTIC, P.A.",MN,ALBERT LEA,4861
VU DENTAL SERVICES LLC,MN,ALBERT LEA,39160
WATER STREET PSYCHOLOGY PC,MN,ALBERT LEA,570
CHIROPRACTIC AND WELLNESS CENTER OF ALBERTVILLE PLLC,MN,ALBERTVILLE,369
"IFE - MN, INC",MN,ALBERTVILLE,123
INDEPENDENT SCHOOL DISTRICT #885,MN,ALBERTVILLE,18401
INFINITE WELLNESS CHIROPRACTIC PA,MN,ALBERTVILLE,39
ORTHOPEDIC & SPINE THERAPY OF ALBERTVILLE,MN,ALBERTVILLE,127
WHITE SMILES FAMILY DENTISTRY,MN,ALBERTVILLE,50357
"ACTIVECARE CHIROPRACTIC, P.C.",MN,ALEXANDRIA,1759
ADVANCE ORTHOTICS & PROSTHETICS,MN,ALEXANDRIA,12281
"ADVANCED EYECARE OF MINNESOTA, P.A.",MN,ALEXANDRIA,14624
ADVANTAGE REHAB INC,MN,ALEXANDRIA,10837
ALEX ASSISTED LIVING LLC,MN,ALEXANDRIA,74552
"ALEXANDRIA EYE CLINIC, P.A.",MN,ALEXANDRIA,116714
ALEXANDRIA REHABILITATION LLC,MN,ALEXANDRIA,4164
AMS MAPLE GROVE LLC,MN,ALEXANDRIA,19307
BARTON EYE CARE,MN,ALEXANDRIA,7862
BJORN HURLEN,MN,ALEXANDRIA,897
BST ALEXANDRIA LLC,MN,ALEXANDRIA,287
CARDINAL CHIROPRACTIC OF ALEXANDRIA LLC,MN,ALEXANDRIA,729
CENTER FOR PAIN MANAGEMENT AMBULATORY SURGERY,MN,ALEXANDRIA,103985
"CENTRAL LAKES ORTHODONTICS, P.A.",MN,ALEXANDRIA,172519
"CENTURY CHIROPRACTIC CENTER, P.A.",MN,ALEXANDRIA,5021
COMMUNITY BEHAVIORAL HEALTH HOSPITAL-ALEXANDRIA,MN,ALEXANDRIA,1521410
CUTTING EDGE WELLNESS LLC,MN,ALEXANDRIA,899
DEAN R ANDERSON DDS PC,MN,ALEXANDRIA,136176
"DENTAL HEALTH ASSOCIATES OF ALEXANDRIA, PA",MN,ALEXANDRIA,179028
"DENTISTRY AT THE CENTER, PA",MN,ALEXANDRIA,91276
DOUGLAS COUNTY DEVELOPMENTAL ACHIEVEMENT CENTER,MN,ALEXANDRIA,116107
DOUGLAS COUNTY HOSPITAL,MN,ALEXANDRIA,9533759
ED MODAHL LICENSED PSYCHOLOGIST INC.,MN,ALEXANDRIA,3111
"ERICK W. NOLTING DDS, PA",MN,ALEXANDRIA,28424
EVOLVE ORTHODONTICS PLLC,MN,ALEXANDRIA,11633
"GESS EYE CLINIC, P.A.",MN,ALEXANDRIA,15291
GODFREY CHIROPRACTIC CLINIC INC,MN,ALEXANDRIA,5412
HEALTH SOURCE OF ALEXANDRIA PA,MN,ALEXANDRIA,1125
HEINZ FAMILY CHIROPRACTIC PA,MN,ALEXANDRIA,3979
INTEGRATED HEALTH CENTER,MN,ALEXANDRIA,878
JOSEPH M HAACK DDS PLLC,MN,ALEXANDRIA,24532
KA BLOOMQUIST RG BAKEWELL OD PA,MN,ALEXANDRIA,66246
"KI SENIOR LIVING OF PARK RAPIDS, LLC",MN,ALEXANDRIA,49057
KNUTE NELSON,MN,ALEXANDRIA,1258283
KRAMER CHIROPRACTIC P.A.,MN,ALEXANDRIA,545
LAKE REGION EYE CENTER,MN,ALEXANDRIA,4828
LQCR PLLC,MN,ALEXANDRIA,947
"MICHAEL H. COLLINS, DDS, PA",MN,ALEXANDRIA,22081
MICHAEL JOHNSON,MN,ALEXANDRIA,2917
MIDWEST CLINIC OF DERMATOLOGY LASER AND COSMETIC SURGERY PA,MN,ALEXANDRIA,68064
"MINNESOTA EYE INSTITUTE SURGERY CENTER, LLC",MN,ALEXANDRIA,26718
"MINNESOTA EYE INSTITUTE, INC",MN,ALEXANDRIA,26734
NEXTSTEP HOME CARE INC,MN,ALEXANDRIA,32867
NORTHWEST INDUSTRIAL REHABILITATION SERVICES INC,MN,ALEXANDRIA,18394
PRAIRIE LAKES DENTAL P.A.,MN,ALEXANDRIA,21291
RANDYS FAMILY OPTICAL INC,MN,ALEXANDRIA,348
REFLECTIONS COUNSELING & PSYCHOLOGICAL SERVICES PLLC,MN,ALEXANDRIA,1355
"RICE HOME MEDICAL, LLC",MN,ALEXANDRIA,171037
"RUNESTONE EYE CARE, INC",MN,ALEXANDRIA,7337
"SANFORD HEALTHCARE ACCESSORIES, LLC",MN,ALEXANDRIA,454254
"SHERIE CARLSON PHD, LP, PLLC",MN,ALEXANDRIA,17975
"TOUCHING LIVES CHIROPRACTIC, PC",MN,ALEXANDRIA,664
VON HOLDT EYE CARE PLLC DBA LAKE REGION EYE CENTER,MN,ALEXANDRIA,27653
WALES HEARING CENTER,MN,ALEXANDRIA,890
"WAYNE D. KNAUF, D.C.P.A.",MN,ALEXANDRIA,1237
"WEST CENTRAL DENTAL RESOURCES, INC,",MN,ALEXANDRIA,257795
WOODLAND DENTISTRY LLC,MN,ALEXANDRIA,36785
YOUNG AT HEART DENTISTRY,MN,ALEXANDRIA,11071
FOREVER SMILES PLLC,MN,ALRINGTON,65295
CITY OF ALTURA,MN,ALTURA,866
ABELER CHIROPRACTIC OF ANDOVER PA,MN,ANDOVER,590
ANDOVER FAMILY CHIROPRACTIC PA,MN,ANDOVER,75
ANDOVER OPTICAL INC,MN,ANDOVER,240
DON J HERVE O D P C,MN,ANDOVER,1180
ETHAN R CHUTE DDS LLC,MN,ANDOVER,112762
"FAMILY FRIENDLY CHIROPRACTIC, INC.",MN,ANDOVER,166
"FAMILY SPEECH & THERAPY SERVICES, LLC",MN,ANDOVER,103515
HEALTH AND HEALING FAMILY CHIROPRACTIC,MN,ANDOVER,824
HEIL CHIROPRACTIC CENTER PA,MN,ANDOVER,5144
INTEGRA DENTAL PA,MN,ANDOVER,15934
"JEFFREY W. WILLIAMS, OD & ASSOCIATES, PA",MN,ANDOVER,86660
ROUND LAKE FAMILY DENTISTRY PLLC,MN,ANDOVER,23767
SWEET TOOTH DENTISTRY PLC,MN,ANDOVER,21380
WAYNE PRATT,MN,ANDOVER,2010
ANNANDALE CARE CENTER,MN,ANNANDALE,460262
ANNANDALE FAMILY AND SPORTS CHIROPRACTIC,MN,ANNANDALE,703
"BRUCE R. KARG, DDS",MN,ANNANDALE,6286
COMMUNITY BEHAVIORAL HEALTH HOSPITAL-ANNANDALE,MN,ANNANDALE,76424
TWIN LAKES CHIROPRACTIC LLC,MN,ANNANDALE,430
