Provider Name,State,City,Payment
ADRIAN KREISLER DRUG INC,MO,ADRIAN,366
CITY OF ADRIAN - ADRIAN MANOR HEALTH AND REHAB,MO,ADRIAN,467652
ADVANCE MISSOURI HEALTH CARE,MO,ADVANCE,20743
"HAVEN HEALTH CARE MEDICAL CLINIC, INC",MO,ADVANCE,31
"N & R OF ADVANCE, INC.",MO,ADVANCE,458526
AFFTON FIRE PROTECTION DISTRICT,MO,AFFTON,24588
GREGORY EDSTROM,MO,AFFTON,1665
MICHAEL B. STOTLER MD PC,MO,AFFTON,4728
"TOMLYN, INC",MO,AFFTON,1280
CARING FIRST HOME LLC,MO,ALBANY,5145
CARING FIRST LLC,MO,ALBANY,12933
CASE RUCKMAN DC PC,MO,ALBANY,2002
EM OLIVER INC,MO,ALBANY,4703
"KIMBERLY ANN FINDLEY, D.C., P.C.",MO,ALBANY,4343
"NORTHWEST MEDICAL CENTER ASSOCIATION, INC.",MO,ALBANY,4025443
"ROLLING HILLS CREATIVE LIVING, INC.",MO,ALBANY,80138
C & P ALTON VENTURES LLC,MO,ALTON,245
"SHEPHERD'S VIEW, INC",MO,ALTON,33155
CHRIS GRAYLING,MO,ANDERSON,15
"N & R OF ANDERSON,  LLC",MO,ANDERSON,657508
SCOTT C GOLDSTEIN,MO,ANDERSON,16268
COMMUNITY MEMORIAL HOSPITAL DISTRICT,MO,APPLETON CITY,3409766
JACKSON COUNTY GASTROENTEROLOGY PC,MO,APPLETON CITY,64198
APPLETON CITY MANOR LLC,MO,APPLETONCITY,447809
AGING WITH GRACE CDS LLC,MO,ARNOLD,9737
AGING WITH GRACE IHS LLC,MO,ARNOLD,11898
"AMY HORN TWENTY SEVEN, LLC",MO,ARNOLD,1186
ARNOLD FAMILY EYECARE PC,MO,ARNOLD,944
ARNOLD FAMILY MEDICINE LLC,MO,ARNOLD,3961
ARNOLD PHYSICAL THERAPY & SPORTS MEDICINE LLC,MO,ARNOLD,5850
ARNOLD SMILES,MO,ARNOLD,40071
ASHWIN J JOSHI MD PC,MO,ARNOLD,3087
CAROL WESTMORELAND,MO,ARNOLD,4674
CENTRAL RADIOLOGY GROUP LTD,MO,ARNOLD,15630
COMPLETE CHIROPRACTIC INC.,MO,ARNOLD,1997
DIANA TOLER,MO,ARNOLD,7
"DIANE G. WILSON, OD & ASSOCIATES, PC",MO,ARNOLD,10251
JONATHAN T MEARS DMD LLC,MO,ARNOLD,24273
"MERAMEC DERMATOLOGY, LLC",MO,ARNOLD,75457
"MISSOURI SPINE ASSOCIATES, LLC",MO,ARNOLD,5
"PIKUL OPTOMETRY, P.C.",MO,ARNOLD,269
PROACTIVE CHIROPRACTIC P.C.,MO,ARNOLD,3304
QUALITY HOME HEALTH CARE LLC,MO,ARNOLD,35691
SCOTT MEYER DDS LLC,MO,ARNOLD,22287
"SOUTH COUNTY NURSING HOME, INC.",MO,ARNOLD,1016100
"WELLNESS CHIROPRACTIC CENTER, PC",MO,ARNOLD,13539
ASH GROVE PHARMACY INC,MO,ASH GROVE,98
STIEHL WILSON,MO,ASH GROVE,837
"ASHLAND NURSING & REHAB, LLC",MO,ASHLAND,421728
ASHLAND VILLA LLC,MO,ASHLAND,19760
BRIDGET P EARLY MD LLC,MO,ASHLAND,30281
DCW INC DBA KIMS KIDS PEDIATRIC OT,MO,ASHLAND,2091
KILGORE INC,MO,ASHLAND,168516
NATALIE BILL DOWD LLC,MO,ASHLAND,170
AURORA FAMILY VISION CARE LLC,MO,AURORA,1782
BT ACQUISITIONS LLC,MO,AURORA,106
C. L. SHIRLEY DDS LLC,MO,AURORA,14241
CENTER FOR LIFE COACHING AND COUNSELING LLC,MO,AURORA,1057
JOHN WATTS,MO,AURORA,167
MERCY HOSPITAL AURORA,MO,AURORA,3956714
"MINDBODY WELLNESS, LLC",MO,AURORA,5861
PRATT EYE CARE LLC,MO,AURORA,2406
"FINCK & ASSOCIATES, INC.",MO,AUXVASSE,324110
PHYSICAL THERAPY CLINIC OF AVA PC,MO,AVA,3679
20 20 VISION CARE,MO,BALLWIN,1055
"ADAPT OF AMERICA, INC.",MO,BALLWIN,218553
"ADVANCED EYE SURGERY CENTER, LLC",MO,BALLWIN,73786
ALLAN L LINK DMD  & ASSOCIATES LLC,MO,BALLWIN,32194
ALPINE HOME HEALTH AGENCY INC,MO,BALLWIN,36283
"AMANDA J. DARLING, D.D.S., P.C. DBA LEGACY DENTAL CARE",MO,BALLWIN,58878
AUTISM AND BEHAVIORAL SPECTRUM LLC,MO,BALLWIN,35953
BARRY COMMUNITY CARE CENTER INC,MO,BALLWIN,446722
BENNETT OPTOMETRY LLC,MO,BALLWIN,595746
BERDY & MALHOTRA PC,MO,BALLWIN,543500
BERGMAN FAMILY DENTAL,MO,BALLWIN,77601
BRASSIE CHIROPRACTIC LLC,MO,BALLWIN,1229
CHAD HILLGARTNER,MO,BALLWIN,316
CHANDI DDS LLC,MO,BALLWIN,215013
"CHIROPRACTIC & MORE, LLC",MO,BALLWIN,46
CKATKE COUNSELING SERVICES LLC,MO,BALLWIN,1960
CLARKSON OPTOMETRY GEORGIA INC,MO,BALLWIN,165900
CLARKSON OPTOMETRY IL PC,MO,BALLWIN,1691873
CLARKSON OPTOMETRY INC,MO,BALLWIN,4924723
CLARKSON OPTOMETRY MIDWEST INC,MO,BALLWIN,2915467
COMMUNITY CARE CENTER OF AURORA INC,MO,BALLWIN,685609
COMMUNITY CARE CENTER OF GAINESVILLE INC,MO,BALLWIN,741796
COMMUNITY CARE CENTER OF LEMAY INC,MO,BALLWIN,434432
COMMUNITY CARE CENTER OF LOUISIANA INC,MO,BALLWIN,588706
COMMUNITY CARE CENTER OF MARK TWAIN INC,MO,BALLWIN,785579
"COMMUNITY CARE CENTER OF MASCOUTAH, INC",MO,BALLWIN,459189
COMMUNITY CARE CENTER OF MONMOUTH INC,MO,BALLWIN,349799
COMMUNITY CARE CENTER OF SALEM INC,MO,BALLWIN,635054
COMMUNITY CARE CENTER OF SULLIVAN INC,MO,BALLWIN,468939
COMMUNITY CARE CENTER OF UNION INC,MO,BALLWIN,386425
COMMUNITY RESIDENCE INC,MO,BALLWIN,66860
COREY G HAHN DC LLC,MO,BALLWIN,2607
COUNTRY VIEW NURSING FACILITY INC,MO,BALLWIN,375693
CRYSTAL L MARTIN DDS LLC,MO,BALLWIN,10708
"DES PERES EYE SURGERY CENTER, LLC",MO,BALLWIN,1132424
DR JAMES GALEA DDS MSD LLC,MO,BALLWIN,37967
"DRS PRICE, YOUNG, ODLE, & HORSCH PA",MO,BALLWIN,526054
ERIKA RUSSINA,MO,BALLWIN,451
