Provider Name,State,City,Payment
ARNALDO FARGAS-RODRIGUEZ,MP,CHANDLER,323
COMMONWEALTH HEALTHCARE CORPORATION,MP,SAIPAN,9265877
"CWM TRUST, LLC",MP,SAIPAN,3004
"DENTAL CARE, INC.",MP,SAIPAN,16496
DR. MICHAEL HALL,MP,SAIPAN,15250
"HARDT EYE CLINIC, INC",MP,SAIPAN,41739
HEALTH PROFESSIONAL CORPORATION,MP,SAIPAN,115102
"KAGMAN COMMUNITY HEALTH CENTER, INC.",MP,SAIPAN,104387
MARIANAS EYE INSTITUTE INC,MP,SAIPAN,62052
MARIANAS GLOBAL VENTURES LLC,MP,SAIPAN,420
MARIANAS HEALTH SERVICES INC,MP,SAIPAN,156586
MEDICAL ASSOCIATES OF THE PACIFIC LLC,MP,SAIPAN,15145
NORTHERN MARIANA ISLANDS GOVERNMENT,MP,SAIPAN,29708
PACIFIC MEDICAL CENTER INC,MP,SAIPAN,172724
"ST. JUDE RENAL CARE FACILITY, INC.",MP,SAIPAN,76276
