Provider Name,State,City,Payment
ABERDEEN EYE CLINIC P A,MS,ABERDEEN,2881
ABERDEEN HEALTH CLINIC INC,MS,ABERDEEN,119637
"COMMUNITY CARE OF ABERDEEN, LLC",MS,ABERDEEN,1181279
CURRIES FAMILY CARE PHARMACY OF ABERDEEN,MS,ABERDEEN,3177
FRESH SMILES PLLC,MS,ABERDEEN,31191
JULIAN BROWN,MS,ABERDEEN,24389
LUEZARAH ROBINSON HEALTHCARE SERVICES,MS,ABERDEEN,4703
ROBERT LACEY,MS,ABERDEEN,2366
CHOCTAW REGIONAL MEDICAL CENTER,MS,ACKERMAN,4624938
"MITCHELL DENTAL CLINIC, INC.",MS,ACKERMAN,426794
OCH FAMILY PRACTICE ACKERMAN,MS,ACKERMAN,12661
AMORY SURGERTY CLINIC,MS,AMORY,20486
"AMORY URGENT CARE, LLC",MS,AMORY,18571
"CARETIME MEDICAL CLINIC, LLC",MS,AMORY,124366
DIVERSICARE OF AMORY LLC,MS,AMORY,894105
FUGETT HEALTH SERVICES LLC,MS,AMORY,2726
HEALOGICS SPECIALTY PHYSICIANS OF MISSISSIPPI LLC,MS,AMORY,28631
"HELTON FAMILY DENTAL CARE, PA",MS,AMORY,80025
HOAT HOANG,MS,AMORY,672
JAMES WOODARD,MS,AMORY,1195
MEDIHEALTH MEDICAL SOLUTIONS LLC,MS,AMORY,33315
"MONROE FAMILY CHIROPRACTIC, LLC.",MS,AMORY,897
NORTH MISSISSIPPI GILMORE CLINICS LLC,MS,AMORY,102186
P & S CLINIC OB-GYN PLLC,MS,AMORY,227801
PEARSON DISCOUNT DRUGS,MS,AMORY,63813
PRIORITY CARE MEDICAL SUPPLY LLC,MS,AMORY,791
RESPIRATORY & DIABETES CARE CENTER,MS,AMORY,26173
"RRL, LLC  RIVER PLACE NURSING CENTER",MS,AMORY,637480
RUDER HOSPITAL DENTISTRY,MS,AMORY,26615
STEVE RANDLE,MS,AMORY,13018
TERRY W ODOM PEDIATRICS,MS,AMORY,9692
VERN M CHRISTENSEN DPM,MS,AMORY,41962
"WEST MEMPHIS EYE CENTER, PA",MS,AMORY,42013
DESTINY MANOR,MS,ARCOLA,2974
SHELIA DENICE BONEY COLLINS,MS,ARCOLA,135
NORTH MISSISSIPPI PRIMARY HEALTH CARE INC,MS,ASHLAND,1004218
DONALD A. PRESLEY DMD,MS,BALDWYN,67240
FIRST CARE FAMILY CLINIC,MS,BALDWYN,4208
