Provider Name,State,City,Payment
ABSAROKEE AMBULANCE SERVICE,MT,ABSAROKEE,1041
307 E PARK STREET SUITE 308,MT,ANACONDA,7477
AMY K LOWE DDS PC,MT,ANACONDA,38836
ANACONDA DEER LODGE COUNTY,MT,ANACONDA,12438
ANACONDA OXYGEN SERVICE,MT,ANACONDA,31539
ANDREW C CROMWELL DDS PC,MT,ANACONDA,28444
AWARE INC,MT,ANACONDA,766985
COMMUNITY HOSPITAL OF ANACONDA,MT,ANACONDA,6748400
GYPSY RAY LCSW LLC,MT,ANACONDA,1129
JENNIFER OLIVA,MT,ANACONDA,5578
JENNIFER OLIVA,MT,ANACONDA,740
LEONARD E. VAINIO & DAVID G. VAINIO PC,MT,ANACONDA,24641
MARCELLA GRAYSON,MT,ANACONDA,793
NORTHWEST EHR COLLABORATIVE INC,MT,ANACONDA,211
OLC-LLC,MT,ANACONDA,177
RODNEY BABCOCK,MT,ANACONDA,717
"SOUTHWEST MONTANA NEUROPSYCHOLOGY SERVICES, PLLC",MT,ANACONDA,144
STOKES PHARMACY ANACONDA INC,MT,ANACONDA,1145
"THRIFTY DRUG STORES, INC",MT,ANACONDA,253
ARLEE VOLUNTEER FIRE & AMBULANCE DEPARTMENT,MT,ARLEE,2507
RAQUEL CASTELLANOS MILLER,MT,ARLEE,104
AUGUSTA VOLUNTEER AMBULANCE,MT,AUGUSTA,91
COUNTY OF LEWIS AND CLARK,MT,AUGUSTA,2652
BAKER DRUG CO,MT,BAKER,5391
COUNTY OF FALLON,MT,BAKER,4182
FALLON MEDICAL COMPLEX INC,MT,BAKER,3668777
"GABERT MEDICAL SERVICES, INC",MT,BAKER,7188
HOLKUP CHIROPRACTIC CLINIC PC,MT,BAKER,2336
ADVANCED EYE CARE - BELGRADE,MT,BELGRADE,72730
BELGRADE CHIROPRACTIC INC,MT,BELGRADE,5398
BIG SKY SPINAL CARE CENTER,MT,BELGRADE,25872
BRIAN JENSEN,MT,BELGRADE,543
BRIDGER EMERGENCY TRAINING CENTER LLC,MT,BELGRADE,5876
C G KURTZ CLINIC PC,MT,BELGRADE,2951
"CAPITAL OPPORTUNITIES, INC",MT,BELGRADE,161007
CENTRAL VALLEY FIRE DISTRICT,MT,BELGRADE,15435
JOSEPH K PARKS PC,MT,BELGRADE,10369
KATIE BALL,MT,BELGRADE,431
LEE COPENHAGEN,MT,BELGRADE,932
MEDICAL EYE SPECIALISTS PC,MT,BELGRADE,155563
MOSAIC REHABILITATION,MT,BELGRADE,24701
PRO CHIROPRACTIC,MT,BELGRADE,125647
REHABILITY PC,MT,BELGRADE,9097
SAINT CATHERINE FAMILY HEALTH CARE CLINIC & PREGNANCY RESOURCE CENTER,MT,BELGRADE,426
SPINE AND SPORTS CHIROPRACTIC,MT,BELGRADE,15734
WADE HILL,MT,BELGRADE,236
BELT CHIROPRACTIC INC,MT,BELT,422
BELT VOLUNTEER AMBULANCE SERVICE,MT,BELT,1680
"BIG SANDY MEDICAL CENTER, INC.",MT,BIG SANDY,1791567
BIG SKY FIRE DEPARTMENT,MT,BIG SKY,3262
BOZEMAN HEALTH BIG SKY MEDICAL CENTER LLC,MT,BIG SKY,3352741
BOZEMAN HEALTH URGENT CARE,MT,BIG SKY,11672
KIMBERLY A CHAPMAN,MT,BIG SKY,52319
HOLLY HATCH LCSW PC,MT,BIG TIMBER,145
PIONEER MEDICAL CENTER,MT,BIG TIMBER,2399675
ALBIERO CHIROPRACTIC PC,MT,BIGFORK,7049
"BIGFORK DRUG, INC",MT,BIGFORK,1915
BIGFORK FIRE DISTRICT,MT,BIGFORK,10044
CREATING CHOICES PC,MT,BIGFORK,155
ERIN C PRICE DMD PC,MT,BIGFORK,61315
"LARRY CLAYTON, D.D.S., P.L.L.C.",MT,BIGFORK,15234
TREASURE STATE CHIROPRACTIC PC,MT,BIGFORK,330
7 WELLNESS AND MASSAGE CENTER,MT,BILLINGS,11803
ADVANCED CARE HOSPITAL OF MONTANA INC,MT,BILLINGS,726462
ADVANCED THERAPY CLINIC LLC,MT,BILLINGS,15540
AGUAYO CHIROPRACTIC & WELLNESS INC,MT,BILLINGS,655
ALAN BAUER,MT,BILLINGS,1560
ALTERNATIVES INC.,MT,BILLINGS,63454
AMANDA M LEWIS PROFESSIONAL LLC,MT,BILLINGS,21
ANDREA FISCUS,MT,BILLINGS,1305
"ANESTHESIA PARTNERS OF MONTANA, P.C.",MT,BILLINGS,577379
ANGELA MATTA LCSW LAC PC,MT,BILLINGS,1389
ANNETTE BACHELLER,MT,BILLINGS,1240
AUTUMN SPRINGS ASSISTED LIVING,MT,BILLINGS,32019
BACK COUNTRY FAMILY CHIROPRACTIC,MT,BILLINGS,339
BACK IN MOTION CHIROPRACTIC LLC,MT,BILLINGS,3438
