Provider Name,State,City,Payment
"ABERDEEN PHYSICAL THERAPY AND WELLNESS, LLC",NC,ABERDEEN,16674
ALLEN BROOKS PROFESSIONAL COUNSELING,NC,ABERDEEN,2376
"AUDIOLOGY OF THE SANDHILLS, INC",NC,ABERDEEN,26
"BODE CHIROPRACTIC CENTER, INC",NC,ABERDEEN,3688
BURLEY-STROKER CHIROPRACTIC INC,NC,ABERDEEN,808
"CREATIVE CONCEPTS THERAPEUTIC SERVICES, LLC",NC,ABERDEEN,6875
DILIGENT CARE INC,NC,ABERDEEN,56607
DR CAMERON AND ASSOCIATES PLLC,NC,ABERDEEN,61408
DRS RITT KUHN AND MANDY GRIMSHAW PLLC,NC,ABERDEEN,74466
FAMILY EYE CARE OF THE CAROLINAS PA,NC,ABERDEEN,155722
FELICITY SANDERS,NC,ABERDEEN,175
HARMONY WITHIN MENTAL HEALTH PLLC,NC,ABERDEEN,906
INTEGRATIVE PSYCHIATRY AND PSYCHOTHERAPY PLLC,NC,ABERDEEN,2617
KAREN T IRIZARRY PLLC,NC,ABERDEEN,652
KINGSWOOD NURSING CENTER INC,NC,ABERDEEN,101121
MICHAEL HARTLEY,NC,ABERDEEN,2596
"PATEL AND NEIL, DMD, PLLC",NC,ABERDEEN,38369
PRESCRIPTION SHOPPE OF ABERDEEN LLC,NC,ABERDEEN,291
SERENITY MENTAL AND MEDICAL CARE PLLC,NC,ABERDEEN,1510
"THROUGHCARE HEALTH, PLLC",NC,ABERDEEN,2283
"ADAM T. DORSETT, DDS AND JASON T. MOORE, DDS, PA",NC,ADVANCE,243806
"AMY LI, DMD, PLLC",NC,ADVANCE,8984
BHM SALEM TERRACE LLC,NC,ADVANCE,23004
"BROOKSTONE OF CLEMMONS, LLC",NC,ADVANCE,36879
"BROOKSTONE TERRACE OF WOODRUFF, LLC",NC,ADVANCE,14613
CAROLINA CENTER FOR EYE CARE OD PA,NC,ADVANCE,73327
"DAVIE DERMATOLOGY, P.A.",NC,ADVANCE,100632
"ENTERPRISE HEALTHCARE OF STATESVILLE, INC.",NC,ADVANCE,32170
SALEM PROFESSIONAL ANESTHESIA SERVICES PC,NC,ADVANCE,98340
"TERRACE RIDGE ASSISTED LIVING, INC.",NC,ADVANCE,68713
"WILKINSON CARE CENTER, INC.",NC,ADVANCE,758878
AHOSKIE ADULT MEDICINE CLINIC PLLC,NC,AHOSKIE,1077
AHOSKIE EYE CARE OD PA,NC,AHOSKIE,16556
"AHOSKIE PEDIATRICS, P.A.",NC,AHOSKIE,12668
"ALL-AMERICAN HOME CARE, LLC",NC,AHOSKIE,38933
BRIDGE OF HOPE LIFE TRANSFORMATIONAL SERVICES LLC,NC,AHOSKIE,366
"CAROLINA PEDIATRICS, PA",NC,AHOSKIE,58004
"DRS BROWN & BROWN, PA",NC,AHOSKIE,12666
EAST CAROLINA HEALTH,NC,AHOSKIE,14817028
EVERETT LARABEE,NC,AHOSKIE,5596
"HOME LIFE CARE, INC.",NC,AHOSKIE,318163
INTEGRATED FAMILY SERVICES,NC,AHOSKIE,274782
