Provider Name,State,City,Payment
"ANETA NURSING HOME, INC",ND,ANETA,365781
CASSELTON DRUG INC,ND,ARTHUR,1071
ASHLEY AMBULANCE ASSOCIATION,ND,ASHLEY,5077
ASHLEY MEDICAL CENTER,ND,ASHLEY,3938610
MCINTOSH COUNTY DISTRICT HEALTH UNIT,ND,ASHLEY,270
COMMUNITY AMBULANCE SERVICE INC,ND,BEACH,2559
GOLDEN VALLEY MANOR INC,ND,BEACH,53058
QUENTIN N BURDICK MEMORIAL HEALTH CARE FACILITY,ND,BELCOURT,4741546
TURTLE MOUNTAIN SACRED CHILD PROJECT,ND,BELCOURT,2285
BELFIELD AMBULANCE SERVICE,ND,BELFIELD,969
"BERTHOLD AMBULANCE SERVICE, INC.",ND,BERTHOLD,429
BEULAH DRUG COMPANY,ND,BEULAH,2747
BEULAH VISION PC,ND,BEULAH,16252
COAL COUNTRY COMMUNITY HEALTH CENTER,ND,BEULAH,804367
ERICKSON CHIROPRACTIC PC,ND,BEULAH,8165
KNIFE RIVER CARE CENTER,ND,BEULAH,1286909
NICOLE GABRIEL,ND,BEULAH,200
STONE CLINIC PC,ND,BEULAH,188
"KATHRYN A. HOLZER, DDS, PC",ND,BIMARCK,22497
2M DENTAL GROUP,ND,BISMARCK,124935
A L WAGNER FAMILY CHIROPRACTIC PC,ND,BISMARCK,3571
"A TO Z PEDIATRIC DENTISTRY, PC",ND,BISMARCK,25173
ACTIVE LIFE CHIROPRACTIC PC,ND,BISMARCK,2109
"ADJUST LIFE, LTD",ND,BISMARCK,635
"ADVANCED PHYSICAL THERAPY AND FITNESS, LLC",ND,BISMARCK,28161
ALLIANCE MEDIATION & THERAPY PC,ND,BISMARCK,492
"ALPHA CHIROPRACTIC, PC",ND,BISMARCK,220
ANDREW J SCHMID DDS PC,ND,BISMARCK,100948
BACHNDOC INC.,ND,BISMARCK,13264
"BALANCE MEDICAL, LLC",ND,BISMARCK,1004
BALANCED HEALTH CHIROPRACTIC & WELLNESS PC,ND,BISMARCK,550
BAPTIST APARTMENTS,ND,BISMARCK,30836
"BAPTIST HOME, INC",ND,BISMARCK,962164
BECKER PLASTIC SURGERY LLC,ND,BISMARCK,825
"BENEDICTINE LIVING COMMUNITIES - BISMARCK, INC.",ND,BISMARCK,793348
BERGER CHIROPRACTIC AND ACUPUNCTURE,ND,BISMARCK,1780
BETHANY ERICKSON,ND,BISMARCK,4072
"BIRON D. BAKER FAMILY MEDICINE, P.C.",ND,BISMARCK,12185
BISMARCK AIR MEDICAL LLC,ND,BISMARCK,16819
BISMARCK CANCER CENTER,ND,BISMARCK,299543
"BISMARCK EYECARE, P.C.",ND,BISMARCK,7719
BISMARCK PSYCHOLOGICAL ASSOCIATES,ND,BISMARCK,1746
BISMARCK SURGICAL ASSOCIATES LLC,ND,BISMARCK,126813
"BLADDER CARE, INC.",ND,BISMARCK,38316
BONE & JOINT CENTER PC,ND,BISMARCK,425880
BRIDGING THE DENTAL GAP,ND,BISMARCK,350204
BROCK OUKROP PC,ND,BISMARCK,116282
BRYANTCLINIC OFCHIROPRACTIC&ACUPUNCTUREPC,ND,BISMARCK,1694
BURLEIGH COUNTY HOUSING AUTHORITY,ND,BISMARCK,35315
CAPITAL CHIROPRACTIC PC,ND,BISMARCK,3034
CARINGEDGE HEALTHCARE OF MINOT LLC,ND,BISMARCK,69503
CARINGEDGE HOSPICE OF MINOT LLC,ND,BISMARCK,36429
CAROL L KRAUSE MD PC,ND,BISMARCK,2929
"CC'S PHYSICAL THERAPY, LLC",ND,BISMARCK,4765
CHAMBERS & BLOHM PSYCHOLOGICAL,ND,BISMARCK,6829
CHI HEALTH CONNECT AT HOME - FARGO,ND,BISMARCK,511092
CHIROPRACTIC CARE CENTER PC,ND,BISMARCK,2175
CHUPPE CLINIC PC,ND,BISMARCK,5871
CHURCHILL PHARMACY HOLDING INC.,ND,BISMARCK,150239
CITY OF BISMARCK,ND,BISMARCK,2245
CLAUSNITZER DENTISTRY,ND,BISMARCK,24645
COTY SICBLE,ND,BISMARCK,725
"CUSTOM ENDODONTICS, PC",ND,BISMARCK,353685
"D. MICHAEL GOEBEL DDS, PC",ND,BISMARCK,79129
"DAKOTA FOOT & ANKLE CLINIC, PC",ND,BISMARCK,99539
DAKOTA INSTITUTE OF TRAUMA THERAPY PC,ND,BISMARCK,1148
"DAKOTA LIFE CHIROPRACTIC, P.C.",ND,BISMARCK,1290
DAKOTA PHARMACY OF BISMARCK INC,ND,BISMARCK,1105
DAKOTA SURGERY & LASER CENTER LLC,ND,BISMARCK,146019
DECOTEAU TRAUMA-INFORMED CARE & PRACTICE PLLC,ND,BISMARCK,183
"DERIK HOERNER, D.D.S., P.C.",ND,BISMARCK,28748
DISCOVER HEALTH CHIROPRACTIC PC,ND,BISMARCK,29
"DR BLAKE A FEIL DDS, P.C.",ND,BISMARCK,29330
DR DANIEL KEITH DDS MS PC,ND,BISMARCK,34681
"DR. RYAN KOCH, P.C.",ND,BISMARCK,880
DRS SCHINDLER & DEIS PC,ND,BISMARCK,10527
DSJ ENTERPRISES LLC,ND,BISMARCK,8663
DYNAMIC HEALTH SOULTIONS INC,ND,BISMARCK,183
ELITE EYE CARE PLLC,ND,BISMARCK,317
EMBRACE WELLNESS PLLC,ND,BISMARCK,1236
"EYE CENTER OF THE DAKOTAS, PC",ND,BISMARCK,73035
EYE CLINIC OF NORTH DAKOTA,ND,BISMARCK,278803
"EYES ON BISMARCK, PC",ND,BISMARCK,4209
FACE AND JAW SURGEONS PC,ND,BISMARCK,5067
"FAMILY HEALTH CHIROPRACTIC, PC",ND,BISMARCK,63
FAMILY VISION CLINIC LLP,ND,BISMARCK,22457
GERMAN PC,ND,BISMARCK,1572
HAPPY AND SMILE LLC,ND,BISMARCK,8478
HEALTHWAYS PLLC,ND,BISMARCK,562
HEARTVIEW FOUNDATION,ND,BISMARCK,113887
"HEIDI NICHOLS-JOHNSON, P.C.",ND,BISMARCK,22424
HERINGER DENTISTRY,ND,BISMARCK,39186
HERITAGE PHARMACY GATEWAY MALL INC,ND,BISMARCK,1181
HETLAND EAR NOSE THROAT PC,ND,BISMARCK,9347
HOMETOWN WELLNESS PC,ND,BISMARCK,746
INDEPENDENT DOCTORS PC,ND,BISMARCK,30787
INSPIRED LIFE WELLNESS CLINIC PLLC,ND,BISMARCK,5365
JEFFREY SMITH MD PC,ND,BISMARCK,15994
"JKRX, INC",ND,BISMARCK,4554
"JONES PHYSICAL THERAPY, PC",ND,BISMARCK,7249
KIRK BLACKWOOD,ND,BISMARCK,2183
LEIDENIX PC,ND,BISMARCK,53362
LEO WANGLER,ND,BISMARCK,1910
"LINK PSYCHOLOGICAL SERVICES, PC",ND,BISMARCK,412
"MAPLE VIEW II EAST, INC",ND,BISMARCK,36256
"MARTY J. MRACHEK, OD LTD",ND,BISMARCK,28433
MAYO PHARMACY INC,ND,BISMARCK,38709
MESSER CHIROPRACTIC PC,ND,BISMARCK,3063
"METRO AREA AMBULANCE SERVICE, INC",ND,BISMARCK,97780
"MID DAKOTA CLINIC, PC",ND,BISMARCK,2233305
"MISSOURI SLOPE LUTHERAN CARE CENTER, INC.",ND,BISMARCK,1739022
MOOS FAMILY CHIROPRACTIC,ND,BISMARCK,247
NELSON FAMILY DENTISTRY GENERAL PARTNERSHIP,ND,BISMARCK,82197
"NEMECEK AND WINKLER CHIROPRACTIC, PC",ND,BISMARCK,2541
NEW FREEDOM CENTER,ND,BISMARCK,251256
NORTHERN FACIAL SURGEONS PC,ND,BISMARCK,728
NORTHERN LIGHTS OPTICAL INC,ND,BISMARCK,398
NORTHERN LIGHTS PHYSICAL THERAPY LIMITED PARTNERSHIP,ND,BISMARCK,21589
NUVATION HEALTH SERVICES PC,ND,BISMARCK,2011
"OPTIMUM THERAPIES OF NORTH DAKOTA, INC",ND,BISMARCK,16864
OTTO W. DOHM DDS MS PC,ND,BISMARCK,129965
PATCH MOVEMENT PLLC,ND,BISMARCK,3944
POPPY'S PROMISE LLC,ND,BISMARCK,10001
PRAIRIE ASSISTED LIVING SERVICES LLC,ND,BISMARCK,451
PRAIRIE SINUS EAR & ALLERGY PC,ND,BISMARCK,9949
"PRECISION EYEZ, PC",ND,BISMARCK,8793
PRECISION THERAPY PLLC,ND,BISMARCK,3614
PROFESSIONAL PHARMACY LLC,ND,BISMARCK,97507
"PROXIMAL 50, INC",ND,BISMARCK,2455
R&R CHIROPRACTIC PC,ND,BISMARCK,650
ROBERT WALTH,ND,BISMARCK,4446
RONALD MCDONALD HOUSE CHARITIES OF BISMARCK,ND,BISMARCK,4395
SANFORD GOOD SAMARITAN COMMUNITY HEALTH SERVICES LLC,ND,BISMARCK,3009051
SCHINDLER AND STEWART FAMILY DENTISTRY,ND,BISMARCK,55124
