Provider Name,State,City,Payment
COFFMAN-LEVI CHARITABLE TRUST INC,NE,ADAMS,584561
VILLAGE OF ADAMS,NE,ADAMS,1303
AINSWORTH BROWN COUNTY CARE CENTER,NE,AINSWORTH,435592
AINSWORTH VISION CLINIC PC,NE,AINSWORTH,3560
BROWN COUNTY AMBULANCE SERVICE,NE,AINSWORTH,5283
BROWN COUNTY HOSPITAL,NE,AINSWORTH,3864014
DEVINE HEALTHCARE LLC,NE,AINSWORTH,1680
PRAIRIE INVESTORS LLC,NE,AINSWORTH,20474
RANGELAND REHAB PC,NE,AINSWORTH,5344
"ALBION FAMILY CHIROPRACTIC CENTER, P.C.",NE,ALBION,8200
ALBION FAMILY DENTAL,NE,ALBION,54357
ALBION FIRE DEPARTMENT,NE,ALBION,3327
BOONE COUNTY HEALTH CENTER,NE,ALBION,4539794
COUNTY OF BOONE,NE,ALBION,3554
FRIENDLY NEIGHBOR HEALTHCARE LLC,NE,ALBION,14433
HEALTHY BACK CHIROPRACTIC LLC,NE,ALBION,1462
"KATHERINE A. KUSEK, D.D.S., P.C.",NE,ALBION,12227
PALMER EYE CARE PC,NE,ALBION,3140
CITY OF ALLEN,NE,ALLEN,423
ACCENT CHIROPRACTIC CLINIC LLC,NE,ALLIANCE,4146
"ALLIANCE CHILDREN'S & ALLIED HEALTH, INC.",NE,ALLIANCE,105
ALLIANCE COMMUNITY PHARMACY,NE,ALLIANCE,1370
"ALLIANCE FAMILY DENTAL, LLC",NE,ALLIANCE,83106
ALLIANCE FAMILY MEDICINE LLC,NE,ALLIANCE,14000
BOX BUTTE GENERAL HOSPITAL,NE,ALLIANCE,5043424
CHRISTINE KARELL,NE,ALLIANCE,4251
"CRESTON M. MYERS, OD, PC",NE,ALLIANCE,11524
ERIC MEYER MD PC,NE,ALLIANCE,593
HEALING HOPE COUNSELING LLC,NE,ALLIANCE,148
HEALTH 4 LIFE LLC,NE,ALLIANCE,1841
"HUMAN SERVICES, INC",NE,ALLIANCE,60795
KIZZIRE CHIROPRACTIC LLC,NE,ALLIANCE,1051
RENEE WALLESEN,NE,ALLIANCE,337
VSL ALLIANCE LLC,NE,ALLIANCE,607007
WILLIAM V FATTIG MD,NE,ALLIANCE,15925
ALMA CHIROPRACTIC CENTER LLC,NE,ALMA,1747
ALMA RURAL FIRE PROTECTION DISTRICT,NE,ALMA,1451
HARLAN COUNTY HEALTH SYSTEM,NE,ALMA,3710759
HAYS PHARMACY INC.,NE,ALMA,253
J. NEAL DENTAL P.C.,NE,ALMA,64804
LISA SINDELAR-OVERLEESE,NE,ALMA,9994
NEBRASKA NEUROSURGERY & SPINE CLINIC PC,NE,ALMA,11237
ANSLEY RURAL FIRE PROTECTION DIST #1,NE,ANSLEY,1008
CITY OF ARAPAHOE,NE,ARAPAHOE,1967
JOHN A TANGEMAN,NE,ARAPAHOE,37
"RYAN MARTIN CHIROPRACTIC, LLC",NE,ARAPAHOE,103
SOUTHWEST NEBRASKA PHYSICAL THERAPY PC,NE,ARAPAHOE,18000
ARCADIA FIRE & RESCUE,NE,ARCADIA,498
ARNOLD RURAL FIRE DISTRICT,NE,ARNOLD,1260
"ASHLAND PHARMACY, INC.",NE,ASHLAND,1346
BCP ASHLAND LLC,NE,ASHLAND,642928
BUNDY FAMILY DENTISTRY LLC,NE,ASHLAND,21271
CITY OF ASHLAND,NE,ASHLAND,4410
"FAMILY CHIROPRACTIC SOLUTIONS, LLC",NE,ASHLAND,502
"INSPIRING CHANGE, LLC",NE,ASHLAND,2425
JAYNE M. STICKMAN,NE,ASHLAND,2052
LOTUS PSYCHOTHERAPY LLC,NE,ASHLAND,452
