Provider Name,State,City,Payment
"BEHAVIOR CHANGE INSTITUTE, LLC",NH,ALAMOGORDO,98972
LIFESTAR EMERGENCY MEDICAL SERVICES LLC,NH,ALBANY,18229
MARTEL'S SELF CARE PRODUCTS INC,NH,ALLENSTOWN,57
TRI-TOWN FAMILY DENTAL LLC,NH,ALLENSTOWN,24212
TOWN OF ALSTEAD,NH,ALSTEAD,1492
ESTELLE BERNIER,NH,ALTON,1637
PASCAL LAVARTE,NH,ALTON,972
TOWN OF ALTON,NH,ALTON,5990
AMHERST FAMILY CHIROPRACTIC WELL,NH,AMHERST,57373
"AMHERST ORTHODONTICS, PA",NH,AMHERST,41099
"APEX PHYSICAL THERAPY & FITNESS, INC.",NH,AMHERST,7924
AZ DENTAL PLLC,NH,AMHERST,146673
"BERNARD W. ANG,DMD,PC",NH,AMHERST,218686
CHILDREN'S DENTAL CENTER OF H,NH,AMHERST,56909
COLEMAN FAMILY DENTAL CARE PLLC,NH,AMHERST,98402
DONNA FLANAGAN SOUSA,NH,AMHERST,732
DR. JENNIFER MADDEN'S FAMILY PRACTICE PLLC,NH,AMHERST,1889
"ELISE M. BON-RUDIN, ED. D.",NH,AMHERST,941
GREGORY MCNAMARA,NH,AMHERST,20131
JOSEPH CARIELLO DDS LLC,NH,AMHERST,117732
JUDE CURRIER,NH,AMHERST,522
KAPLAN CHIROPRACTIC INC,NH,AMHERST,2913
KENNETH G EDWARDS,NH,AMHERST,13694
"KRISLAN OF NEW ENGLAND, LLC",NH,AMHERST,45
LETITIA STEWART,NH,AMHERST,269
LORETTA GUZZI,NH,AMHERST,1468
MARGARET BUFF,NH,AMHERST,979
"NORTHEAST COUNSELING AND COACHING, INC.",NH,AMHERST,1582
OAK PHYSICAL THERAPY LLC,NH,AMHERST,393
ORTHODONTICS TOO,NH,AMHERST,22272
PSYCHOLOGICAL RESOURCE CONSULTANTS,NH,AMHERST,5136
RALPH NATALE,NH,AMHERST,330
ROBERT KALADISH,NH,AMHERST,1019
SUSAN NYKAMP,NH,AMHERST,1484
TIME WELL SPENT COUNSELING LLC,NH,AMHERST,687
TOWN OF AMHERST,NH,AMHERST,10067
"WRIGHT & ASSOCIATES FAMILY HEALTHCARE, PLLC",NH,AMHERST,29538
DAN BEZON,NH,ANDOVER,2639
DIANE FOWLER,NH,ANDOVER,4006
"G.A. PERRY, D.D.S., PROFESSIONAL ASSOCIATION",NH,ANTRIM,42933
TOWN OF ANTRIM,NH,ANTRIM,4383
TOWN OF ASHLAND,NH,ASHLAND,160
"COMMUNITY CROSSROADS, INC.",NH,ATKINSON,615278
PINNACLE PERSONALIZED HEALTHCARE PLLC,NH,ATKINSON,7329
ROCKINGHAM FAMILY HEALTHCARE COLLABORATIVE INC.,NH,ATKINSON,272
ACCESS AMBULATORY SURGERY CENTER LLC,NH,AUBURN,6726
"AUBURN FAMILY DENTISTRY, P.L.L.C.",NH,AUBURN,34324
TOWN OF BARNSTEAD,NH,BARNSTEAD,4397
"APPLEWOOD FAMILY DENTISTRY, LLC",NH,BARRINGTON,225469
BARRINGTON FAMILY EYECARE PC,NH,BARRINGTON,5896
BARRINGTON PHYSICAL THERAPY LLC,NH,BARRINGTON,462
"BARRINGTON SURGICAL CARE, LLC",NH,BARRINGTON,122892
BARTLETT CHIROPRACTIC PLLC,NH,BARRINGTON,1113
GRANITE DENTAL GROUP OF BARRINGTON,NH,BARRINGTON,34544
HOLLY ZIRKLE,NH,BARRINGTON,502
MEREDITH J BLOM,NH,BARRINGTON,1203
"NORTHEAST MEDICAL CONSULTANTS, PC",NH,BARRINGTON,381944
TOWN OF BARRINGTON,NH,BARRINGTON,3998
360 SHS,NH,BEDFORD,461430
"AITC PHYSICAL THERAPY, PLLC",NH,BEDFORD,2255
ALLAIN PHYSICAL THERAPY LLC,NH,BEDFORD,5909
AMY MERCIER,NH,BEDFORD,89
ANNA PETRELLA,NH,BEDFORD,2171
ASSOCIATES IN PODIATRY,NH,BEDFORD,74831
BEDFORD AL OPERATOR LLC,NH,BEDFORD,752030
BEDFORD AMBULATORY SURGICAL CENTER LLC,NH,BEDFORD,501942
BEDFORD CENTER FOR PROSTHODONTICS,NH,BEDFORD,37380
"BEDFORD COMMONS OB-GYN, PA",NH,BEDFORD,216054
BEDFORD COMMONS PERIODONTICS PA,NH,BEDFORD,33064
BEDFORD DENTAL CENTER PC,NH,BEDFORD,95522
BEDFORD FAMILY THERAPY LLC,NH,BEDFORD,8758
BEDFORD INTERNAL MEDICINE PA,NH,BEDFORD,4720
BEDFORD NURSING &AMP; REHAB,NH,BEDFORD,704102
BEDFORD PODIATRY GROUP PC,NH,BEDFORD,11713
BEDFORD VILLAGE DENTAL PLLC,NH,BEDFORD,19793
BEDFORD WOMEN'S CARE ASSOCIATES PA,NH,BEDFORD,200842
BOYD/STEINER DMD PC,NH,BEDFORD,15222
"COUNSELING ASSOCIATES OF MA & NH, LLC",NH,BEDFORD,2933
"DESIRED CARE CHIROPRACTIC, PLLC",NH,BEDFORD,802
DIANA COLLINS,NH,BEDFORD,439
DINA SOLOMON,NH,BEDFORD,1212
DR NANCY WOLF,NH,BEDFORD,68907
DR SULS FAMILY & SPORTS MEDICINE,NH,BEDFORD,5518
"FAMILY PHYSICAL THERAPY SERVICES, INC.",NH,BEDFORD,56346
FOX REHAB NH LLC,NH,BEDFORD,155506
GRANITE STATE PODIATRY ASSOCIATES PA,NH,BEDFORD,39116
"JAMES N ROY, DMD, PLLC",NH,BEDFORD,57120
JAYAKUMAR PATIL,NH,BEDFORD,3790
JO-ANNE JOHNSON DMD FAMILY DENTISTRY PLLC,NH,BEDFORD,21867
JOHN AVARD,NH,BEDFORD,3517
JOHN BOYDEN,NH,BEDFORD,1580
JOHN R. HERRIN,NH,BEDFORD,84833
KATHLEEN CORKERY,NH,BEDFORD,167
KRISTEN E HARVEY DDS LLC,NH,BEDFORD,22989
"LAMORA PSYCHOLOGICAL ASSOCIATES, P.A.",NH,BEDFORD,7441
LEIGH BRYANT,NH,BEDFORD,993
"LEWIS PHYSICAL MEDICINE ASSOCIATES, PA",NH,BEDFORD,23799
LIFE CHOICE HOSPICE OF NEW HAMPSHIRE II LLC,NH,BEDFORD,274187
LIFE LINE COMMUNITY HEALTHCARE NEW JERSEY LLC,NH,BEDFORD,41069
"LINDNER DENTAL ASSOCIATES, P.C.",NH,BEDFORD,493016
"MACKAY VISION CENTER, LLC",NH,BEDFORD,209628
MERCIER WELLNESS COUNSELING SERVICES LLC,NH,BEDFORD,1452
"MERRIMACK VALLEY PHYSICAL THERAPY, LLC",NH,BEDFORD,40099
"MILESTONES PEDIATRIC THERAPY CENTER, LLC",NH,BEDFORD,13822
"MINIMALLY INVASIVE SURGERY CENTER OF N.E., LLC",NH,BEDFORD,185300
NATASHA HAUGHTON COUNSELING SERVICES LLC,NH,BEDFORD,768
NEW HAMPSHIRE NEUROSPINE INSTITUTE,NH,BEDFORD,939582
NICHOLAS C RIZOS DMD PLLC,NH,BEDFORD,105941
NORTHEAST LIFESTYLE MEDICINE LLC,NH,BEDFORD,1018
"NORTHEAST MOBILE DENTAL SERVICE, PLLC",NH,BEDFORD,14768
OWOC PHYSICAL THERAPY & ASSOCIATES LLC,NH,BEDFORD,1082
PALLIATIVITY MEDICAL GROUP LLC,NH,BEDFORD,5460
RADIATION ONCOLOGY ASSOCIATES PA,NH,BEDFORD,772339
RAY HUMPHREY DC PLLC,NH,BEDFORD,4028
"REBEKAH TURNER REDDEL APRN, LLC",NH,BEDFORD,343
RETINA VISION CENTER LLC,NH,BEDFORD,70386
RIVER ROAD DENTAL ASSOCIATES LLC,NH,BEDFORD,23511
"RIVER ROAD PEDIATRIDS, PLLC",NH,BEDFORD,37358
ROBERT GODDARD,NH,BEDFORD,1767
ROTHWANGL DENTAL CARE PLLC,NH,BEDFORD,284258
"SOUTHERN NEW HAMPSHIRE RADIOLOGY CONSULTANTS, PC",NH,BEDFORD,305171
"STERLING PLASTIC SURGERY, PLLC",NH,BEDFORD,26082
STEVEN BROWN,NH,BEDFORD,4133
THE CENTER FOR EATING DISORDERS MANAGEMENT INC,NH,BEDFORD,3179
"TOWN OF BEDFORD, NH",NH,BEDFORD,52129
TRACEY COULON LICSW,NH,BEDFORD,933
"WELLBRIDGE PHYSICAL THERAPY, LLC",NH,BEDFORD,106843
WELLSPRING DENTAL OF BEDFORD LLC,NH,BEDFORD,131844
"BAHDER BEHAVIORAL SERVICES, LLC",NH,BELMONT,25951
BELMONT FAMILY DENTAL CENTER PLLC,NH,BELMONT,17063
"INFOCUS EYECARE, INC",NH,BELMONT,17944
RAYMOND TROTTIER,NH,BELMONT,287
"SHARON E JOHNSON, DMD",NH,BELMONT,10059
TOWN OF BELMONT,NH,BELMONT,9590
"ANDROSCOGGIN VALLEY HOSPITAL, INC",NH,BERLIN,5710982
BARBARA COMAN,NH,BERLIN,94
BERLIN EMERGENCY MEDICAL SERVICES INC,NH,BERLIN,33999
BEYOND THERAPY LLC,NH,BERLIN,207
"COOS COUNTY FAMILY HEALTH CENTER, INC.",NH,BERLIN,1007174
COOS COUNTY NURSING HOME,NH,BERLIN,823138
ELIZABETH HESS,NH,BERLIN,3609
LAURA BROWN,NH,BERLIN,1575
LAURIE BRODEUR,NH,BERLIN,50
