Provider Name,State,City,Payment
ABBA MEDICAL TRANSPORTATION,NJ,ABERDEEN,346001
"ABERDEEN FAMILY DENTAL, P.A.",NJ,ABERDEEN,186216
ADLER FAMILY DENTAL LLC,NJ,ABERDEEN,29821
BAYSHORE EMS INC,NJ,ABERDEEN,2350
FRIENDLY DENTAL NJ LLC,NJ,ABERDEEN,290504
GERALD BLUMBERG PA,NJ,ABERDEEN,1084
GUIRGUIS MEDICAL CARE LLC,NJ,ABERDEEN,7396
IN MOTION PHYSICAL THERAPY AND WELLNESS LLC,NJ,ABERDEEN,3714
JOHN LACOGNATA,NJ,ABERDEEN,933
PLATINUM COUNSELING LLC,NJ,ABERDEEN,79650
SPINE & SPORTS MEDICINE OF ABERDEEN LLC,NJ,ABERDEEN,29630
TRACY HOOD,NJ,ABERDEEN,975
WILLIAM MOSKOWITZ DDS,NJ,ABERDEEN,112122
ABSECON EMERGENCY SERVICES INC.,NJ,ABSECON,10504
"ABSECON FAMILY DENTAL, P.A.",NJ,ABSECON,299910
ABSECON MANOR NURSING HOME ASSOCS,NJ,ABSECON,56919
"ADVANCED CARE OBGYN, LLC",NJ,ABSECON,75608
AMERIWOUND PHYSICIANS NJ LLC,NJ,ABSECON,348
DIEGO M FIORENTINO DO FACP LLC,NJ,ABSECON,13172
HEARSAY ENT DOCS LLC,NJ,ABSECON,19226
JEFFREY GONG,NJ,ABSECON,7384
MICHAEL A TODD OD AND ASSOCIATES,NJ,ABSECON,1386
MICHAEL P. COMBS DDS PA,NJ,ABSECON,129020
PREMIER HEALTHCARE,NJ,ABSECON,12964
RITA R KAMMIEL MD,NJ,ABSECON,10966
ROBERT LIPSHUTZ,NJ,ABSECON,11350
SHORELINE ENDOCRINE & MEDICAL ASSOCIATES PC,NJ,ABSECON,31466
STUANT A SACKSTEIN MD PA,NJ,ABSECON,10564
TAYLOR MEDICAL & SURGICAL SERVICES LLC,NJ,ABSECON,218
VILLAGE FAMILY CHIROPRACTIC LLC,NJ,ALLAMUCHY,29517
ALLENDALE DENTAL,NJ,ALLENDALE,241158
ALLENDALE FAMILY & COSMETIC DENTISTRY PA,NJ,ALLENDALE,60540
ALLENDALE NURSING HOME INC,NJ,ALLENDALE,1280906
ANYWAY MEDICAL TRANSPORTATION INC,NJ,ALLENDALE,11620
COMMUNITY CHIROPRACTIC CENTER LLC,NJ,ALLENDALE,424
EDWARD LEVY,NJ,ALLENDALE,5403
EDWARD R LEVY OD,NJ,ALLENDALE,99
