Provider Name,State,City,Payment
"ACCESS HOME HEALTH, LLC",NM,ALAMOGORDO,114381
ACP PHARMACY LLC,NM,ALAMOGORDO,138
ALAMOGORDO CLINIC LTD,NM,ALAMOGORDO,1442
"ALAMOGORDO COUNSELING ASSOCIATES, LLC",NM,ALAMOGORDO,585
ALAMOGORDO EAR NOSE & THROAT - FACIAL PLASTIC SURGERY PC,NM,ALAMOGORDO,30827
"ALAMOGORDO HOME HEALTH CARE AND HOSPICE INC,",NM,ALAMOGORDO,309890
ALAMOGORDO IMAGING CENTER LLC,NM,ALAMOGORDO,40615
"ALAMOGORDO INTERNAL MEDICINE,PC",NM,ALAMOGORDO,38017
ALAMOGORDO PHYSICAL THERAPY & WELLNESS CENTER,NM,ALAMOGORDO,65101
AMP AUDIOLOGY LLC,NM,ALAMOGORDO,34694
"BACK IN ACTION THERAPY, LLC",NM,ALAMOGORDO,55280
BIG TREE PARTNERS LLC,NM,ALAMOGORDO,2532
BLUE SKY COUNSELING ASSOCIATES,NM,ALAMOGORDO,1376
"CASA ARENA BLANCA, LLC",NM,ALAMOGORDO,800761
DAN MOEZZI MD PC,NM,ALAMOGORDO,26691
DONALD MITCHELL,NM,ALAMOGORDO,4972
FILLMORE EYE CLINIC INC,NM,ALAMOGORDO,308145
FREDERICK S UTTER MHS CRNA PC,NM,ALAMOGORDO,2018
GALLIEN INC,NM,ALAMOGORDO,24451
INTEGRATED HEALTH SERVICES AT JEFFERSON HOSPITAL INC,NM,ALAMOGORDO,26169
JOE EHLER AND ASSOCIATES PLLC,NM,ALAMOGORDO,3273
JOSEPH A SNYDER DDS PC,NM,ALAMOGORDO,53035
"LAROCQUE COUNSELING AND ASSOCIATES, LLC",NM,ALAMOGORDO,527
MICHELLE YANG MD PC INC,NM,ALAMOGORDO,34687
MOUNTAIN VIEW DENTAL & ORTHODONTICS,NM,ALAMOGORDO,13358
NEW MEXICO BRAIN INSTITUTE INC,NM,ALAMOGORDO,11130
OPEN MINDS LLC,NM,ALAMOGORDO,1540
OTERO COUNTY HOSPITAL ASSOCIATION,NM,ALAMOGORDO,9798216
PAY AND SAVE INC,NM,ALAMOGORDO,557
PHILLIPS CHIROPRACTIC PC,NM,ALAMOGORDO,1509
"PRECURE CHIROPRACTIC CLINIC, PC",NM,ALAMOGORDO,44863
"PRECURE INVESTMENTS, LLC",NM,ALAMOGORDO,23237
RAIL JUNCTION EMERGENCY PHYSICIANS LLC,NM,ALAMOGORDO,40656
ROBERT C SMALTZ,NM,ALAMOGORDO,21958
ROBERTO MOLINA,NM,ALAMOGORDO,230
ROBIN DAVIS,NM,ALAMOGORDO,349
"SAMUEL G. HAMMEL, D.C.",NM,ALAMOGORDO,596
SCENIC DRIVE INPATIENT SERVICES LLC,NM,ALAMOGORDO,47727
SKY VIEW DENTAL LLC,NM,ALAMOGORDO,6932
SOUTHERN NEW MEXICO SURGERY CENTER LLC,NM,ALAMOGORDO,1175115
SOUTHWESTERN CARDIAC ARRHYTHMIA INSTITUTE PA,NM,ALAMOGORDO,27402
SUNGHO JUN MD PC INC,NM,ALAMOGORDO,8051
TERRY T MARQUARDT,NM,ALAMOGORDO,5966
TODAY'S DENTAL CARE LLC,NM,ALAMOGORDO,76664
VDEX DIABETES NM-BROWN,NM,ALAMOGORDO,971
W J KAFKA MD ANESTHESIOLOGY LLC,NM,ALAMOGORDO,337
"WHITE SANDS FAMILY PRACTICE CLINIC, INC",NM,ALAMOGORDO,5268
"ZIA THERAPY CENTER, INC.",NM,ALAMOGORDO,101609
MARY ELLEN AGOLIA,NM,ALANOGORDO,337
A BETTER SMILE DENTISTRY,NM,ALBQUEURQUE,67683
DENTAMAX DENTAL SERVICES LLC,NM,ALBQUQUERQUE,40916
ALBUQUERQUE HEALTH CARE FOR THE HOMELESS INC,NM,ALBUAUERAUE,31364
CORAZON TRAINING CONSULTING,NM,ALBUQERQUE,1925
JOANNE G EEKHOFF DBA YOUR HOME,NM,ALBUQERQUE,1899
"DISCOVERING GREATNESS, LLC",NM,ALBUQUEQUE,6109
505 FOOT CARE LLC,NM,ALBUQUERQUE,8365
A LOVE FOR LIFE LLC,NM,ALBUQUERQUE,6603
"A MEANINGFUL DAY, INC.",NM,ALBUQUERQUE,40321
A TO Z CHILDREN'S DENTISTRY - WESTSIDE,NM,ALBUQUERQUE,47396
A. BURTON MELTON DDS,NM,ALBUQUERQUE,45088
AAAHH CHIROSPA LLC,NM,ALBUQUERQUE,9294
"ABILITY FIRST, LLC",NM,ALBUQUERQUE,135206
"ABQ DENTAL ASSOCIATES, LLC",NM,ALBUQUERQUE,20153
ABQ DENTISTS PC,NM,ALBUQUERQUE,60976
ABQ EYE CARE PC,NM,ALBUQUERQUE,15455
"ACADEMY ORTHOPAEDIC CLINIC, LLC",NM,ALBUQUERQUE,44608
ACCENT ON VISION ALBUQUERQUE LLC,NM,ALBUQUERQUE,1045
"ACCENT ON VISION EAST, LLC",NM,ALBUQUERQUE,14999
"ACCIDENT BACK & NECK CARE CENTER, INC",NM,ALBUQUERQUE,6175
ACTIVE LIFE INC,NM,ALBUQUERQUE,192631
ACTIVE LIFE ORTHOTICS AND PROSTHETICS CORP.,NM,ALBUQUERQUE,40333
ACTIVE SOLUTIONS THERAPY SERV INC,NM,ALBUQUERQUE,13828
ADELANTE DEVELOPMENT CENTER INC,NM,ALBUQUERQUE,181024
ADLER MEDICAL LLC,NM,ALBUQUERQUE,1960
ADVANCED ALLERGY ASSOCIATES OF NEW MEXICO INC.,NM,ALBUQUERQUE,31790
"ADVANCED DIABETES CARE, LLC.",NM,ALBUQUERQUE,1648
"ADVANCED IMAGING, LLC",NM,ALBUQUERQUE,440973
ADVANTAGE DENTAL CARE LLC,NM,ALBUQUERQUE,66481
"ADVANTAGE HOME CARE, INC",NM,ALBUQUERQUE,583561
AFTER HOURS PEDIATRICS PC,NM,ALBUQUERQUE,246185
"AGE TO AGE COUNSELING, PC",NM,ALBUQUERQUE,11165
AHC HOME HEALTH OF NEW MEXICO LLC,NM,ALBUQUERQUE,97213
ALAMEDA ACUTE CARE CLINIC AND FAMILY MEDICINE LLC,NM,ALBUQUERQUE,2938
ALAMO CARE LLC,NM,ALBUQUERQUE,3833
ALBUQUERQUE AMBULATORY EYE SURGERY CENTER,NM,ALBUQUERQUE,497855
ALBUQUERQUE ASSOCIATED PODIATRISTS,NM,ALBUQUERQUE,59547
ALBUQUERQUE ASSOCIATES OF OPTOMETRY,NM,ALBUQUERQUE,120637
ALBUQUERQUE CENTER FOR RHEUMATOLOGY PC,NM,ALBUQUERQUE,369343
"ALBUQUERQUE COLLABORATIVE THERAPEUTICS, INC.",NM,ALBUQUERQUE,25
ALBUQUERQUE COMPLETE SENIOR CARE LLC,NM,ALBUQUERQUE,3177
"ALBUQUERQUE DERMATOLOGY ASSOCIATES, PA",NM,ALBUQUERQUE,127941
ALBUQUERQUE EYE PROSTHETICS INC,NM,ALBUQUERQUE,4315
ALBUQUERQUE IHS DENTAL CLINIC,NM,ALBUQUERQUE,1873054
"ALBUQUERQUE IMPLANT & PERIODONTAL CONSULTANTS, LLC",NM,ALBUQUERQUE,35899
ALBUQUERQUE INDIAN HEALTH CENTER,NM,ALBUQUERQUE,6432979
"ALBUQUERQUE NEPHROLOGY ASSOCIATES, LLC",NM,ALBUQUERQUE,13544
ALBUQUERQUE OPERATING COMPANY LLC,NM,ALBUQUERQUE,216672
"ALBUQUERQUE OPERATIONS, LLC",NM,ALBUQUERQUE,600892
"ALBUQUERQUE PHYSICAL THERAPISTS, P.C.",NM,ALBUQUERQUE,21125
ALBUQUERQUE SPEECH LANGUAGE AND HEARING CENTER,NM,ALBUQUERQUE,1480
ALBUQUERQUE UPTOWN ASSISTED LIVING,NM,ALBUQUERQUE,13784
ALBUQUERQUE URGENT CARE WALK IN CLINIC PC,NM,ALBUQUERQUE,4920
ALBUQUERQUE VEIN AND LASER INSTITUTE,NM,ALBUQUERQUE,135447
"ALBUQUERQUE VISION CLINIC, LLC",NM,ALBUQUERQUE,448843
"ALBUQUERQUE- AMG SPECIALTY HOSPITAL, LLC",NM,ALBUQUERQUE,393153
ALGIRDAS FEDORAVICIUS,NM,ALBUQUERQUE,630
ALICIA A ABEYTA DDS LLC,NM,ALBUQUERQUE,19436
ALLERGY AND ASTHMA CARE INC.,NM,ALBUQUERQUE,10319
"ALLISON BENTON GOSS, LLC",NM,ALBUQUERQUE,412
ALTA MIRA SPECIALIZED FAMILY SERVICES,NM,ALBUQUERQUE,184357
AMANDA WILDER,NM,ALBUQUERQUE,345
AMY STEVENSON,NM,ALBUQUERQUE,1952
ANESTHESIA ASSOCIATES OF NEW MEXICO P C,NM,ALBUQUERQUE,693763
ANGEL WINGS HOME CARE LLC,NM,ALBUQUERQUE,2636
ANITA SLOAN-GARCIA,NM,ALBUQUERQUE,811
ANN YEAGER,NM,ALBUQUERQUE,1042
ANNE K HEMPSTEAD DDS PC,NM,ALBUQUERQUE,31513
ANNE ROSE,NM,ALBUQUERQUE,608
"ANSUMANA GEBEH MD, PA",NM,ALBUQUERQUE,1266
ARCA,NM,ALBUQUERQUE,539385
ARMADA HOSPICE OF NEW MEXICO LLC,NM,ALBUQUERQUE,241520
ARMADA SKILLED HOMECARE OF NEW MEXICO LLC,NM,ALBUQUERQUE,250542
ARMAND GIANNINI JR DDS PC,NM,ALBUQUERQUE,95535
ARRIVIST LLC,NM,ALBUQUERQUE,3334
"ASPEN CARE, INC.",NM,ALBUQUERQUE,6287
ASSOCIATES OF VASCULAR & INTERPRETATION LLC,NM,ALBUQUERQUE,2375
"ATLAS ORTHOGONAL CHIROPRACTIC OF ALBUQUERQUE, LLC",NM,ALBUQUERQUE,7452
AURORA COUNSELING & MENTAL HEALTH,NM,ALBUQUERQUE,108
AUTISM SPECIALISTS LLC,NM,ALBUQUERQUE,10009
AVD HEALTHCARE LLC,NM,ALBUQUERQUE,375
B & B CHIROPRACTIC,NM,ALBUQUERQUE,793
BALANCED PHYSICAL THERAPY AND WELLNESS LLC,NM,ALBUQUERQUE,20709
BARBARA BROWN,NM,ALBUQUERQUE,1035
BARBARA KOLTUSKA PH.D. PC,NM,ALBUQUERQUE,1613
BARBARA LEVITON,NM,ALBUQUERQUE,1593
BEAR CANYON HEALTH CIRCLE,NM,ALBUQUERQUE,675
"BEAR CANYON ORAL & FACIAL SURGERY, P.C.",NM,ALBUQUERQUE,26757
"BEAR CANYON PERIODONTICS, LLC",NM,ALBUQUERQUE,24779
BEBE CARE LTD,NM,ALBUQUERQUE,18568
BEE SPICE LLC,NM,ALBUQUERQUE,6601
BEEHIVE 7 LLC,NM,ALBUQUERQUE,5013
BEEHIVE OF PORTALES LLC,NM,ALBUQUERQUE,3042
BEHAVIORAL HEALTH SERVICES OF NEW MEXICO LLC,NM,ALBUQUERQUE,1545891
BERNALILLO COUNTY HEALTHCARE CORP. DBA ALBUQUERQUE AMBULANCE,NM,ALBUQUERQUE,4790817
BERNALILLO HIVE 2 LLC,NM,ALBUQUERQUE,3088
BERNALILLO HIVE LLC,NM,ALBUQUERQUE,3592
BEST SMILES TWO LLC,NM,ALBUQUERQUE,118678
BETH ROTH,NM,ALBUQUERQUE,750
BETSY J DAVIS PH D PC,NM,ALBUQUERQUE,971
"BETTER SLEEP CENTER, LLC",NM,ALBUQUERQUE,738
BEVERLY NOMBERG,NM,ALBUQUERQUE,761
"BEYOND IDEAS COUNSELING, LLC",NM,ALBUQUERQUE,1148
BEYONDFAITH HOMECARE & REHAB OF ALBUQUERQUE LLC,NM,ALBUQUERQUE,214677
BH GALLUP 1 LLC,NM,ALBUQUERQUE,6669
BHALACHANDRA KULKARNI,NM,ALBUQUERQUE,4524
BHH OPERATIONS OF TEXAS 1 LLC,NM,ALBUQUERQUE,4123
BHH OPERATIONS OF TEXAS 2 LLC,NM,ALBUQUERQUE,2245
BHH OPERATIONS OF TEXAS 3 LLC,NM,ALBUQUERQUE,1295
BIRGITTA GABEL,NM,ALBUQUERQUE,221
BLUE J'S MANAGEMENT LLC,NM,ALBUQUERQUE,4090
BLUE SAGE COUNSELING AND PSYCHOTHERAPY LLC,NM,ALBUQUERQUE,1026
BLUE WHALE INC,NM,ALBUQUERQUE,128
BOSQUE INTERNAL MEDICINE LLC,NM,ALBUQUERQUE,5714
"BOSQUE MENTAL HEALTH ASSOCIATES, INC",NM,ALBUQUERQUE,6395
"BOSQUE SMILES DENTISTRY, LLC",NM,ALBUQUERQUE,33076
BOSQUE WOMEN'S CARE PC,NM,ALBUQUERQUE,26170
BOWERS AND OKI FAMILY DENTISTRY,NM,ALBUQUERQUE,23508
BRADFORD C. RICHARDS,NM,ALBUQUERQUE,5923
"BRAIN AND BEHAVIORAL ASSOCIATES, PC",NM,ALBUQUERQUE,5635
BRIAN K DENNIS DDS PC,NM,ALBUQUERQUE,15899
BUICK MOOMCHI,NM,ALBUQUERQUE,222
C & M THERAPIES INC.,NM,ALBUQUERQUE,409
C CURRY INC,NM,ALBUQUERQUE,420
"C ENTERPRISES, LLC",NM,ALBUQUERQUE,8838
CALMAR INC DBA A &AMP; R MEDICAL SUPPLY,NM,ALBUQUERQUE,125282
CARE HIVE LLC,NM,ALBUQUERQUE,3111
CARE HOMES NM LLC,NM,ALBUQUERQUE,30811
CAREFIRST OF NM INC,NM,ALBUQUERQUE,10185
"CAREFREE LIVING, INC.",NM,ALBUQUERQUE,30653
CARLOS J ESPARZA MD PC,NM,ALBUQUERQUE,23392
CARMEN BROWN LLC,NM,ALBUQUERQUE,1287
CARMEN RODRIGUEZ,NM,ALBUQUERQUE,2821
CAROL NEWTON,NM,ALBUQUERQUE,115
"CARROLL HAND THERAPY, INC.",NM,ALBUQUERQUE,19085
"CASA DE ROSA LEASING, LLC",NM,ALBUQUERQUE,28928
"CASA SAN PABLO, LLC",NM,ALBUQUERQUE,4060
"CASCADE RADIOLOGY CONSULTANTS, INC. P.S.",NM,ALBUQUERQUE,1213
CASEY OPTICAL TOO LLC,NM,ALBUQUERQUE,124754
CDB RIO BRAVO LLC,NM,ALBUQUERQUE,57289
CELEBRACES NM LLC,NM,ALBUQUERQUE,43805
CELESTE FRANK PHD PC,NM,ALBUQUERQUE,873
CHARLES MCGREEVY,NM,ALBUQUERQUE,1324
CHELSEA GONZALES DDS LLC,NM,ALBUQUERQUE,44717
CHEST MEDICINE OF NEW MEXICO PC,NM,ALBUQUERQUE,20864
CHIROPRACTIC LIFESTYLE CENTER PC,NM,ALBUQUERQUE,1230
"CHRIS Y. KIM, D.D.S. L.L.C.",NM,ALBUQUERQUE,217487
"CHRISTIAN COUNSELING PROFESSIONALS, INC.",NM,ALBUQUERQUE,2024
CHRISTINE A FILA LCSW LLC,NM,ALBUQUERQUE,209
CHRISTINE M KNIFFEN OD LLC,NM,ALBUQUERQUE,38627
CHRISTINE MUEHLENWEG,NM,ALBUQUERQUE,1064
"CHRISTOPHER ROVETO, MD",NM,ALBUQUERQUE,16478
CITY OF ALBUQUERQUE,NM,ALBUQUERQUE,2853
CLAIRE KYLLO,NM,ALBUQUERQUE,294
CLAIRE WILCOX MD LLC,NM,ALBUQUERQUE,18
CLEARLINK SKIN AND MEDICAL,NM,ALBUQUERQUE,267
"CLEM FAMILY DENTISTRY, P.C.",NM,ALBUQUERQUE,61878
CLITEPIC LLC,NM,ALBUQUERQUE,99
CLOVIS HIVE LLC,NM,ALBUQUERQUE,3395
COMFORT DENTAL OF CORONADO,NM,ALBUQUERQUE,69525
COMFORTABLE DENTISTRY 4U,NM,ALBUQUERQUE,105442
"COMFORTABLE DENTISTRY 4U - RIO RANCHO, LLC",NM,ALBUQUERQUE,23393
"COMPASSIONATE COUNSELING PSYCHOTHERAPY SERVICE, LLC",NM,ALBUQUERQUE,351
CONCEPCION ACOSTA,NM,ALBUQUERQUE,2803
"CONTACT LENS ASSOCIATES, LLC",NM,ALBUQUERQUE,1701
COPPER KEY PSYCHOLOGY LLC,NM,ALBUQUERQUE,27
CORIZ DENTAL LLC,NM,ALBUQUERQUE,58322
COSMETIC & NATURAL DENTISTRY PC,NM,ALBUQUERQUE,23759
"COTTONWOOD COUNSELING, LLC",NM,ALBUQUERQUE,4266
COTTONWOOD DENTAL LLC,NM,ALBUQUERQUE,105668
COTTONWOOD FAMILY MEDICINE,NM,ALBUQUERQUE,20428
COTTONWOOD ORAL SURGERY,NM,ALBUQUERQUE,347112
COTTONWOOD PARK DENTISTRY LLC,NM,ALBUQUERQUE,94407
COTTONWOOD VISION CARE,NM,ALBUQUERQUE,3586
COUNSELING ABQ,NM,ALBUQUERQUE,236
CSI AVIATION INC,NM,ALBUQUERQUE,223909
CUBERO DENTAL ASSOCIATES,NM,ALBUQUERQUE,20019
CYNTHIA SONTAG,NM,ALBUQUERQUE,7769
