Provider Name,State,City,Payment
PAHRANAGAT VALLEY VOLUNTEER FIRE DEPARTMENT AMBULANCE RESCUE SERVIC,NV,ALAMO,828
BATTLE MOUNTAIN GENERAL HOSPITAL,NV,BATTLE MOUNTAIN,3900923
MCGINNIS MICA MEDICAL PC,NV,BEEATTY,50
"BOULDER CITY HOSPITAL, INC.",NV,BOULDER,5418059
AADEE MIZRACHI,NV,BOULDER CITY,7142
BOULDER CITY NEVADA,NV,BOULDER CITY,17523
BOULDER PRIMARY CARE INC.,NV,BOULDER CITY,13044
CHERYL BOYER,NV,BOULDER CITY,549
HERVE BEZARD MD LTD,NV,BOULDER CITY,22896
JIM CHIANG MD LLC,NV,BOULDER CITY,37413
JU DDS PROFESSIONAL CORPORATION,NV,BOULDER CITY,21202
KATHERINE JENSEN,NV,BOULDER CITY,1073
LEAVITT MEDICAL ASSOCIATES OF NEVADA PC,NV,BOULDER CITY,110877
OPEN ARMS COUNSELING LLC,NV,BOULDER CITY,12306
ROBERT B STRIMLING MD & ASSOCIATES LLC,NV,BOULDER CITY,161577
WARREN L SMITH LTD,NV,BOULDER CITY,60572
INVISION EYE CENTER,NV,CALIENTE,15176
JOLLYS DRUG STORE LLC,NV,CALIENTE,1474
LINCOLN COUNTY HOSPITAL DISTRICT,NV,CALIENTE,2689384
TRUMAN THERAPY INC,NV,CALIENTE,6010
CITY OF CARLIN,NV,CARLIN,693
"BAUERLE SYNDERGAARD PERIODONTICS, PLLC",NV,CARSON,90712
ACTIVE CHIROPRACTIC HEALTH AND WELLNESS CENTER,NV,CARSON CITY,5801
"ADVANCED SIERRA EYECARE, INC.",NV,CARSON CITY,13782
"AIMEE N. SNELL, DDS, MS, P.C.",NV,CARSON CITY,19229
ANDREA K WEED D O PROFESSIONAL CORPORATION,NV,CARSON CITY,5875
ANDREW DRYMALSKI,NV,CARSON CITY,4767
ASHLAND ASSISTED LIVING LLC,NV,CARSON CITY,60719
B BOTTENBERG D O PRFSNL CORP,NV,CARSON CITY,5755
BEAN CENTER FOR FOOT SURGERY INC,NV,CARSON CITY,5379
BRUCE E MULLEN A PROFESSIONAL CORPORATION,NV,CARSON CITY,29991
CAPITAL CITY DENTAL,NV,CARSON CITY,46222
CAPITOL UROLOGY INC,NV,CARSON CITY,22695
CAROL J AALBERS PHD LLC,NV,CARSON CITY,1121
CARSON CHIROPRACTIC CENTER,NV,CARSON CITY,4985
CARSON CITY COMMUNITY COUNSELING CENTER,NV,CARSON CITY,27890
CARSON CITY SNF VENTURES LLC,NV,CARSON CITY,682761
CARSON MEDICAL GROUP PROFESSIONAL CORPORATION,NV,CARSON CITY,578078
CARSON PHARMACY LLC  DBA DAHL'S SPECIALTY PHARMACY OF CARSON,NV,CARSON CITY,36941
"CARSON PHYSICAL THERAPY, INC.",NV,CARSON CITY,14190
CARSON TAHOE CONTINUING CARE HOSPITAL,NV,CARSON CITY,279694
CARSON TAHOE ENDOCRINOLOGY LLC,NV,CARSON CITY,4413
CARSON TAHOE PHYSICIAN CLINICS,NV,CARSON CITY,841599
CARSON TAHOE RADIATION ONCOLOGY,NV,CARSON CITY,184983
CARSON TAHOE REGIONAL HEALTHCARE,NV,CARSON CITY,15193956
CARSON VALLEY SENIOR LIVING LLC,NV,CARSON CITY,179911
CARSON-TAHOE EMERGENCY PHYSICIANS,NV,CARSON CITY,1280069
CARSON-TAHOE PATHOLOGY DRS JACK & DOBERNECK LTD,NV,CARSON CITY,22155
CASEY DYE,NV,CARSON CITY,156
CCPD LLC,NV,CARSON CITY,39446
CENTER FOR ADVANCED EYE CARE,NV,CARSON CITY,644028
CHRISTOPHER DEGRAFF,NV,CARSON CITY,2146
"CLEMMENSEN, ADAMS, & TACK PSC",NV,CARSON CITY,242000
"CRS DENTAL, LLC",NV,CARSON CITY,40118
DUPANOVIC DDS PLLC,NV,CARSON CITY,82575
DWARAKANATH VUPPALAPATI,NV,CARSON CITY,21039
"EAGLE VALLEY CARE CENTRE, LLC",NV,CARSON CITY,114537
EASTERN SIERRA EYECARE INC.,NV,CARSON CITY,7943
EVERGREEN AT CARSON CITY LLC,NV,CARSON CITY,993292
"EVERGREEN AT MOUNTAIN VIEW, L.L.C.",NV,CARSON CITY,1177523
FAMILY WELLNESS CENTER,NV,CARSON CITY,636
"FARNAZ KHANKHANIAN, O.D. PROFESSIONAL CORPORATION",NV,CARSON CITY,37292
FERNLEY ASSISTED LIVING LLC,NV,CARSON CITY,101416
"FIELDEN, HANSON, ISAACS, MIYADA, ROBISON, YEH, LTD",NV,CARSON CITY,406652
FOOT & ANKLE CLINIC LLC,NV,CARSON CITY,1134
FRANK BEGLIN DDS MS LTD,NV,CARSON CITY,14842
G. LARRY LEONAKIS DDS INC,NV,CARSON CITY,10800
GAIL P KRIVAN MD LTD,NV,CARSON CITY,10542
GREAT BASIN NUTRITION LLC,NV,CARSON CITY,581
HEALTHY LIVING AT HOME - CARSON CITY LLC,NV,CARSON CITY,104864
HEARING CARE OF CARSON CITY LTD,NV,CARSON CITY,62
JAMES HAMTAK,NV,CARSON CITY,2279
JOHN EDISS,NV,CARSON CITY,2160
JOHN LAGIOS,NV,CARSON CITY,4982
"KATRINA VAN PATTEN, O.D. LTD.",NV,CARSON CITY,9072
KENT W GABRIEL MD PROFESSIONAL CORPORTION,NV,CARSON CITY,14537
"KEVIN PETERSON, DDS, PC",NV,CARSON CITY,18980
"KID DENTAL CARSON CITY, LLC",NV,CARSON CITY,52761
KONA CHIROPRACTIC LLC,NV,CARSON CITY,67470
LAKE TAHOE ORTHOPAEDIC INSTITUTE A WATSON-SWANSON PROFESSIONAL CORP,NV,CARSON CITY,56308
LARA MCKNIGHT OD & ASSOCIATES LTD,NV,CARSON CITY,6598
LIBERTY DIALYSIS - CARSON CITY LLC,NV,CARSON CITY,101899
MANOUKIAN & ROMANESCHI SIERRA NEVADA E.N.T. ASSOCIATES LTD,NV,CARSON CITY,90266
"MARC NELSON, DMD PC",NV,CARSON CITY,17747
MARK D FUNKE DDS,NV,CARSON CITY,35766
MARK MATTOON DC LTD,NV,CARSON CITY,4094
MELHUISH & ASSOCIATES PC,NV,CARSON CITY,27568
MERRITT W DUNLAP MD PC,NV,CARSON CITY,5108
MESA ASSISTED LIVING,NV,CARSON CITY,54679
MOUNTAIN MEADOWS MEDICAL GROUP OF CALIFORNIA INC,NV,CARSON CITY,1682
MPS DENTAL LLC DAB MOUNTAIN DENTAL,NV,CARSON CITY,17914
"NANCI CAMPBELL, AUD, LLC",NV,CARSON CITY,464
"NEVADA HEALTH CENTERS, INC.",NV,CARSON CITY,1523750
"NEVADA RETINA ASSOCIATES, STEVEN M. FRIEDLANDER, M.D., LTD.",NV,CARSON CITY,497464
"OPTIMUM THERAPY SOLUTIONS, L.L.C.",NV,CARSON CITY,22911
"ORTHOPRO OF CARSON CITY, INC.",NV,CARSON CITY,16050
PARK DENTAL MANAGEMENT COMPANY,NV,CARSON CITY,278290
PASTRO ADVANCED CHIROPRACTIC PROF LLC,NV,CARSON CITY,5293
PATRICIA ELLIOTT,NV,CARSON CITY,723
"PETER N COSTA, MD",NV,CARSON CITY,7862
PHYSICIANS' SURGERY CENTER OF NEVADA LLC,NV,CARSON CITY,146637
RAYMOND L SWARTS MD INC,NV,CARSON CITY,2003
RENO ASSISTED LIVING LLC,NV,CARSON CITY,101174
"RICHARD A. BESSETTE, M.D., LTD",NV,CARSON CITY,15987
ROBERT L MCDONALD MD & GUY T FOSTER MD LTD,NV,CARSON CITY,84068
"ROBIN Y TOMITA, M.D",NV,CARSON CITY,10342
ROBISON REDROCK DENTAL,NV,CARSON CITY,14857
