Provider Name,State,City,Payment
"SOUTH JEFFERSON PHYSICAL THERAPY, P.C.",NY,ADAMS,72728
SOUTH JEFFERSON RESCUE SQUAD INC,NY,ADAMS,7609
ELEANOR CAMPBELL,NY,ADAMS CENTER,667
ADDISON'S APOTHECARY INC,NY,ADDISON,190
CRYSTAL WATERS LICENSED CLINICAL SOCIAL WORK PLLC,NY,ADDISON,1263
KIMBERLY JONES,NY,ADDISON,599
ROMAN AND FERCHAW PLLC,NY,ADDISON,164290
TOTAL WELLNESS PHYSICAL THERAPY PLLC,NY,ADDISON,1948
STEPHEN L DYGERT MD,NY,AFTON,13155
ANDREW COHEN,NY,AIRMONT,5635
"BIKUR CHOLIM, INC.",NY,AIRMONT,231252
CAREPAX LLC,NY,AIRMONT,4862
JACOB JACOBY,NY,AIRMONT,10032
LESLIE LASKIN,NY,AIRMONT,8
MALA DATTA,NY,AIRMONT,1370
MAPLE RX NY LLC,NY,AIRMONT,15288
MEDICAL DIAGNOSTICS OF ROCKLAND PC,NY,AIRMONT,2462
RAMAPO MANOR NURSING CENTER INC,NY,AIRMONT,1972172
REUBEN E LAMPERT DDS,NY,AIRMONT,167477
ZRV TRANSPORTATION CORP.,NY,AIRMONT,2206
"CMG PHARMACEUTICALS, INC",NY,AKRON,137
SHANTHI RAJENDRAN PHYSICIAN PC,NY,AKRON,15520
SYRACUSE CHIROPRACTIC PC,NY,AKRON,10
MOHAWK COUNCIL OF AKWESASNE,NY,AKWESASNE,1643
ST REGIS MOHAWK TRIBE,NY,AKWESASNE,1631993
"MICHAEL J LIPNICK DMD AND VINCENT GIGLIO DDS, PLLC",NY,ALANY,39448
3 STONE DENTAL PLLC,NY,ALBANY,6769
"AAA ELITE MEDICAL EQUIPMENT, INC.",NY,ALBANY,21910
ACTIVE FAMILY CHIROPRACTIC PC,NY,ALBANY,7
"ADDICTIONS CARE CENTER OF ALBANY, INC.",NY,ALBANY,89717
"ADVANTAGE TRANSIT GROUP, INC.",NY,ALBANY,22080
AHMAD SULTAN,NY,ALBANY,2697
ALAN SHAPIRO,NY,ALBANY,791
"ALBANY ADVANCED IMAGING, PLLC",NY,ALBANY,578430
ALBANY CHIROPRACTIC AND PHYSICAL THERAPY PLLC,NY,ALBANY,25787
ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,NY,ALBANY,3
ALBANY COUNTY,NY,ALBANY,1933938
