Provider Name,State,City,Payment
HUNTINGTON TOWNSHIP TRUSTEES,OH,ABERDEEN,1351
LEGACY MEDICAL TRANSPORT,OH,ABERDEEN,22724
ADA FAMILY DENTISTRY,OH,ADA,34238
ADA-LIBERTY JT AMBULANCE DIS,OH,ADA,5011
GRIFFIN CHIROPRACTIC CLINIC LLC,OH,ADA,1253
LARRY HUBBELL,OH,ADA,1566
LAWRENCE KUK,OH,ADA,7421
MIDWEST REHAB INC,OH,ADA,14175
OHIO NORTHERN UNIVERSITY,OH,ADA,339
ADAMSVILLE COMMUNITY FIRE DEPT & EMERGENCY SQUAD INC.,OH,ADAMSVILLE,207
W R WAULIGMAN DDS INC,OH,ADDYSTON,21719
COLERAIN TOWNSHIP,OH,ADELPHI,984
DAVID KOTARSKY,OH,ADENA,1236
SHORT CREEK JOINT FIRE DISTRICT,OH,ADENA,2389
"14 HEARTS HEALTHCARE AGENCY, LLC",OH,AKRON,4246
"ABUNDANT WORKS ENRICHMENT SERVICES, LLC",OH,AKRON,412
ACCUPATH LABORATORY SERVICES INC,OH,AKRON,1168
"ACTION SPINE AND PAIN CENTER, PC",OH,AKRON,26439
ACUTE CARE SURGERY SERVICE @ AKRON GENERAL,OH,AKRON,18762
AKRON AMBULATORY FOOT SURGEONS INC,OH,AKRON,16123
"AKRON DIGESTIVE DISEASE CONSULTANTS, INC.",OH,AKRON,324636
"AKRON FAMILY DENTAL LAB GROUP, INC.",OH,AKRON,52972
"AKRON FAMILY INSTITUTE, INC.",OH,AKRON,5446
AKRON GENERAL MEDICAL CENTER,OH,AKRON,20677967
AKRON GENERAL MEDICAL CENTER,OH,AKRON,422
AKRON ORAL & MAXILLOFACIAL SURGERY GROUP INC,OH,AKRON,96433
"AKRON PEDIATRIC NEUROLOGY, INC",OH,AKRON,1330
"AKRON PEDIATRIC OPHTHALMOLOGY AND OPHTHALMIC PLASTIC SURGERY, INC",OH,AKRON,1994
AKRON PEDIATRIC SURGICAL ASSOCIATES INC,OH,AKRON,30440
AKRON PHARMACY LLC,OH,AKRON,10
AKRON RADIOLOGY INC,OH,AKRON,435685
AKRON SMILES YOUTH DENTISTRY LLC,OH,AKRON,60542
AKRON SURGICAL ASSOCIATES LLC,OH,AKRON,975347
"ALAN B. SCHLESINGER DDS, LLC",OH,AKRON,34385
ALL 4 HOME CARE LLC DBA ACCESSIBLE HOME HEALTHCARE OF AKRON,OH,AKRON,370286
ALLENSIDE FAMILY PRACTICE,OH,AKRON,5066
"ALLIED DERMATOLOGY AND SKIN SURGERY, LLC",OH,AKRON,240963
ALPHA DENTAL AKRON - MING YU DDS LLC,OH,AKRON,17843
ALTERNATIVE SOLUTIONS ADULT DAY CARE INC,OH,AKRON,1986
ANIL PARIKH MD INC.,OH,AKRON,65711
APRIL C SPIVEY,OH,AKRON,1425
"ARDMORE, INC.",OH,AKRON,105750
ARLINGTON DENTAL GROUP AKRON LLC,OH,AKRON,15281
ASIAN SERVICES IN ACTION,OH,AKRON,3857
AXESSPOINTE COMMUNITY HEALTH CENTER INC.,OH,AKRON,146914
BATH MANOR LIMITED PARTNERSHIP,OH,AKRON,989489
BATH TOWNSHIP TRUSTEES,OH,AKRON,5147
"BLICK CLINIC, INC.",OH,AKRON,428470
BRANTRESS N LOGAN,OH,AKRON,1027
BS BONYO DO & ASSOCIATES INC.,OH,AKRON,23249
CARE FOR YOU HOME HEALTH CARE AGENCY LLC,OH,AKRON,48393
CATHLEEN TORCASIO,OH,AKRON,1926
"CHAPEL HILL CHIROPRACTIC CENTER, INC.",OH,AKRON,1258
CHILD GUIDANCE & FAMILY SOLUTIONS,OH,AKRON,1000993
CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,OH,AKRON,39677645
CIRCLE OF LIFE CORPORATION,OH,AKRON,32660
CITY OF AKRON OH,OH,AKRON,40789
CITY OF GREEN,OH,AKRON,16803
"CLEARPATH HOSPICE, LLC",OH,AKRON,121360
COMMUNITY DRUG BOARD,OH,AKRON,135074
COMMUNITY HABILITATION SERVICES INC.,OH,AKRON,78938
"COMMUNITY SUPPORT SERVICES, INC",OH,AKRON,25255
"COMPASSIONATE CARE HOSPICE OF OHIO, LLC",OH,AKRON,111033
CORNERSTONE MEDICAL SERVICES- MIDWEST LLC,OH,AKRON,165342
COVENTRY TOWNSHIP,OH,AKRON,4986
"CRYSTAL ARTHRITIS CENTER, INC.",OH,AKRON,412704
CRYSTAL CLINIC ORTHOPAEDIC CENTER,OH,AKRON,6254728
"CRYSTAL CLINIC, INC.",OH,AKRON,586580
CYNTHIA WEINSTEIN,OH,AKRON,4455
DALE M LEONHARDT DDS INC,OH,AKRON,4842
DARYLE DUNN,OH,AKRON,3318
DELPHI TOTH,OH,AKRON,906
DENA SIMMONS,OH,AKRON,2303
DENTAL HEALTH SERVICES,OH,AKRON,23775
DIALYSIS CARE CENTER AKRON LLC,OH,AKRON,31475
DIETRICH FAMILY ORTHODONTICS,OH,AKRON,37561
DIGESTIVE HEALTH CENTER LLC,OH,AKRON,1300795
DIPIERO FAMLY DENTAL,OH,AKRON,24297
