Provider Name,State,City,Payment
ALBANY ANESTHESIA PC,OR,ALBANY,94116
"ALBANY COUNSELING SERVICES, INC",OR,ALBANY,11504
"ALBANY EYE CARE CENTER, P.C.",OR,ALBANY,94461
ALBANY GENERAL HOSPITAL,OR,ALBANY,10803778
BRIAN D ASHDOWN,OR,ALBANY,4730
"CALAPOOIA FAMILY DENTAL, PC",OR,ALBANY,86711
CAPITOL SURGERY CENTER LLC,OR,ALBANY,66157
CARL HANSON,OR,ALBANY,1546
CARRIE MANSFIELD,OR,ALBANY,2177
CARSON KUTSCH DDS PC,OR,ALBANY,71373
CEDARWOOD DENTAL / JAMES L DELGADO,OR,ALBANY,19955
"CHAMBERLIN HOUSE, INC",OR,ALBANY,80092
CHINIKO LLC,OR,ALBANY,24532
CITY OF ALBANY,OR,ALBANY,62670
COUNTY OF LINN,OR,ALBANY,83000
DARRELL E GENSTLER MD PC,OR,ALBANY,33036
DAVID IRVINE,OR,ALBANY,2866
DIRK OHLING,OR,ALBANY,5861
DUNN & PETERSON LLC,OR,ALBANY,210
EAST MEETS WEST MEDICAL LLC,OR,ALBANY,2450
"ELM STREET DENTAL, LLC",OR,ALBANY,168855
EYECARE ASSOCIATES PC,OR,ALBANY,160516
FORTIER CHIROPRACTIC HEALTH CARE PC,OR,ALBANY,162
GRICE INVESTMENTS INC,OR,ALBANY,1315
HRX LTD,OR,ALBANY,700
JAMES GROSS,OR,ALBANY,631
"K & R DENTAL, LLC",OR,ALBANY,51606
KP TRAIN CORP,OR,ALBANY,50200
KUTSCH DENTAL ASSOCIATES,OR,ALBANY,28550
LIMITLESS PHYSICAL THERAPY OF ALBANY LLC,OR,ALBANY,1973
MARGARET HANSEN,OR,ALBANY,484
"MARK S. ROBERTSON, P.C.",OR,ALBANY,19960
"MENNONITE HOME OF ALBANY, INC",OR,ALBANY,731447
MICHAEL NEIMAN,OR,ALBANY,289
MICK FREDRICKSON,OR,ALBANY,18
MID-VALLEY DENTAL ASSOCIATES,OR,ALBANY,109800
MID-VALLEY PEDIATRICS,OR,ALBANY,36657
PATRICIA OHARE MD LLC,OR,ALBANY,13871
PETER GOODMAN,OR,ALBANY,309
