Provider Name,State,City,Payment
AILI PLAZA ORTA,PR,ADJUNTAS,240
ALBERTO COLON ALVARADO,PR,ADJUNTAS,265
ANTONIO DECLET MANZANET,PR,ADJUNTAS,73
CENTRO CARDIOVASCULAR DE LA MONTANA CSP,PR,ADJUNTAS,2063
CLINICA DENTAL DE JONG TORRES,PR,ADJUNTAS,7140
"CORPORACION DE SERVICIOS DE SALUD DE ADJUNTAS, INC",PR,ADJUNTAS,86520
EDWIN CUEVAS,PR,ADJUNTAS,224
FARMACIA JENNY INC,PR,ADJUNTAS,17
FRANCISCO MURPHY RIVERA,PR,ADJUNTAS,3388
JORGE E RUIZ DIAZ,PR,ADJUNTAS,20028
JOSE PEREZ VALENTIN,PR,ADJUNTAS,277
JOSE ROMAN RAMOS,PR,ADJUNTAS,36
LABORATORIO CLINICO ADJUNTAS,PR,ADJUNTAS,451
"LABORATORIO CLINICO SANTIAGO IRIZARRY, INC",PR,ADJUNTAS,16
MAYRA TORRES PAGAN,PR,ADJUNTAS,44
NRT FAMILY MEDICINE PSC,PR,ADJUNTAS,2364
PEDRO YELTON ROSSELLO,PR,ADJUNTAS,344
SUKARI DAKTARI CONSULTANTS CSP,PR,ADJUNTAS,199
JORGE RUIZ COIMBRE,PR,ADJUNTES,165
ARTURO CEDENO-LLORENS,PR,AGAUDILLA,392
ADRIANA AGUILAR,PR,AGUADA,16359
ADVANCED GASTROENTEROLOGY CENTER PSC,PR,AGUADA,3343
"AGUADA MEDICAL CENTER, INC.",PR,AGUADA,54309
ALBERTO PINOT GONZALEZ,PR,AGUADA,568
ALBERTO RAMOS MENDEZ,PR,AGUADA,481
ANA E CRESPO ROSA,PR,AGUADA,5638
ARLEEN RODRIGUEZ ORTIZ,PR,AGUADA,40
BAHIRA SAWI,PR,AGUADA,21
BETHZAIDA MATIAS LABORATORIO CLINICO TU SALUD,PR,AGUADA,90
CARLO ALERS,PR,AGUADA,107
CARLOS MUNIZ MOLINERO,PR,AGUADA,1195
CARLOS SOTO-VILLARRUBIA,PR,AGUADA,108
CARMEN GONZALEZ MUNOZ,PR,AGUADA,6193
CENTRO ESPECIALIZADO MEDICINA INTERNA,PR,AGUADA,588
CHIROPRACTIC WEST INC,PR,AGUADA,816
CLINICA DE MEDICINA FISICA Y ELECTRODIAGNOSTICO INC.,PR,AGUADA,78785
DANEIDA PEREZ GONZALEZ,PR,AGUADA,17
DOCTORA MAGALY GONZALEZ MESTRE OPTOMETRA CSP,PR,AGUADA,106
DR MONICA VELEZ DENTAL SERICES LLC,PR,AGUADA,3683
DR PEDRO O CABRERA BONET CSP,PR,AGUADA,1065
EDUARDO FELICIANO AVILES,PR,AGUADA,36
