Provider Name,State,City,Payment
ASHAWAY AMBULANCE ASSOCIATION INC.,RI,ASHAWAY,2169
ANN ADLER,RI,BARRINGTON,468
ANN MARIE SABULA,RI,BARRINGTON,798
"BARRINGTON FAMILY MEDICINE, LLC",RI,BARRINGTON,710
"BARRINGTON PEDIATRIC ASSOCIATES, INC",RI,BARRINGTON,271462
BUDIO THOMAS,RI,BARRINGTON,2440
"CHARIS CENTER SOUTH, INC.",RI,BARRINGTON,6514
CINDA ANDERSON,RI,BARRINGTON,361
DR DIANE E KING MD INC,RI,BARRINGTON,1868
EAST BAY PEDIATRICS & ADOLESCENT MEDICIN,RI,BARRINGTON,31215
GAIL MCELROY,RI,BARRINGTON,153
GERALDINE FELDMAN,RI,BARRINGTON,831
HENDRIK KROSSCHELL,RI,BARRINGTON,6266
HOFFMANN CHIROPRACTIC INC,RI,BARRINGTON,9131
IULIA CIRCIUMARU RHEUMATOLOGY & INTERNAL MEDICINE LLC,RI,BARRINGTON,8127
"JAFFE ORTHODONTICS, INC.",RI,BARRINGTON,31101
JAMES C GOFF DMD LTD,RI,BARRINGTON,129
MAPLE AVENUE FAMILY DENTISTRY,RI,BARRINGTON,69453
MARK SHANNON,RI,BARRINGTON,263
MATTHEW ASARO D.M.D.,RI,BARRINGTON,82954
MCVAY PHYSICAL THERAPY,RI,BARRINGTON,8873
"MICHAEL ROBBINS, PH.D.",RI,BARRINGTON,2691
PRIMARY CARE OF BARRINGTON LLC,RI,BARRINGTON,322
ROSE MURRIN,RI,BARRINGTON,1514
SERRA PHYSICAL THERAPY LLC,RI,BARRINGTON,3825
SPINAL HEALTH & REHAB CENTER LLC,RI,BARRINGTON,1339
THE FOGARTY CENTER,RI,BARRINGTON,494202
TOWN OF BARRINGTON,RI,BARRINGTON,12219
ZACHARY BOHART MD,RI,BARRINGTON,114398
BLOCK ISLAND HEALTH SERVICES INC.,RI,BLOCK ISLAND,7119
JAMES HARTIGAN,RI,BLOCK ISLAND,22
"20/20 VISION CARE, INC.",RI,BRISTOL,17679
ANGELA FEDORCUK,RI,BRISTOL,281
BRISTOL COUNTY PHYSICAL THERAPY,RI,BRISTOL,44550
"CEDARZ MEDICAL AND COSMEDICS,INC.",RI,BRISTOL,8268
DONALD BOBOLA,RI,BRISTOL,653
EDWARDS HEALTH LLC,RI,BRISTOL,4320
GABI WASSOUF,RI,BRISTOL,121329
GREGG ETTER,RI,BRISTOL,2172
KAR LITTLE BOX LLC,RI,BRISTOL,859263
"LIVING IN FULFILLING ENVIRONMENTS, INC.",RI,BRISTOL,170877
"MARTIN L. ROUSSEL, D.C. DBA EAST BAY CHIROPRACTIC HEALTH CENTER",RI,BRISTOL,663
"MEDICAL ASSOCIATES OF RHODE ISLAND, INC.",RI,BRISTOL,182670
"METACOM CHIROPRACTIC CENTRE, INC",RI,BRISTOL,2869
MICHAEL J ALLEN DMD,RI,BRISTOL,18957
SAINT ELIZABETH MANOR EAST BAY,RI,BRISTOL,932488
SHARON RUST,RI,BRISTOL,86
TOWN OF BRISTOL,RI,BRISTOL,20412
AEGIS GUARDIANS LLC,RI,CENTRAL FALLS,83797
CITY OF CENTRAL FALLS,RI,CENTRAL FALLS,6751
ERNESTO MIRABAL MD LLC,RI,CENTRAL FALLS,256
GILBERT ALTONGY,RI,CENTRAL FALLS,5484
"MANSION, INC",RI,CENTRAL FALLS,484459
NEWPORT OPTICAL INC,RI,CENTRAL FALLS,320
"QUALITY GERONTOLOGICAL SERVICES, INC",RI,CENTRAL FALLS,457772
SAFA F WAGDI MD INC,RI,CENTRAL FALLS,6052
YEN LONGOBARDI,RI,CENTRAL FALLS,4864
ARROWHEAD DENTAL ASSOCIATES,RI,CHARLESTOWN,692782
"CHARLESTOWN AMBULANCE & RESCUE SERVICE, INC.",RI,CHARLESTOWN,9597
CHARLESTOWN PHYSICAL THERAPY AND HEALTH SERVICES,RI,CHARLESTOWN,2896
DIANE BROUSSEAU PIZZI,RI,CHARLESTOWN,486
"JOHN WARD PHYSICAL THERAPY, LLC",RI,CHARLESTOWN,42972
JUDITH CHICK,RI,CHARLESTOWN,233
NARRAGANSETT INDIAN TRIBE,RI,CHARLESTOWN,322902
STUART DEMIRS,RI,CHARLESTOWN,10407
CHEPACHET FIRE DISTRICT,RI,CHEPACHET,2826
"GLOCESTER FAMILY CHIROPRACTIC, INC",RI,CHEPACHET,337
HERITAGE PODIATRY INC,RI,CHEPACHET,7211
JEFFREY A. SCHNEIDER,RI,CHEPACHET,1033
PERIS MEDICAL CORPORATION,RI,CHEPACHET,19508
WEST GLOCESTER FIRE TAX DISTRICT,RI,CHEPACHET,698
"ALPINE NURSING HOME, INC.",RI,COVENTRY,560922
BERNARD G COPPOLELLI DPM INC,RI,COVENTRY,11894
CAPITOL CHIROPRACTIC INC,RI,COVENTRY,4481
CENTRAL COVENTRY FIRE DISTRICT,RI,COVENTRY,15166
COVENTRY FAMILY DENTAL LLC,RI,COVENTRY,42670
COVENTRY FIRE DISTRICT,RI,COVENTRY,7551
COVENTRY ORTHODONTICS LLC,RI,COVENTRY,13078
COVENTRY PRIMARY CARE ASSOCIATES INC,RI,COVENTRY,10537
DIABETES EDUCATION PARTNERS OF RHODE ISLAND,RI,COVENTRY,188
ELITE TRANSPORTATION LLC.,RI,COVENTRY,1099
"ELLEN C HEALY, MA, LMHC, INC",RI,COVENTRY,5425
ERIC M GEORGE DMD LTD,RI,COVENTRY,48716
HOPKINS HILL ROAD FIRE DEPARTMENT,RI,COVENTRY,4929
JOSE BENITEZ,RI,COVENTRY,10324
"LORI A. JONES, LICSW",RI,COVENTRY,5343
LTR EYE INC,RI,COVENTRY,8000
MICHAEL PETTERUTO,RI,COVENTRY,10
PRYTULA EYE ASSOCIATES INC,RI,COVENTRY,18309
RHODE ISLAND CHILDRENS DENTISTRY,RI,COVENTRY,102929
RIVERVIEW HEALTHCARE COMMUNITY,RI,COVENTRY,1173258
RONALD LIPPITT DMD,RI,COVENTRY,70134
SPORT & SPINE PHYSICAL THERAPY INC,RI,COVENTRY,12461
SUMMER VILLA INC.,RI,COVENTRY,442339
"A CARING EXPERIENCE NURSING SERVICES, INC.",RI,CRANSTON,789905
ACCESSPOINT RI,RI,CRANSTON,218426
ALAN NOWICK,RI,CRANSTON,6188
ALEE BEHAVIORAL HEALTHCARE,RI,CRANSTON,57659
ALLISON PICARD,RI,CRANSTON,856
"ALPHA PHYSICAL THERAPY, INC.",RI,CRANSTON,28743
AMIT MEHRA DMD LLC,RI,CRANSTON,74074
AMRUT PATEL,RI,CRANSTON,7461
ANNA BRAZ,RI,CRANSTON,103
ANTHONY J BARONE,RI,CRANSTON,21601
ANTHONY MARINO,RI,CRANSTON,671
CAPUTO CHIROPRACTIC INC,RI,CRANSTON,3179
"CARLOW ORTHOPEDIC AND PROSTHETICS, INC",RI,CRANSTON,12894
CEDAR CREST NURSING CENTRE INC,RI,CRANSTON,1234835
CEDAR HOME HEALTH LLC,RI,CRANSTON,107771
CERENA REID-MAYNARD,RI,CRANSTON,98
CHRISTINE CHESTER,RI,CRANSTON,567
CITY OF CRANSTON,RI,CRANSTON,68648
CITY OF PAWTUCKET RHODE ISLAND,RI,CRANSTON,38396
CLARITY EYE CARE,RI,CRANSTON,22345
"CLAYTON G. HAZELTON, JR. DMD, PC",RI,CRANSTON,20314
CODAC INC,RI,CRANSTON,670553
COMPASSIONATE HEALTH CARE GROUP LLC,RI,CRANSTON,178
"COMPREHENSIVE COMMUNITY ACTION, INC.",RI,CRANSTON,203328
CONCORD HOME HEALTH SERVICES,RI,CRANSTON,259684
CRA-MAR CORPORATION,RI,CRANSTON,589387
CRANSTON EYE ASSOCIATES INC.,RI,CRANSTON,1748
CRANSTON FAMILY & COSMETIC DENTISTR,RI,CRANSTON,18443
DAVID CARPENTIER MD FAMILY HEALTH CARE LTD,RI,CRANSTON,17137
DAVID TULLI,RI,CRANSTON,638
DENTAL RI,RI,CRANSTON,1371
DIANE R. RODRIGUEZ,RI,CRANSTON,983
DR KENNETH J MORRISSEY MD PC,RI,CRANSTON,608
DR MICHELE A PELOSI,RI,CRANSTON,258
DR. ELISSA M. CONTILLO INC,RI,CRANSTON,5438
"DR. NAPOLITANO, INC",RI,CRANSTON,13852
DR.HARVEY D. RAPPOPORT PC,RI,CRANSTON,1903
DRS. CONCANNON & VITALE LLC,RI,CRANSTON,77624
"EAST COAST MEDICAL, LLC",RI,CRANSTON,516
EILEEN CURRAN,RI,CRANSTON,5
ELIZABETH SNOW,RI,CRANSTON,999
ELLEN H FRANKEL MD INC,RI,CRANSTON,29644
ENIAYO EGBERONGBE,RI,CRANSTON,706
FAMILY HEALTH & SPORTS MEDICINE LLC,RI,CRANSTON,12665
"FAMILY TREE COUNSELING, INC.",RI,CRANSTON,1342
"FARLEY AND ASSOCIATES, INCORPORATED",RI,CRANSTON,2154
FRANCIS FIGUEROA,RI,CRANSTON,12846
FRANK CANINO,RI,CRANSTON,755
"FRANK P. MAGGIACOMO, D.O. INC",RI,CRANSTON,10339
GARDEN CITY EYECARE INC,RI,CRANSTON,47273
GARDEN CITY PSYCHIATRY LLC,RI,CRANSTON,7190
"GARDEN CITY REHABILITATION CENTER, LLC",RI,CRANSTON,16350
"GARDEN CITY TREATMENT CENTER, INC.",RI,CRANSTON,606246
"GASPER NEUROLOGY, LTD",RI,CRANSTON,9438
"GATEWAYS TO CHANGE, INC.",RI,CRANSTON,154722
GEOFFREY M PARRILLO DMD,RI,CRANSTON,52365
GERALD MARSOCCI,RI,CRANSTON,7102
GREGORY R BENDER DMD,RI,CRANSTON,35220
HAND THERAPY ASSOCIATES,RI,CRANSTON,1785
HEALTHWAYRI INC,RI,CRANSTON,4756
HOMECARE ADVANTAGE CHC INC.,RI,CRANSTON,72359
HOPE ALZHEIMER'S CENTER,RI,CRANSTON,17441
HOPE NURSING HOME CARE LLC,RI,CRANSTON,476287
INTEGRATED PSYCHIATRY INCORPORATED,RI,CRANSTON,2720
INTERNAL MEDICINE ASSOCIATES INC,RI,CRANSTON,89555
INTERVENTIONAL AND FUNCTIONAL PAIN CENTER,RI,CRANSTON,11163
"JACK P MOURAD,MD,INC",RI,CRANSTON,3474
"JAMES K CARDI,MD",RI,CRANSTON,26179
"JAMES R BONNER, MD, INC",RI,CRANSTON,13196
JANE JOHNSON WALL,RI,CRANSTON,820
JEAN PLOVER MD FAMILY PRACTICE INC,RI,CRANSTON,257
JEANNE SWEN,RI,CRANSTON,2744
"JEFFREY D. HUGHES, PSY.D. LLC",RI,CRANSTON,997
JOSEPH DILORENZO,RI,CRANSTON,1432
JUDITH GILMORE,RI,CRANSTON,2632
KARDOUS PRIMARY CARE INC,RI,CRANSTON,12628
KAREN BRENNAN,RI,CRANSTON,2137
KAREN MEGA,RI,CRANSTON,49908
KATHLEEN FLYNN,RI,CRANSTON,309
KATHLEEN TRELOAR,RI,CRANSTON,265
KENDRA DIMINO,RI,CRANSTON,68
KIERSTEN MAREK LICSW,RI,CRANSTON,13969
KRISTI LANGSLET,RI,CRANSTON,6789
LAKSHYAN SCHANZER,RI,CRANSTON,128
LAURA S NEVEL MD INC,RI,CRANSTON,7302
LIBERTY PHYSICAL THERAPY,RI,CRANSTON,6058
LINDA THORNTON,RI,CRANSTON,13613
LISA GIUSTI,RI,CRANSTON,744
LISA SEABRA VEIGA DMD,RI,CRANSTON,16726
LISA WILSON,RI,CRANSTON,1062
LYNN MCCARTHY,RI,CRANSTON,755
MARIA FLORIO JABLONSKI OD LLC,RI,CRANSTON,2203
MARY ALICE MILLS,RI,CRANSTON,1590
MARY MONTMINY-DANNA,RI,CRANSTON,75
MARY PROIETTA,RI,CRANSTON,352
"MCARDLE CHIROPRACTIC AND WELLNESS CENTER,LLC",RI,CRANSTON,1368
MENTAL HEALTH CONSULTANT SERVICE,RI,CRANSTON,685
"MICHAEL A. PEZZA, D.C.",RI,CRANSTON,2334
MICHAEL CONSIGLIO,RI,CRANSTON,453
MICHELE CHAUDHRY,RI,CRANSTON,95
MILESTONE REHABILITATION LLC,RI,CRANSTON,15857
MOHOMMAD ZAMAN,RI,CRANSTON,2461
"OCEAN STATE DENTAL GROUP, INC.",RI,CRANSTON,83422
OCEAN STATE ENDODONTICS,RI,CRANSTON,59787
"OPPORTUNITIES UNLIMITED FOR PEOPLE WITH DIFFERING ABILITIES,",RI,CRANSTON,58526
ORAL MAXILLOFACIAL SURGEONS LTD,RI,CRANSTON,124
"ORTHOPAEDIC ASSOCIATES, INC.",RI,CRANSTON,146759
PACIFICA VICTORIA COURT,RI,CRANSTON,54559
PALADIN PHYSICAL THERAPY,RI,CRANSTON,3190
PAPPAS PHYSICAL THERAPY LLC,RI,CRANSTON,48839
PARK AVENUE SENIOR CARE INC,RI,CRANSTON,9187
"PARTNERS IN PRIMARY CARE, INC",RI,CRANSTON,9323
"PAUL J MATRULLO, DDS, LTD",RI,CRANSTON,66394
"PEACEFUL MIND, INC.",RI,CRANSTON,1205
"PEDIATRIC DENTISTRY, LTD",RI,CRANSTON,90960
PEDORTHIC TECHNOLOGIES INC,RI,CRANSTON,5790
PRIMARY CARE MEDICAL ASSOCIATES OF CRANSTON INC,RI,CRANSTON,1370
RHODE ISLAND COUNSELING ASSOCIATES,RI,CRANSTON,15274
"RHODE ISLAND FOOT & ANKLE, INC.",RI,CRANSTON,19145
RHODE ISLAND REHABILITATION INSTITUTE PC,RI,CRANSTON,62107
RI HAND CENTER,RI,CRANSTON,5266
RICARDO BURDIEL DMD,RI,CRANSTON,112336
"RICHARD K OHNMACHT, MD,LTD",RI,CRANSTON,13803
ROBERT A LEUROPA LTD,RI,CRANSTON,1032
ROBERT PECK,RI,CRANSTON,1353
ROGER REDLEAF,RI,CRANSTON,1248
"ROGER WILLIAMS RADIATION THERAPY, LLC",RI,CRANSTON,203148
RONALD SNIDERMAN DMD,RI,CRANSTON,11550
"ROSEMARIE A. ABBRUZZESE, MSW, LICSW, LLC",RI,CRANSTON,1209
RUTH'S LINGERIE INC,RI,CRANSTON,14191
RYAN S ALLEN DO LLC,RI,CRANSTON,14244
SALVATORE LOPORCHIO,RI,CRANSTON,22587
SAMPALIS EYE CARE,RI,CRANSTON,8749
SARAH OUELLETTE,RI,CRANSTON,131
