Provider Name,State,City,Payment
ABBEVILLE COUNTY EMS,SC,ABBEVILLE,115278
ABBEVILLE COUNTY MEMORIAL HOSPITAL,SC,ABBEVILLE,6096046
ABBEVILLE COUNTY SCHOOL DISTRICT,SC,ABBEVILLE,6158
ABBEVILLE FAMILY HEALTHCARE,SC,ABBEVILLE,12468
"ABBEVILLE NURSING HOME, INC.",SC,ABBEVILLE,818126
BOWEN FAMILY EYECARE PA,SC,ABBEVILLE,1946
CAMILLE MASON MD PA,SC,ABBEVILLE,100845
CRAIG GAGNON,SC,ABBEVILLE,934
DARREN LEWIS,SC,ABBEVILLE,2461
EDCARE CONSULTING LLC,SC,ABBEVILLE,15483
"GENE ERIC FLOYD, JR.",SC,ABBEVILLE,27935
"A & P OF AIKEN, LLC",SC,AIKEN,2721
ADVANCED CHIROPRACTIC AND WELLNESS CENTER LLC,SC,AIKEN,3024
AIKEN ANESTHESIOLOGY GROUP PA,SC,AIKEN,35291
AIKEN CENTER FOR DERMATOLOGY,SC,AIKEN,21892
AIKEN CENTER FOR FAMILY HEALTH LLC,SC,AIKEN,10815
AIKEN CHIROPRACTIC INC.,SC,AIKEN,1914
AIKEN COUNTY,SC,AIKEN,106905
AIKEN COUNTY BOARD OF DISABILITIES,SC,AIKEN,27142
AIKEN COUNTY COMMISSION ON ALCOHOL,SC,AIKEN,5768
AIKEN DENTAL ASSOCIATES,SC,AIKEN,41627
AIKEN DERMATOLOGY & SKIN CANCER CLINIC,SC,AIKEN,108199
"AIKEN EMERGENCY PHYSICIANS, PA",SC,AIKEN,35655
AIKEN FAMILY DENTISTRY LLC,SC,AIKEN,36615
AIKEN INTERNAL MED PA,SC,AIKEN,56649
AIKEN NEUROSCIENCES AND PAIN MANAGEMENT,SC,AIKEN,41101
AIKEN OBSTETRICS AND GYNECOLOGY ASSOCIAT,SC,AIKEN,82780
"AIKEN OPHTHALMOLOGY, PC",SC,AIKEN,790682
AIKEN PHYSICAL MEDICINE AND REHABILITATION LLC,SC,AIKEN,1437
AIKEN PSYCHIATRIC AND PSYCHOTHERAPY ASSOCIATES PA,SC,AIKEN,20233
AIKEN REGIONAL MEDICAL CENTERS LLC,SC,AIKEN,4525197
AIKEN REGIONAL MEDICAL CENTERS SURGERY CENTER LLC,SC,AIKEN,28217
AIKEN RESCUE INC,SC,AIKEN,6360
ANA ANESTHESIA LLC,SC,AIKEN,2802
"ANCHOR REHABILITATION AND HEALTHCARE CENTER OF AIKEN, LLC",SC,AIKEN,160193
ANTHONY E HARRIS MD PA,SC,AIKEN,18309
ANTONY KYLES,SC,AIKEN,4291
BRADLEY CHIROPRACTIC SERVICES LLC,SC,AIKEN,3994
CANCER CENTER ASSOCIATES OF CAROLINA PA,SC,AIKEN,161376
"CARLISLE M VEREEN III, DMD PA",SC,AIKEN,30050
"CARLYLE SENIOR CARE OF AIKEN, LLC",SC,AIKEN,654477
CAROLINA MUSCULOSKELETAL INSTITUTE PA,SC,AIKEN,290108
CAROLINA RADIOLOGICAL ASSOCIATES,SC,AIKEN,154706
CAROLINAORTHOPEDICS LLC,SC,AIKEN,11617
"CASC ACQUISITION, INC",SC,AIKEN,217088
CENTER FOR COLON AND DIGESTIVE DISEASES,SC,AIKEN,48267
"CENTER FOR PRIMARY CARE, P.C.",SC,AIKEN,635740
"CENTER FOR SIGHT, P.A.",SC,AIKEN,14705
"CHILDREN'S PLACE, INC.",SC,AIKEN,185448
"COLON-RECTAL SURGERY ASSOCIATES, P.C.",SC,AIKEN,50723
COMBS CHIROPRACTIC CARE INC,SC,AIKEN,1285
COMPLETE CARE COUNSELING LLC,SC,AIKEN,48834
DESIGNED BY NATURE INC.,SC,AIKEN,10534
"DOUGLAS M. BRANDT, MD",SC,AIKEN,26159
DR KENNETH R BRAUN PA,SC,AIKEN,350
DR MANHIANI PLLC,SC,AIKEN,39625
"DR. GARY SHEPARD, PC",SC,AIKEN,4366
EYE GUYS CAROLINA LLC,SC,AIKEN,8879
GEORGE SICH III DPM LLC,SC,AIKEN,756
GERALD GORDON MD FACP LLC,SC,AIKEN,91876
