Provider Name,State,City,Payment
ABERDEEN ASTHMA & ALLERGY PC,SD,ABERDEEN,22250
ABERDEEN DENTAL,SD,ABERDEEN,31099
ABERDEEN DENTAL ASSOCIATES,SD,ABERDEEN,29903
ABERDEEN HEALTHCARE CENTER,SD,ABERDEEN,963750
ABERDEEN HEARING CLINIC LLC,SD,ABERDEEN,714
"ABERDEEN MEDICAL CENTER PHARMACY, INC",SD,ABERDEEN,10010
"ABERDEEN NURSING AND REHAB CENTER, LLC",SD,ABERDEEN,1094332
AMANDA REED,SD,ABERDEEN,126
"ANDERSON MEMORY CARE, L.L.C.",SD,ABERDEEN,73212
"APPLETON RETIREMENT, L.L.C.",SD,ABERDEEN,51337
AVERA ST. LUKE'S,SD,ABERDEEN,12560003
BARNETT VISION CENTER LLP,SD,ABERDEEN,40412
"BENTONVILLE RETIREMENT, L.L.C.",SD,ABERDEEN,307665
"BETHESDA HOME OF ABERDEEN, INC.",SD,ABERDEEN,978904
"BLEDSOE FAMILY CHIROPRACTIC, LLC",SD,ABERDEEN,8489
BRIAN KAMERUD,SD,ABERDEEN,655
"CHEYENNE RETIREMENT, L.L.C.",SD,ABERDEEN,177637
CITY OF ABERDEEN SD,SD,ABERDEEN,15949
"CLARK FAMILY CHIROPRACTIC, LLC",SD,ABERDEEN,1391
CONKLIN PSYCHIATRIC & INTEGRATIVE HEALTH PROF LLC,SD,ABERDEEN,5452
"COSMETIC AND PLASTIC SURGERY SPECIALISTS, PC",SD,ABERDEEN,11004
D N D INC,SD,ABERDEEN,30078
DAKOTA CHIROPRACTIC OF ABERDEEN PC,SD,ABERDEEN,1681
DAKOTA COUNSELING GROUP LLC,SD,ABERDEEN,6785
DEREK REKOW,SD,ABERDEEN,1458
"DOHMAN EYECARE, PROF. LLC",SD,ABERDEEN,1365
FAMILY DENTAL CARE,SD,ABERDEEN,90881
"FOOTSTEPS COUNSELING, LLC",SD,ABERDEEN,54496
"FRANNE SIPPEL, LLC",SD,ABERDEEN,2950
"GILLETTE RETIREMENT, L.L.C.",SD,ABERDEEN,57395
GREGG VAN BEEK DDS PC,SD,ABERDEEN,13885
HOLLY REICH,SD,ABERDEEN,2121
