Provider Name,State,City,Payment
ADAMSVILLE HEALTHCARE LLC,TN,ADAMSVILLE,102489
"ARISTORENAS HEALTH CLINIC, LLC",TN,ADAMSVILLE,116758
BARNES MANAGEMENT COMPANY,TN,ADAMSVILLE,2875
BRIAN QUALLS,TN,ADAMSVILLE,2081
H & M APOTHECARY LLC,TN,ADAMSVILLE,109
JIMMY MAX PETTIGREW AND JAMES B PETTIGREW,TN,ADAMSVILLE,13365
MEDITRUST MEDICAL EQUIPMENT & SUPPLY LLC,TN,ADAMSVILLE,23007
TODD'S DISCOUNT DRUGS INC.,TN,ADAMSVILLE,60000
"CAVALIER PHARMACY, LLC",TN,ALAMO,46310
CROCKETT COUNTY AMBULANCE SERVICE,TN,ALAMO,34986
"CROCKETT COUNTY NURSING HOME, INC",TN,ALAMO,1182083
CROCKETT MEDICAL CLINIC INC,TN,ALAMO,219688
LISA L. PRIVETT,TN,ALAMO,76711
SMALL TOWN PHARMACY LLC,TN,ALAMO,294
AP DENTAL PLLC,TN,ALCOA,23110
BLOUNT MEMORIAL PHYSICIAN GROUP INC,TN,ALCOA,1799904
CARLA WINCHESTER,TN,ALCOA,919
"DR. BOROLE & ASSOCIATES, P.C.",TN,ALCOA,176153
JEFFREY LEONARD WILHOIT,TN,ALCOA,24391
KHALED ABUMAYALEH,TN,ALCOA,10583
LORI BROOKS,TN,ALCOA,1859
MARK D. EVANS,TN,ALCOA,41092
"TENNESSEE VEIN CENTER, PLLC",TN,ALCOA,29592
F Z WEBB & SONS OF ALEXANDRIA INC,TN,ALEXANDRIA,55
HATMAKER FAMILY PHARMACY INC,TN,ANDERSONVILLE,198
SSC ANDERSONVILLE OPERATING COMPANY LLC,TN,ANDERSONVILLE,765213
"ACCESSIBLE HOPE, LLC",TN,ANTIOCH,5590
"ANTIOCH EYE CARE CENTER, PHYSICIAN & SURGEON, PLLC",TN,ANTIOCH,9652
"CASTILLO AND VINCENT, PLLC",TN,ANTIOCH,10414
CATARACT AND EYECARE CENTER PROFESSIONAL LLC,TN,ANTIOCH,37853
CONNEXUS INC,TN,ANTIOCH,80243
"EBENEZER HOME OF TENNESSEE, INC.",TN,ANTIOCH,927926
EYECARE PLUS HH,TN,ANTIOCH,264362
FIRST IMPRESSIONS FAMILY DENTISTRY,TN,ANTIOCH,17377
GOOD SHEPHERD PHARMACY LLC,TN,ANTIOCH,1746
HOME CARE PREFERENCE,TN,ANTIOCH,14116
OASIS EYECARE-PLLC,TN,ANTIOCH,1769
ROSEMARY PALMER,TN,ANTIOCH,1692
"SOZIT DENTAL CARE, INC",TN,ANTIOCH,7741
"TENNESSEE PAIN SURGERY CENTER, LLC",TN,ANTIOCH,72740
EMPLOYERS HEALTH MANAGEMENT CORPORATION,TN,APISON,200
"BARRETT DENTAL, P.C.",TN,ARDMORE,19257
DEBORAH VERBEEK,TN,ARDMORE,9184
"ELK RIVER HEALTH & REHABILITATION OF ARDMORE, LLC",TN,ARDMORE,555778
HH PHYSICIAN CARE-ELKTON TENNESSEE,TN,ARDMORE,8770
JERRY BARRETT,TN,ARDMORE,3206
"MATTHEW P. MCMASTERS,DDS,PC",TN,ARDMORE,16662
ARLINGTON FAMILY CHIROPRACTIC CLINIC LLC,TN,ARLINGTON,1140
"ARLINGTON PHYSICAL THERAPY, LLC",TN,ARLINGTON,15865
BUILDING A BETTER YOU TRANSPORTATION,TN,ARLINGTON,20085
DEE BLAKNEY,TN,ARLINGTON,2122
FAITH FAMILY MEDICAL SERVICES,TN,ARLINGTON,3020
"HEAVENLY SENIOR TRANSPORT SERVICES, LLC",TN,ARLINGTON,2033
HRJ TRANSPORTATION,TN,ARLINGTON,412
ORTHOONE SPORTS MEDICINE & ORTHOPAEDICS PLLC,TN,ARLINGTON,112417
"PRIMARY EYECARE, PLC",TN,ARLINGTON,14935
"DOCTORS OF PHYSICAL THERAPPY, PLLC",TN,ARRINGTON,5369
THE WATERS OF CHEATHAM LLC,TN,ASHLAND,776173
"ASHLAND HEIGHTS, LP",TN,ASHLAND CITY,78795
BENJAMIN SHOEMAKER,TN,ASHLAND CITY,11169
CHARLES HENDRICKS,TN,ASHLAND CITY,1280
COUNTY OF CHEATHAM,TN,ASHLAND CITY,22430
"FAMILY HEALTH CENTER OF ASHLAND CITY, PLLC",TN,ASHLAND CITY,153868
"GOALS OF CARE, PLLC",TN,ASHLAND CITY,17920
"HILLCREST HEALTHCARE, LLC",TN,ASHLAND CITY,881200
LEMMON EMERGENCY PHYSICIANS PLLC,TN,ASHLAND CITY,7674
LEONARD G. RAY DDS - JERRY A. GILPIN DMD,TN,ASHLAND CITY,28116
LONE PEAK INPATIENT SERVICES PLLC,TN,ASHLAND CITY,279
ALAN S BROCK DDS,TN,ATHENS,38994
"AMERICAN MEDICAL RESPONSE OF TENNESSEE, INC.",TN,ATHENS,280235
ATHENS CLINIC OF CHIROPRACTIC INC.,TN,ATHENS,2823
ATHENS PEDIATRICS PLLC,TN,ATHENS,138676
ATHENS REGIONAL CANCER CENTER PLLC,TN,ATHENS,39476
"ATHENS WOMENS CLINIC, P.C.",TN,ATHENS,142651
CHAMPION PHYSICAL THERAPY LLC HALLS,TN,ATHENS,53976
CHARLES B COX MDPC,TN,ATHENS,20417
CHATTANOOGA RETINA PLLC,TN,ATHENS,60060
CLEVELAND EYE CLINIC INC. PC,TN,ATHENS,70720
DAVID RYMER,TN,ATHENS,1811
DOCTORS DUGAN AND DUGAN LLC,TN,ATHENS,58543
ERIC SELANDER,TN,ATHENS,617
ETERI BIBILEISHVILI,TN,ATHENS,8897
HAROLD HOLLIDAY,TN,ATHENS,1405
HENRY MCCULLEY,TN,ATHENS,12262
JKBC WOLF INC,TN,ATHENS,1320
"JOHN F. YOUNG, DMD",TN,ATHENS,22111
"KEYLON EYECARE, PC",TN,ATHENS,7820
"KIDZCARE PEDIATRICS, PLLC",TN,ATHENS,206506
KIMBERLY T BREEDEN,TN,ATHENS,103253
LILLARD CHIROPRACTIC PA,TN,ATHENS,1126
LOVE WITHOUT WALLS MENTAL HEALTH CENTER,TN,ATHENS,316
MCMINN MEDICAL GROUP PLLC,TN,ATHENS,52397
"MCMINN MEDICAL IMAGING, PC",TN,ATHENS,34924
MDP MANAGEMENT LLC,TN,ATHENS,22718
MICHAEL MASSEY,TN,ATHENS,2669
MICHAEL SUMIDA,TN,ATHENS,6312
"NHC HEALTHCARE ATHENS, LLC",TN,ATHENS,682108
NICHOLAS BALLAY,TN,ATHENS,3687
"PHILIP K. ARNOLD, DDS, MS, PC",TN,ATHENS,4492
REBECCA GREEN,TN,ATHENS,2777
SHERRIE E HOLMAN,TN,ATHENS,8873
SKIN CANCER & COSMETIC DERMATOLOGY CENTER PC,TN,ATHENS,467597
"STEWART FAMILY DENTISTRY, PLLC",TN,ATHENS,102003
TENN VALLEY UROLOGY CENTE,TN,ATHENS,75219
TENNESSEE KIDNEY CARE PLLC,TN,ATHENS,29552
TENNESSEE VALLEY ANESTHESIA PLLC,TN,ATHENS,8421
"TENNESSEE VALLEY RADIOLOGY, LLC",TN,ATHENS,25239
"TOOMEY & BAGGETT EYECARE CLINIC, PLLC",TN,ATHENS,19391
TRACY PRICE,TN,ATHENS,3178
WATSON ANESTHESIA GROUP PLLC,TN,ATHENS,5431
WILLIAM BOWERS,TN,ATHENS,2749
WOMENS CENTER OF EAST TENNESSEE,TN,ATHENS,128790
ATOKA FAMILY DENTISTRY PC,TN,ATOKA,26333
BRANDI FRANKS,TN,ATOKA,4843
JEFFREY MCMILLIAN,TN,ATOKA,6768
MCMILLIAN EYE CARE,TN,ATOKA,224
MID-SOUTH PHYSICAL THERAPY INC.,TN,ATOKA,59832
SAMUEL POISAL,TN,ATOKA,1409
"SMZ SPECIALISTS, PC",TN,ATOKA,18310
"AMERICA FOR BETTER HEALTH CORPORATION, INC.",TN,BALTIMORE,15
MARTHA SMITH,TN,BARLETT,1437
"THE KIDNEY GROUP OF MEMPHIS, PLLC",TN,BARLETT,120387
ADULT AND ADOLESCENT MEDICINE CLINICS PLLC,TN,BARTLETT,4862
AHMAD AL-FAKHOURI,TN,BARTLETT,882
ALI KAPLAN PHD LLC,TN,BARTLETT,3788
ALL TENNESSEE CAREGIVERS INC,TN,BARTLETT,13589
"ASHRAF A HUSEIN, DDS",TN,BARTLETT,16380
AVE MARIA FOUNDATION OF MEMPHIS INC,TN,BARTLETT,937071
BARTLETT NEUROREHAB PHYSICAL THERAPY,TN,BARTLETT,1773
"BARTLETT OPERATOR, LLC",TN,BARTLETT,848090
BARTLETT PRESCRIPTION SHOP,TN,BARTLETT,575
"BARTLETT- RALEIGH INTERNAL MEDICINE GROUP, P. C.",TN,BARTLETT,11713
BRINK AND WHITE PEDIATRIC DENTAL ASSOCIA,TN,BARTLETT,185557
"CARESPOT OF MEMPHIS, LLC",TN,BARTLETT,2997
"CHRISTOPHER L. HENDRIX, DPM, PC",TN,BARTLETT,8007
CITY OF BARTLETT FIRE DEPARTMENT,TN,BARTLETT,45583
COLE CHIROPRACTIC CENTER OF BARTLETT,TN,BARTLETT,12459
"DAVID C PETTEY, DMD, PLLC",TN,BARTLETT,68450
DR. MARK ARMSTRONG MD PC,TN,BARTLETT,3639
DR. TRAVIS OLIVER AND ASSOCIATES,TN,BARTLETT,21648
DRC CHIROPRACTIC LLC,TN,BARTLETT,1077
E H DUDLEY DDS PLLC,TN,BARTLETT,550750
EDUCATION AND COUNSELING SOLUTIONS LLC,TN,BARTLETT,1306
"FAMILY MEDICINE GROUP, PLLC",TN,BARTLETT,15878
"FFP ACQUISITION II, LLC",TN,BARTLETT,300000
"H & M HEALTH AND WELLNESS, LLC",TN,BARTLETT,935
"HARRIS PSYCHOLOGICAL SERVICES, LLC",TN,BARTLETT,204
"HEALTHCARE TRANSPORT, LLC",TN,BARTLETT,271358
HEALTHY LIFE INC,TN,BARTLETT,42420
INFECTIOUS DX SOLUTIONS PC,TN,BARTLETT,5521
JAMES E TURNER MD PHD PC,TN,BARTLETT,185313
JOHN P STACKS JR,TN,BARTLETT,501
JOSEPH A VOLNER DDS PLLC,TN,BARTLETT,117301
JUDY JONES,TN,BARTLETT,1376
KAMEL MADARATY,TN,BARTLETT,16163
KATHERINE ALLAN,TN,BARTLETT,12048
LATONYA HARDY,TN,BARTLETT,15
LAURA F CROWE OD,TN,BARTLETT,2001
MEMPHIS KIDNEY CLINIC PLLC,TN,BARTLETT,9249
MEMPHIS OBSTETRICS AND GYNECOLOGICAL ASSOCIATION PC,TN,BARTLETT,418585
MEMPHIS SPINE AND REHAB CENTER,TN,BARTLETT,10879
MEMPHIS SURGICAL SPECIALISTS PC,TN,BARTLETT,6451
MENIMA LLC,TN,BARTLETT,27227
MICHAEL WOODBURY,TN,BARTLETT,20711
MID-SOUTH RECTAL CLINIC,TN,BARTLETT,15365
NG HOLDINGS,TN,BARTLETT,9465
"NORTH INTERNAL MEDICINE, P. C.",TN,BARTLETT,28429
"NORWOOD FAMILY EYE CARE, LLC",TN,BARTLETT,39318
NURSES ON CALL,TN,BARTLETT,437
ONE HEALTH FAMILY CLINIC LLC,TN,BARTLETT,5609
PETER BENVENUTO OD,TN,BARTLETT,9482
PHYSICIANS 1ST INC,TN,BARTLETT,4343
"PRESSURE MANAGEMENT RESOURCES, LLC",TN,BARTLETT,67457
"PRIMEHEALTH MEDICAL CENTER, PC",TN,BARTLETT,15502
PSYCHIATRY GROUP PLLC,TN,BARTLETT,12682
"STANLEY R. CRUNK, D.D.S.",TN,BARTLETT,12463
SUE PILLER,TN,BARTLETT,19599
TENNESSEE PSYCHIATRIC SERVICES PLLC,TN,BARTLETT,10505
THE CHIRO PLACE OF BARTLETT,TN,BARTLETT,18265
THE KING'S DAUGHTERS AND SONS HOME,TN,BARTLETT,879803
"TIMOTHY P. BAKELAAR, DMD, PLLC",TN,BARTLETT,66881
TRANSFORMATIONS AUTISM TREATMENT CENTER,TN,BARTLETT,28354
"UROLOGY OF MEMPHIS, PLLC",TN,BARTLETT,9581
VENKATACHALAM AYYAGARI,TN,BARTLETT,610
VERZOSA UNGAB INTERNAL MEDICINE,TN,BARTLETT,106797
"WEST TENNESSEE NEUROLOGY, P. C.",TN,BARTLETT,22492
WEST TN NEUROLOGY CLINIC PLLC,TN,BARTLETT,13187
WILLIAM WOLTERS,TN,BARTLETT,83
"WILSON AND DOWLING PRIMARY CARE, PLLC",TN,BARTLETT,6538
WOLF RIVER FAMILY FOOTCARE PLLC,TN,BARTLETT,6638
"BAXTER FAMILY DENTISTRY, PLLC",TN,BAXTER,5341
"PUTNAM COUNTY RURAL HEALTH CLINIC, INC",TN,BAXTER,2606
"UPPER CUMBERLAND MEDICAL CLINIC, INC.",TN,BAXTER,2381
NEIL MCCOY,TN,BEAN STATION,1486
SOUTHERN CARE CLINIC LLC,TN,BEAN STATION,2286
BELL BUCKLE FAMILY MEDICAL CLINIC,TN,BELL BUCKLE,5
"BELLS DEPOT, LLC",TN,BELLS,58616
"BELLS NURSING HOME, INC",TN,BELLS,990865
JAMES H & HERSCHEL L RAINES PTR,TN,BELLS,648
"KAIL, LEONARD AND ARNOLD DENTISTRY PARTNERSHIP",TN,BELLS,96423
LIBERTY MEDICAL CLINIC PC,TN,BELLS,107129
JERRY D. LOWERY,TN,BENTON,176
JOSEPH GAGER,TN,BENTON,6339
OCOEE REGIONAL HEALTH CORPORATION,TN,BENTON,498901
"PREFERRED PHARMACY, INC",TN,BENTON,92277
ALYSON R. BOYER,TN,BIG ROCK,317
OKIE'S PHARMACY II INC,TN,BLAINE,789
"ADULT AND FAMILY DENTISTRY, INC.",TN,BLOUNTVILLE,9948
"BLOUNTS OPERATOR, LLC",TN,BLOUNTVILLE,902896
CHRISTIAN CARE CENTER OF BRISTOL,TN,BLOUNTVILLE,870962
