Provider Name,State,City,Payment
ABERNATHY PHYSICAL THERAPY INC,TX,ABERNATHY,6136
PATRIOT ANESTHESIA,TX,ABERNATHY,3858
A SHRINGERI,TX,ABILENE,2039
ABILENE ADVANCED EYECARE INC.,TX,ABILENE,53978
ABILENE ARTIFICIAL LIMB CO LLP,TX,ABILENE,22237
"ABILENE BONE & JOINT CLINIC, PLLC",TX,ABILENE,223296
"ABILENE CENTER FOR ORTHOPEDIC AND MULTISPECIALTY SURGERY, L.L.C.",TX,ABILENE,85046
ABILENE CHILDRENS MEDICAL ASSOCIATION,TX,ABILENE,89481
ABILENE CHIROPRACTIC PC,TX,ABILENE,1300
"ABILENE DENTAL CARE, PLLC",TX,ABILENE,14541
ABILENE DERMATOLOGY AND SKIN SURGERY CENTER PC,TX,ABILENE,222912
"ABILENE DIAGNOSTIC CLINIC, PLLC",TX,ABILENE,519936
"ABILENE EYE CARE, INC",TX,ABILENE,785
ABILENE FAMILY AND COSMETIC DENTISTRY,TX,ABILENE,124661
"ABILENE FAMILY FOOT CENTER, P.A.",TX,ABILENE,105797
"ABILENE FAMILY HEALTH CARE, P.A.",TX,ABILENE,6562
ABILENE FAMILY MEDICAL ASSOCIATES LLP,TX,ABILENE,73255
"ABILENE HOME HEALTH PROFESSIONAL CARE, INC.",TX,ABILENE,14090
ABILENE INTERNAL MEDICINE ASSOCIATES PLLC,TX,ABILENE,21669
"ABILENE KIDNEY CLINIC, P.A.",TX,ABILENE,37122
ABILENE PEDIATRIC DENTAL ASSOCIATES PLLC,TX,ABILENE,104887
"ABILENE PREMIER EYE CARE, PLLC",TX,ABILENE,22508
ABILENE PROFESSIONAL EYECARE ASSOCIATES,TX,ABILENE,7704
ABILENE REGIONAL MENTAL HEALTH MENTAL RETARDATION CENTER,TX,ABILENE,50000
ABILENE SPEECH & HEARING CENTER,TX,ABILENE,7
ABILENE SPINE & JOINT SURGERY CENTER PA,TX,ABILENE,97816
"ABILENE SURGERY CENTER, LLC",TX,ABILENE,43998
ABILENE WHITE ROCK SURGERY CENTER LLC,TX,ABILENE,200697
ALLAN GANESH DPM,TX,ABILENE,16857
AMEETA KAPU MD PA,TX,ABILENE,1201
AMSURG ABILENE ANESTHESIA LLC,TX,ABILENE,9606
"AMY L. SOJOURNER, DDS, PLLC",TX,ABILENE,12309
"ANESTHESIA WEBB, PLLC",TX,ABILENE,6514
"ANNIE DRACHENBERG, MD PLLC",TX,ABILENE,2825
"ANTHONY CHIROPRACTIC AND WELLNESS, INC",TX,ABILENE,924
"ASMO OVERHEAD, LLP",TX,ABILENE,180970
"AUSTIN I. KING MD, PA",TX,ABILENE,2974
"BACCHUS & VAUGHAN NEUROLOGY ASSOC., LLP",TX,ABILENE,16285
BARRY MOAK,TX,ABILENE,6189
"BEYOND FAITH HOMECARE & REHAB OF ABILENE, LLC",TX,ABILENE,88552
BIG COUNTRY HEALTHCARE SERVICES LLC,TX,ABILENE,37346
BIG COUNTRY REHABILITATION INC,TX,ABILENE,101551
"BOPANNA MUCKATIRA MD, PA",TX,ABILENE,3665
BOURLAND SOBEN PLLC,TX,ABILENE,41486
BRADLEY KENDRICK,TX,ABILENE,11249
BRENDAN ONEILL,TX,ABILENE,5735
"BROOKS T. GRANT, O.D., PLLC",TX,ABILENE,44700
C L AND W PLLC,TX,ABILENE,125863
CAROL GINDRATT,TX,ABILENE,2096
"CASCADE - ABILENE HEALTH SERVICES, LTD",TX,ABILENE,784282
CHAD D EZZELL MD PA,TX,ABILENE,7529
CHARLES ANDERSON,TX,ABILENE,1632
CHARLES BLOOMER,TX,ABILENE,339
CHARLES FULLER,TX,ABILENE,5170
"CHARTWELL COMMUNITY SERVICES, INC.",TX,ABILENE,2278994
CHEST AND SLEEP MEDICINE P A,TX,ABILENE,32254
"CHRISTOPHER S EDDLEMAN, MD, PHD, PLLC",TX,ABILENE,76595
CIP NORTHSIDE LLC,TX,ABILENE,1152
CITY OF ABILENE,TX,ABILENE,892
COMPREHENSIVE PSYCHOLOGICAL SERVICES LTD,TX,ABILENE,3085
DANIEL L. MUNTON MD PA,TX,ABILENE,208038
DANNY E WHEAT,TX,ABILENE,19723
DAVID IZBRAND,TX,ABILENE,23845
DAVID MCANULTY,TX,ABILENE,1705
DAVID STUCKEY,TX,ABILENE,622
DAVID STUCKEY,TX,ABILENE,616
DCF,TX,ABILENE,190937
DEREK TULEY,TX,ABILENE,822
DISABILITY RESOURCES INC.,TX,ABILENE,39648
DONNA JORDAN DO PA,TX,ABILENE,27584
"DR J JACKSON, INTERNAL MEDICINE, PLLC",TX,ABILENE,26847
DR TIM MARTIN MD PLLC,TX,ABILENE,28507
"DR. BRETTLY J. TEAGUE, LLC",TX,ABILENE,61302
EDEN SPRINGS BEHAVIORAL SERVICES PA,TX,ABILENE,131
EDWARD DRESSEN,TX,ABILENE,1000
ELM PLACE AMBULATORY SURGICAL CENTER,TX,ABILENE,481
ENDOCRINOLOGY ASSOCIATES,TX,ABILENE,44898
"ENT SPECIALISTS OF ABILENE, LLP",TX,ABILENE,128033
ENTERPRISE ANESTHESIA SERVICES PLLC,TX,ABILENE,603
ER OPCO PARKS LLC,TX,ABILENE,681386
"ER OPCO TRS, INC",TX,ABILENE,32322
"ER OPCO WC, LLC",TX,ABILENE,306806
FALCON EMERGENCY PHYSICIANS PLLC,TX,ABILENE,107849
FAMILY MEDICINE OF ABILENE PA,TX,ABILENE,24436
FAMILY VISION ASSOCIATES LLP,TX,ABILENE,40093
"FEHR ENTERPRISES, INC.",TX,ABILENE,504
FERRAL ENDSLEY,TX,ABILENE,18800
"FINLEY AND RUNYAN, LLP",TX,ABILENE,80714
FIRST BAPTIST MISSION ACTION INC,TX,ABILENE,2833
"GARY D WALKER, MD",TX,ABILENE,41133
"GASTROENTEROLOGY ASSOC, LLP",TX,ABILENE,25884
GLEN D HALL DDS,TX,ABILENE,19370
GREG WALDRIP,TX,ABILENE,1353
GWENDOLYN MARENTES,TX,ABILENE,1135
HARDIN-SIMMONS UNIVERSITY,TX,ABILENE,1159
HENDRICK ANESTHESIA NETWORK,TX,ABILENE,1215659
"HENDRICK DIALYSIS CENTER, LLC",TX,ABILENE,28783
HENDRICK HOSPICE CARE,TX,ABILENE,604032
HENDRICK MEDICAL CENTER,TX,ABILENE,27225789
HENDRICK PROVIDER NETWORK,TX,ABILENE,3730146
HENDRICK SOUTHWESTERN HEALTH DEVELOPMENT CORPORATION,TX,ABILENE,305651
"HILL RESOURCES II, INC.",TX,ABILENE,6964
HILL RESOURCES INC.,TX,ABILENE,58016
HPN RO BILLING SERVICE LLC,TX,ABILENE,30632
IMAGING ASSOCIATES OF ABILENE LLC,TX,ABILENE,78961
INTEGRATED PAIN ASSOCIATES PA,TX,ABILENE,382415
JAMES D WEBSTER MD & ASSOCIATES,TX,ABILENE,107441
"JAMES G. HOLCOMB, CRNA, LLC",TX,ABILENE,585
JAMES MCCOY DRUG STORE INC,TX,ABILENE,5060
"JAMI ADAMS, MD, PA",TX,ABILENE,10311
"JEFF M WEBB, DDS, PLLC",TX,ABILENE,73370
"JENNIFER L. JOHNSON, MD PLLC",TX,ABILENE,4387
JET DDS PA,TX,ABILENE,38000
JOHN CASADA,TX,ABILENE,1338
JOHN L. ESTES III DDS INC,TX,ABILENE,23354
"JOHNSON CHIROPRACTIC CENTER, PC",TX,ABILENE,1320
JOHNSON DENTAL GROUP PLLC,TX,ABILENE,19046
JOSEPH HOWE CRUMBLISS MD PA,TX,ABILENE,16888
KATHRYN S NORTON MD PLLC,TX,ABILENE,4671
KATHRYN THORP,TX,ABILENE,1957
"KEVIN L. CARLTON, DDS, MS, PA",TX,ABILENE,30522
L &B DRUG INC,TX,ABILENE,1809
LARRY NORSWORTHY,TX,ABILENE,846
LEDDY BRACE & SHOE INC,TX,ABILENE,7956
LEIGH TALIAFERRO,TX,ABILENE,3295
LESLIE M. PICKETT MD PLLC,TX,ABILENE,9071
LIVING RESOURCES LLC,TX,ABILENE,71584
"LONE STAR GASTROENTEROLOGY OF ABILENE, PLLC",TX,ABILENE,9481
LOVE AND CARE RESIDENTIAL LLC,TX,ABILENE,9656
LUSH DENTAL INC,TX,ABILENE,10080
MARTIN V. SLOAN,TX,ABILENE,26032
MATTHEW WICK,TX,ABILENE,15218
MICHELE MCALISTER,TX,ABILENE,483
MONICA WICHNER,TX,ABILENE,17884
NEOBEGINNINGS PLLC,TX,ABILENE,185430
"NEOSCULPT LASER VEIN & COSMETIC SURGERY CENTER, PLLC",TX,ABILENE,17490
NEUROLOGICAL ASSOCIATES OF NORTH TEXAS,TX,ABILENE,13217
NEUROSURGERY ASSOCIATES OF WEST TEXAS PA,TX,ABILENE,25249
NEW HOPE BEHAVIORAL HEALTH LLC,TX,ABILENE,1878
NEXTCARE PRIMARY CARE TX PLLC,TX,ABILENE,17691
NORMAN J DOZIER MD PLLC,TX,ABILENE,75140
"OCEANS BEHAVIORAL HOSPITAL OF ABILENE, LLC",TX,ABILENE,444975
OPHTHALMOLOGY SPECIALISTS OF TEXAS PLLC,TX,ABILENE,658805
"ORTHOPEDIC ASSOCIATES OF ABILENE, L.L.P.",TX,ABILENE,27363
PATRICIA SHIRLEY MD PLLC,TX,ABILENE,3324
PAYNE & KING PLLC,TX,ABILENE,25439
"PINNACLE HEALTH FACILITIES OF TEXAS X, LP",TX,ABILENE,63236
"PREMIER DERMATOLOGY, PLLC",TX,ABILENE,16117
"PRIMARY NURSE CARE, INC.",TX,ABILENE,50081
PROFESSIONAL ASSOCIATION FOR PEDIATRICS,TX,ABILENE,162836
PROFESSIONAL HEALTH SERVICES INC.,TX,ABILENE,3546
"RECOURAGE COUNSELING, LLC",TX,ABILENE,1837
"RELIANCE MEDICAL, INC.",TX,ABILENE,28553
RESTORE WELLNESS PRIMARY CARE PLLC,TX,ABILENE,264
ROBERT LAIRD,TX,ABILENE,5917
ROBERT S. LEVERTON MD PA,TX,ABILENE,40332
ROGER RUSSELL,TX,ABILENE,4000
RUSSELL DICKERSON,TX,ABILENE,5805
"RUSSELL LILES, O.D., PLLC",TX,ABILENE,541
SAMUEL BRINKMAN,TX,ABILENE,18498
SANDRA J. HAZELIP D.O PLLC,TX,ABILENE,3230
SCOTT S CARPENTER DO PLLC,TX,ABILENE,909
SCREENING FOR LIFE LLC,TX,ABILENE,114212
SERENITY FOUNDATION OF TEXAS,TX,ABILENE,103997
"SHARPER EYECARE, PA",TX,ABILENE,6667
"SIVLEY AND TOOGOOD, DDS",TX,ABILENE,53081
SLP ABILENE II LLC,TX,ABILENE,755078
SOUTH ABILENE RADIOLOGY LLC,TX,ABILENE,1369
SOUTH TAYLOR EMERGENCY MEDICAL SERVICE,TX,ABILENE,18078
SOUTHALL CHIROPRACTIC PLLC,TX,ABILENE,383
"SOUTHWEST DENTAL CARE OF ABILENE, PLLC",TX,ABILENE,70786
"SPARKS AND EDINGTON, LLC",TX,ABILENE,106605
SPINAL DC LLC,TX,ABILENE,69660
"ST. CYR, LLC",TX,ABILENE,2563
"STEFANIE B MCCAIN, M.D. PA",TX,ABILENE,3165
"STEPHANIA GILKEY, PLLC",TX,ABILENE,121
STEPHEN F OWEN,TX,ABILENE,2917
"STEVEN WALLACE BROWN, M.D., P.A.",TX,ABILENE,24720
SUBBARAO DAGGUBATI,TX,ABILENE,6860
TAYLOR EMERGENCY MEDICINE ASSOCIATES PA,TX,ABILENE,50698
"TAYLOR HM PHYSICIAN SERVICES, PA",TX,ABILENE,57205
"TERI BROOKS LOVELACE, DDS, MS, PA",TX,ABILENE,133736
TEXAS LONE STAR EYE ASSOCIATES INC,TX,ABILENE,2845
TEXAS MIDWEST GASTROENTEROLOGY CENTER PA,TX,ABILENE,54113
TEXAS MIDWEST OPTICAL LLC,TX,ABILENE,582
"TEXAS MIDWEST SURGERY CENTER, LLC",TX,ABILENE,320589
THOMAS MILLER,TX,ABILENE,9322
THUY TRAN,TX,ABILENE,933
TIMOTHY MELTON,TX,ABILENE,3951
TROY CARTER,TX,ABILENE,31512
"VELITA SMITH HOME HEALTH, INC.",TX,ABILENE,721
"VICTOR LEE ORTHODONTICS, PLLC",TX,ABILENE,882443
VIRTUE ANESTHESIA PLLC,TX,ABILENE,3208
"WEST TEXAS BACK CLINIC, P.C.",TX,ABILENE,1462
WEST TEXAS LUNG CLINIC PA,TX,ABILENE,24630
"WEST TEXAS RADIOLOGY GROUP, PA",TX,ABILENE,43534
WEST TEXAS REHABILITATION CENTER,TX,ABILENE,373733
WEST TEXAS URGENT CARE LLC,TX,ABILENE,4963
WILLIAM AKIN,TX,ABILENE,4618
WILLIAM SHUDDE,TX,ABILENE,8529
BRENT M STEADMAN,TX,"ABILENE, TX",2063
"STEADMAN PEDEIATRICS, PLLC",TX,"ABILENE, TX",27202
J K MANGREM,TX,ABLLENE,225
"CENTRAL VIRGINIA SURGI-CENTER, LP",TX,ADDISIN,978076
4 CORNERS RESIDENTIAL SERVICES LLC,TX,ADDISON,30268
A TO Z MEDICAL EQUIPMENT & SUPPLIES LLC,TX,ADDISON,72501
"AARON S. BRANSKY, MD PA",TX,ADDISON,2397
ADDISON CHIROPRACTIC PA,TX,ADDISON,9067
ADDISON INTERNAL MEDICINE PA,TX,ADDISON,138985
"ADVANCED AMBULATORY SURGICAL CARE, L.P.",TX,ADDISON,981392
"ADVANCED SURGICAL CONCEPTS, LLC",TX,ADDISON,515230
AHSAN RIAZ MD PLLC,TX,ADDISON,5906
AJA WALKER,TX,ADDISON,20627
"ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER, LLC",TX,ADDISON,735765
AMBULATORY SURGICAL INSTITUTE OF DALLAS LLC,TX,ADDISON,39930
AMERICAN CURRENT CARE OF ARIZONA PA,TX,ADDISON,31705
AMERICAN CURRENT CARE OF ARKANSAS PA,TX,ADDISON,1744
"AMERICAN CURRENT CARE OF CALIFORNIA, A MEDICAL CORPORATION",TX,ADDISON,39670
AMERICAN CURRENT CARE OF DELAWARE PA,TX,ADDISON,617
"AMERICAN CURRENT CARE OF HAWAII, PROF. CORP.",TX,ADDISON,1635
AMERICAN CURRENT CARE OF ILLINOIS PC,TX,ADDISON,33193
AMERICAN CURRENT CARE OF KANSAS PA,TX,ADDISON,19101
AMERICAN CURRENT CARE OF MASSACHUSETTS PC,TX,ADDISON,469
AMERICAN CURRENT CARE OF MICHIGAN PC,TX,ADDISON,46877
AMERICAN CURRENT CARE OF NEBRASKA PC,TX,ADDISON,2475
AMERICAN CURRENT CARE OF NEW JERSEY PA,TX,ADDISON,35388
AMERICAN CURRENT CARE OF NORTH CAROLINA PC,TX,ADDISON,22262
AMERICAN CURRENT CARE OF OHIO PA CO,TX,ADDISON,6703
AMERICAN CURRENT CARE PA,TX,ADDISON,520888
"ARLINGTON ORTHOPEDIC AND SPINE HOSPITAL, LLC",TX,ADDISON,2178610
ARROWHEAD ENDOSCOPY AND PAIN MANAGEMENT CENTER LLC,TX,ADDISON,57212
"AUDUBON AMBULATORY SURGERY CENTER, LLC",TX,ADDISON,1246425
AVAIL HOME HEALTH SERVICES LLC,TX,ADDISON,52905
"BAPTIST PLAZA SURGICARE, L.P.",TX,ADDISON,1600545
"BAYLOR SURGICARE AT BAYLOR PLANO, LLC",TX,ADDISON,318219
"BAYLOR SURGICARE AT BLUE STAR, LLC",TX,ADDISON,90850
"BAYLOR SURGICARE AT GRANBURY, LLC",TX,ADDISON,329035
"BAYLOR SURGICARE AT MANSFIELD, LLC",TX,ADDISON,1215262
"BAYLOR SURGICARE AT NORTH DALLAS, LLC",TX,ADDISON,1244757
"BAYLOR SURGICARE AT PLANO PARKWAY, LLC",TX,ADDISON,258276
"BAYLOR SURGICARE AT PLANO, LLC",TX,ADDISON,962441
"BEAUMONT SURGICAL AFFILIATES, LTD",TX,ADDISON,111100
"BELLAIRE OUTPATIENT SURGERY CENTER, L.L.P.",TX,ADDISON,870995
"BEN-ORA, HANSEN & VANESIAN IMAGING, LTD.",TX,ADDISON,139588
"BERKSHIRE EYE, LLC",TX,ADDISON,210498
