Provider Name,State,City,Payment
ALPINE DERMATOLOGY PC,UT,ALPINE,3106
ALPINE PHYSICAL THERAPY LLC,UT,ALPINE,1500
ALPINE RECOVERY LODGE,UT,ALPINE,437062
CRAIG WESTOBY,UT,ALPINE,6
HAYES CHIROPRACTIC LLC,UT,ALPINE,2369
HEBER VALLEY MEDICAL,UT,ALPINE,56220
JAMES CLOYD,UT,ALPINE,1716
KEYSTONE FAMILY COUNSELING PLLC,UT,ALPINE,337
"LONE PEAK DENTAL, INC.",UT,ALPINE,13081
"MICHAEL D ROSVALL, DDS MS, INC",UT,ALPINE,40547
RANDALL M. STUCKI  DDS PC,UT,ALPINE,10433
ALTA MEDICAL SERVICES PC,UT,ALTA,8036
ABILITY DIAGNOSTICS LLC,UT,AMERICAN FORK,135697
ALPINE CONSUMER MARKETING & SOFTWARE CONSULTING LLC,UT,AMERICAN FORK,929
"AMERICAN FORK CARE CENTER,LLC",UT,AMERICAN FORK,643312
AMERICAN FORK CITY CORPORATION,UT,AMERICAN FORK,16545
AMERICAN FORK ORTHODONTICS PC,UT,AMERICAN FORK,45461
AMERICAN FORK VISION CENTER INC,UT,AMERICAN FORK,56
BEL AIRE SENIOR LIVING,UT,AMERICAN FORK,20039
BRANDON TAYLER DDS LLC,UT,AMERICAN FORK,42713
BRENT GOODSELL,UT,AMERICAN FORK,7344
BRIGHTWORK VILLA AMERICAN FORK LLC,UT,AMERICAN FORK,5365
CADENCE CHIROPRACTIC PLLC,UT,AMERICAN FORK,456
DAVID R BLACKHURST DDS LLC,UT,AMERICAN FORK,10051
"DENTAL TRANSFORMATIONS, LLC",UT,AMERICAN FORK,5974
DIGNITY HOSPICE OF UTAH,UT,AMERICAN FORK,44953
"ELITE DENTAL, LLC",UT,AMERICAN FORK,41313
GUNN CHIROPRACTIC PLLC,UT,AMERICAN FORK,877
"HEARTS FOR HOSPICE, LLC",UT,AMERICAN FORK,505543
HEIDI HERAS,UT,AMERICAN FORK,466
HUMAN PERFORMANCE INSTITUTE PC,UT,AMERICAN FORK,17230
"JAMES H. KELSON, A PROFESSIONAL PHYSICAL THERAPY CORPORATION",UT,AMERICAN FORK,11879
JEFFREY D. HYDE DDS MSD PC,UT,AMERICAN FORK,14784
"JOSEPH D CHRISTENSEN ENDODONTICS , P.C.",UT,AMERICAN FORK,15952
JOSHUA BRYAN,UT,AMERICAN FORK,766
KENDELL T DAVIES DMD PLLC,UT,AMERICAN FORK,69535
L. CRAIG ROSVALL DDS PC,UT,AMERICAN FORK,11348
LUDMIL MANOV MD PC,UT,AMERICAN FORK,529
MICHELLE C JORGENSEN DDS PC,UT,AMERICAN FORK,91664
MOUNTAIN WEST FOOT & ANKLE INSTITUTE PLLC,UT,AMERICAN FORK,11834
NEUROLOGICAL ASSOCIATES,UT,AMERICAN FORK,93066
PACK CHIROPRACTIC CLINIC INC,UT,AMERICAN FORK,37
PEAK ORTHODONTICS PLLC,UT,AMERICAN FORK,23209
ROGERS FOOT & ANKLE INSTITUTE,UT,AMERICAN FORK,39428
SANDRA MOODY,UT,AMERICAN FORK,287
SCOTT D CHRISTENSEN DPT PLLC,UT,AMERICAN FORK,6896
SMITH AND MACDONALD PEDIATRIC DENTISTRY,UT,AMERICAN FORK,147054
"STONEHAVEN DENTAL, LLC",UT,AMERICAN FORK,1244667
TAYLOR DRUG INC,UT,AMERICAN FORK,895
"TEMPLE VIEW CHIROPRACTIC CLINIC, INC",UT,AMERICAN FORK,6874
TIMPANOGOS TERRACE ASSISTED LIVING,UT,AMERICAN FORK,68839
TOTAL KNEE AND HIP REHABILITATION INC,UT,AMERICAN FORK,77796
WILDE CHIROPRACTIC LLC,UT,AMERICAN FORK,663
"YUMA SENIOR LIVING, LLC",UT,AMERICAN FORK,148719
VERNON J LAMBORN DDS,UT,APPLE VALLEY,16426
BEAVER FIRE SERVICE DISTRICT 1,UT,BEAVER,4661
"BEAVER MEDICAL, LLC",UT,BEAVER,371824
BEAVER VALLEY HOSPITAL,UT,BEAVER,37526682
DONALD MANGUM,UT,BEAVER,1553
"WAYNE COMMUNITY HEALTH CENTER, INC",UT,BICKNELL,703149
BLUE MOUNTAIN HOSPITAL,UT,BLANDING,3625577
EXERGY REHABILITATION,UT,BLANDING,1393
"PRECISION REHABILITATION, INCORPORATED",UT,BLANDING,35097
SAN JUAN MENTAL HEALTH-SUBSTANCE ABUSE SPECIAL SERVICE DISTRICT,UT,BLANDING,1609
AWAKENING BEHAVIORAL HEALTH LLC,UT,BLUFFDALE,94929
BLUFFDALE CITY CORP,UT,BLUFFDALE,799
"DEBORAH A CHRISTENSEN PHD & ASSOCIATES, INC",UT,BLUFFDALE,2104
"ERIC E MARTIN, DDS, PC",UT,BLUFFDALE,131548
"GENERATIONS MEDICAL GROUP, LLC",UT,BLUFFDALE,333
LIBERTY ADDICTION RECOVERY CENTERS LLC,UT,BLUFFDALE,6809
ADAGIO HOSPICE LLC,UT,BOUNTIFUL,30147
ADRIAN J VANDE MERWE DDS PC,UT,BOUNTIFUL,55029
ALTITUDE KIDNEY HEALTH PLLC,UT,BOUNTIFUL,774
BAHR DERMATOLOGY PC,UT,BOUNTIFUL,18461
"BARTON CARE, LLC",UT,BOUNTIFUL,176542
BIO ENERGY SYNERGY TECHNOLOGY CHIROPRACTIC LLC,UT,BOUNTIFUL,517
"BOUNTIFUL CARE CENTER, LLC",UT,BOUNTIFUL,705816
BOUNTIFUL EYE CARE PC,UT,BOUNTIFUL,13514
BOUNTIFUL FAMILY HEALTHCARE,UT,BOUNTIFUL,3180
BOUNTIFUL HEARING CENTER PLLC,UT,BOUNTIFUL,444
BOUNTIFUL RIDGE DENTAL LLC,UT,BOUNTIFUL,10553
BOUNTIFUL VISION PLAZA PC,UT,BOUNTIFUL,14399
BRADLEY DEVEREAUX,UT,BOUNTIFUL,38
"CANYON RIDGE CHIROPRACTIC, INC.",UT,BOUNTIFUL,251
CANYON RIDGE PAIN AND SPINE PC,UT,BOUNTIFUL,56152
CENTRAL DRUG LLC,UT,BOUNTIFUL,233
CHRISTINE CHENG,UT,BOUNTIFUL,1180
COMMUNITY CHIROPRACTIC INC.,UT,BOUNTIFUL,19589
DAVID W STEVENS MD PC,UT,BOUNTIFUL,21430
DENTAL DESIGNS OF BOUNTIFUL,UT,BOUNTIFUL,20997
DEVIN GERRARD DDS PLLC,UT,BOUNTIFUL,72435
DICKS FAMILY PHARMACY INC,UT,BOUNTIFUL,214
DR CLINT J GROVER CHIROPRACTOR PLLC,UT,BOUNTIFUL,64
EVERGREEN HOSPICE LLC,UT,BOUNTIFUL,34820
FELLER BEHAVIORAL HEALTH SERVICES,UT,BOUNTIFUL,1267
FIRSTMED NORTH LLC,UT,BOUNTIFUL,1365
GEORGE WILSON,UT,BOUNTIFUL,3689
GLOBAL THERAPIES LLC,UT,BOUNTIFUL,165
"GRANT S. BAILEY DDS, MSD, PC",UT,BOUNTIFUL,33858
GREGORY L MAYER,UT,BOUNTIFUL,2043
"GULSO PODIATRY, LLC",UT,BOUNTIFUL,1604
HU DING MD PC,UT,BOUNTIFUL,3626
INTEGRATED FUNCTIONAL MEDICINE,UT,BOUNTIFUL,3648
JC ALJAMMAL PLLC,UT,BOUNTIFUL,1098
JEFFREY WATERHOUSE DDS MS PC,UT,BOUNTIFUL,10234
JOE R NIELSEN MD PC,UT,BOUNTIFUL,14000
JOSHUA OAKS,UT,BOUNTIFUL,43729
KEVIN CLARK,UT,BOUNTIFUL,2923
KEYSTONE SENIOR LIVING LLC,UT,BOUNTIFUL,47433
KNIGHT CHIROPRACTIC CLINIC PC,UT,BOUNTIFUL,54
LAKESIDE AUDIOLOGY LLC,UT,BOUNTIFUL,194
LAKESIDE ORTHODONTICS PC,UT,BOUNTIFUL,1379
LEGACY DERMATOLOGY,UT,BOUNTIFUL,4755
"LEVO DENTAL, LLC",UT,BOUNTIFUL,29862
LIFETOUCH LLC,UT,BOUNTIFUL,16265
MACKAY DENTAL CARE,UT,BOUNTIFUL,114384
MARTHA A KEIL LCSW PC,UT,BOUNTIFUL,354
MASON VALLEY RESIDENCE,UT,BOUNTIFUL,197816
MD ECF SERVICES,UT,BOUNTIFUL,4213
MICHAEL BRYAN ALLISON,UT,BOUNTIFUL,2055
MOUNTAIN WEST MEDICINE INC,UT,BOUNTIFUL,41528
MT OGDEN EYE CENTER LLC,UT,BOUNTIFUL,488214
NANCY PANTZIRIS,UT,BOUNTIFUL,3193
