Provider Name,State,City,Payment
"ABINGDON CENTER FOR PSYCHIATRY, COUNSELING & EDUCATION",VA,ABINGDON,1823
ABINGDON CONVALESCENT AMBULANCE SERVICE INCORPORATED,VA,ABINGDON,87048
"ABINGDON EAR, NOSE, & THROAT ASSOCIATES, P.C.",VA,ABINGDON,188133
ABINGDON EYE ASSOCIATES PC,VA,ABINGDON,7536
"ABINGDON FAMILY HEALTHCARE, INC.",VA,ABINGDON,142815
ABINGDON FOOT & ANKLE CLINIC PC,VA,ABINGDON,15499
ABINGDON HEARING CARE,VA,ABINGDON,422
ABINGDON INTEGRATIVE PSYCHIATRY LLC,VA,ABINGDON,1058
ABINGDON INTERNAL MEDICINE PC,VA,ABINGDON,36511
ABINGDON OPTICIANS LTD,VA,ABINGDON,23
ABINGDON PSYCHOLOGICAL SERVICES,VA,ABINGDON,1563
ABINGDON RADIOLOGY SERVICES LTD,VA,ABINGDON,66967
ABINGDON THERAPY SERVICES,VA,ABINGDON,19725
"AMEDISYS HOME HEALTH OF VIRGINIA, LLC",VA,ABINGDON,764057
AVERY PARTNERS INC.,VA,ABINGDON,56346
BERNARD A TISDALE MD PC,VA,ABINGDON,23061
"BLUE MOUNTAIN THERAPY, LLC",VA,ABINGDON,196572
"BRISTOL HOME INFUSION, INC",VA,ABINGDON,16020
BROWN DENTAL ASSOCIATES PC,VA,ABINGDON,35652
CARLA KEENE DDS PC,VA,ABINGDON,20409
CHAD L WESTFALL DDS PC,VA,ABINGDON,52668
CHILHOWIE AMBULANCE SERVICE INC,VA,ABINGDON,222250
CHIROPRACTIC FIRST OF SWVA ABINGDON,VA,ABINGDON,4721
CORNERSTONE THERAPY & BALANCE CENTER LLC,VA,ABINGDON,16555
"DONNA KIM NAFFAH, LPC",VA,ABINGDON,1172
"EAR, NOSE, THROAT & ALLERGY CONSULTANTS, P.C.",VA,ABINGDON,7254
"EVELYN ROLON, DMD, PLLC",VA,ABINGDON,79696
EYE PHYSICIANS OF SOUTHWEST VIRGINIA PC,VA,ABINGDON,80690
FINNEYS INCORPORATED,VA,ABINGDON,1904
FRANCES ANNE JOHNSTON DDS PC,VA,ABINGDON,17806
FRENCH MOORE III DDS PC,VA,ABINGDON,39159
"GREGORY D. OWENS, DDS",VA,ABINGDON,10137
HIBERNIAN NEPHROLOGY GROUP,VA,ABINGDON,20085
HIGHLANDS COMMUNITY SERVICES BOARD,VA,ABINGDON,724431
"HIGHLANDS PEDIATRICS, P.C.",VA,ABINGDON,193312
"HOME NURSING SERVICE OF SOUTHWEST VIRGINIA, INC.",VA,ABINGDON,60827
HOPE AND HEALING COUNSELING CENTER LLC,VA,ABINGDON,47935
"JENNIFER B. ELY, L.C.S.W., P.C.",VA,ABINGDON,1752
KARILYN SHIPMAN,VA,ABINGDON,1612
"LACYONI MORAES, MD, PC",VA,ABINGDON,5485
LILLIAN H OGLE LCSW PC,VA,ABINGDON,1949
"MAC'S MEDICAL EQUIPMENT AND SUPPLIES, INC.",VA,ABINGDON,25069
MCAP ABINGDON LLC,VA,ABINGDON,313077
"MICHAEL D. DOTY, DDS",VA,ABINGDON,64030
MICHAEL'S PHARMACY,VA,ABINGDON,1861
MUSICK CHIROPRACTIC CENTER PLC,VA,ABINGDON,5510
SLEEP BETTER ABINGDON LLC,VA,ABINGDON,73
VIRGINIA SPORTS AND CHIROPRACTIC LLC,VA,ABINGDON,5754
WASHINGTON COUNTY LIFE SAVING CREW INC,VA,ABINGDON,22318
"WILLIAM M. HANDY, M.D., P.C.",VA,ABINGDON,108214
WILSON PHARMACY INC,VA,ABINGDON,5340
MURRAY E JOINER JR MD PC,VA,ABINGTON,159282
"BORTNICK & FURMAN, P.C.",VA,ACCOMAC,15563
"PT PLUS AT STUARTS DRAFT, LLC",VA,AFTON,4113
"PT PLUS CHARLOTTESVILLE, INC.",VA,AFTON,3995
"PT PLUS OF AFTON, LLC",VA,AFTON,8547
"PT PLUS OF AUGUSTA, LLC",VA,AFTON,4194
"PT PLUS OF LOVINGSTON, LLC",VA,AFTON,10057
ALBERTA VOLUNTEER FIRE DEPARTMENT,VA,ALBERTA,3030
ALICE M PRITCHETT,VA,ALBERTA,167
GOOD VIBES MEDICAL TRANSPORTATION LLC,VA,ALBERTA,14426
"SUNSHINE MEDICAL TRANSPORTATION, LLC",VA,ALBERTA,4818
ALDIE FAMILY & COSMETIC DENTISTRY PC,VA,ALDIE,97667
BROWN FRANKENBERRY PC,VA,ALDIE,9141
CHANTILLY REHAB PHYSICIANS PC,VA,ALDIE,52056
DAVID SCHLEIFER,VA,ALDIE,3
DR ANISA OMAR DDS PC,VA,ALDIE,25538
NOVA ALLERGY GROUP LLC,VA,ALDIE,14231
PULMONARY CARE CONSULTANTS OF NORTHERN VA,VA,ALDIE,3576
PULMONARY CENTER OF NORTHERN VIRGINIA PLLC,VA,ALDIE,5826
RAJDEEP PARMAR,VA,ALDIE,5104
SAFE HARBOR CHRISTIAN COUNSELING OF NORTHERN VIRGINIA LLC,VA,ALDIE,225
ST THEODORE LLC DBA TED PHARMACY,VA,ALDIE,7281
"STONE RIDGE ORAL SURGERY, PLLC",VA,ALDIE,25125
STONE SPRINGS DENTISTRY PLLC,VA,ALDIE,54734
VCM FAMILY MEDICINE,VA,ALDIE,68
"1ST AMERICAN HOME HEALTH CARE SERVICES, INC",VA,ALEXANDRIA,10788
A BRADLEY CHAPMAN MD AND FRANK E MICHENER MD LTD,VA,ALEXANDRIA,7215
AAA HOME CARE LLC,VA,ALEXANDRIA,16720
ABRAHAM A COSTER DPM LTD,VA,ALEXANDRIA,83448
"ACCESSIBLE PHYSICIAN HOME CARE, LLC",VA,ALEXANDRIA,10611
ADVANCED DERMATOLOGY OF VIRGINIA INC,VA,ALEXANDRIA,137561
ADVANCED MEDICAL CARE INC.,VA,ALEXANDRIA,102
ADVANCED NEUROLOGY CARE CENTER PC,VA,ALEXANDRIA,28184
ADVANCED PACE FOOT AND ANKLE CENTER,VA,ALEXANDRIA,12860
ADVANCED RETINA CENTER LC,VA,ALEXANDRIA,88878
"AFFILIATES IN PLASTIC SURGERY, LLC",VA,ALEXANDRIA,92891
AGAPE HEALTH MANAGEMENT INC,VA,ALEXANDRIA,444067
AGAPE PHARMACY INC.,VA,ALEXANDRIA,2853
AHMAD F. AMIN D.D.S P.C,VA,ALEXANDRIA,8407
AHMED ELEBIARY MD,VA,ALEXANDRIA,10794
AKESO OROFACIAL SURGERY P.C,VA,ALEXANDRIA,48088
ALEXANDRIA ASSOCIATES IN DERMATOLOGY,VA,ALEXANDRIA,130347
"ALEXANDRIA CHILDREN'S DENTISTRY, PC",VA,ALEXANDRIA,162104
ALEXANDRIA CHIROPRACTIC CENTER INC,VA,ALEXANDRIA,876
"ALEXANDRIA DENTAL ART, PLLC",VA,ALEXANDRIA,12780
ALEXANDRIA DENTAL CARE P.C.,VA,ALEXANDRIA,46999
ALEXANDRIA DENTAL CENTER,VA,ALEXANDRIA,19069
"ALEXANDRIA HEALTH CARE CENTER, PLLC",VA,ALEXANDRIA,14726
ALEXANDRIA INFECTIOUS DISEASE ASSOCIATES PC,VA,ALEXANDRIA,15541
ALEXANDRIA INTERNAL MEDICINE LTD,VA,ALEXANDRIA,7484
"ALEXANDRIA KIDS DENTISTRY, PC",VA,ALEXANDRIA,164606
ALEXANDRIA LAKE RIDGE PEDIATRICS LTD,VA,ALEXANDRIA,244653
