Provider Name,State,City,Payment
"JAMES F. SIEBERTH, DDS, MS",VI,BATON ROUGE,12478
DR.JOYCE THOMAS-DIXON,VI,CHARLOTTE AMALIE,10587
"DUANNE W. JONES DDS, INC",VI,CHARLOTTE AMALIE,474662
WILSON HEALTHCARE CONSULTANTS,VI,CHARLOTTE AMALIE,14746
ACUTE ALTERNATIVE MEDICAL GROUP,VI,CHRISTIANSTED,47027
ACUTE ALTERNATIVE SLEEP CENTER LLC.,VI,CHRISTIANSTED,1438
ANGEL LAKE,VI,CHRISTIANSTED,7578
CARLOS SANCHEZ,VI,CHRISTIANSTED,2070
CARMEN CINTRON,VI,CHRISTIANSTED,2882
"CLINICAL LABORATORY, INC.",VI,CHRISTIANSTED,52067
CONRAD SMITH,VI,CHRISTIANSTED,730
CONTINUUM CARE HOME HEALTH LLC,VI,CHRISTIANSTED,44102
DELGIACCO MEDICAL,VI,CHRISTIANSTED,40824
DIALYSIS ACCESS SPECIALISTS LLC,VI,CHRISTIANSTED,16718
EVADNE SANG,VI,CHRISTIANSTED,884
FIRST STEP THERAPY,VI,CHRISTIANSTED,2190
GASNEL BRYAN,VI,CHRISTIANSTED,696
GOVERNOR JUAN F LUIS HOSPITAL AND MEDICAL CENTER,VI,CHRISTIANSTED,5931388
GRAHAM UROLOGICAL CENTER LLC,VI,CHRISTIANSTED,38456
IMAGING CENTER PC,VI,CHRISTIANSTED,38551
JOHN PEREZ,VI,CHRISTIANSTED,12498
LINDSY WAGNER LLC,VI,CHRISTIANSTED,106713
LLOYD HENRY,VI,CHRISTIANSTED,1989
LUIS FRIAS,VI,CHRISTIANSTED,1222
MARC ABRAMSON,VI,CHRISTIANSTED,3728
MEDICAL IMAGING INC,VI,CHRISTIANSTED,8380
"MICHELLE N. DIZON, M.D., P.C.",VI,CHRISTIANSTED,7791
"PEDIATRIC CARE CENTER, LLC",VI,CHRISTIANSTED,42181
PLESSEN EYE LLC,VI,CHRISTIANSTED,78888
"PLESSEN MEDICAL GROUP, LLC",VI,CHRISTIANSTED,32025
"PLESSEN OPTICAL, LLC",VI,CHRISTIANSTED,3574
"PRIMARY CARE GYN, PLLC",VI,CHRISTIANSTED,2019
PRIMARY CARE PLLC,VI,CHRISTIANSTED,17229
REHABILITATION SERVICES OF ST CROIX,VI,CHRISTIANSTED,22208
RENEE GEORGES,VI,CHRISTIANSTED,7657
ROBERT EDWARD MONOKIAN PC,VI,CHRISTIANSTED,3
SLEEP DEEP ANESTHESIA LLC,VI,CHRISTIANSTED,2780
ST CROIX BEHAVIORAL HEALTH CENTER LLC,VI,CHRISTIANSTED,504
"ST CROIX FAMILY MEDICINE,LLC",VI,CHRISTIANSTED,6572
ST. CROIX VISION CENTER,VI,CHRISTIANSTED,65459
"THE HEART CENTER, PC",VI,CHRISTIANSTED,13457
TWINCITYCARE INC,VI,CHRISTIANSTED,4922
URBAN FOOT CARE CENTER PC,VI,CHRISTIANSTED,111734
WALTER GARDINER,VI,CHRISTIANSTED,17300
LISA MCMAHON,VI,CHRISTIANSTED ST CRO,4021
"JESSICA SCHNELL PHYSICAL THERAPY, LLC",VI,CRUZ BAY ST JOHN,5003
AAA CHIRO & REHAB SERVICES LLC,VI,FREDERIKSTED,151
"FREDERIKSTED HEALTH CARE, INC.",VI,FREDERIKSTED,712831
MASSABESIC HEALTH RESOURCES VI PC,VI,FREDERIKSTED,4475
NEIGHBORHOOD PHARMACY LLC,VI,FREDERIKSTED,353
RAPHAEL GARCIA,VI,FREDERIKSTED,2949
AGAPE' WELLNESS CENTER & WOUND CARE LLC,VI,KINGSHILL,8823
ELIZABETH DUMAS,VI,KINGSHILL,2581
GARY JETT MD LLC,VI,KINGSHILL,8067
OLIVINE ANNE TREASURE MD,VI,KINGSHILL,16115
WILLIAMS FAMILY CHIROPRACTIC LLC,VI,KINGSHILL,166
RIVER CITY COMPREHENSIVE COUNSELING SERV,VI,RICHMOND,61404
ST. THOMAS EAST END MEDICAL CENTER CORPORATION,VI,SAINT THOMAS,185737
SYNERGY FITNESS AND WELLNESS CENTER,VI,SAINT THOMAS,17950
"TAI C HUNTE, MD, LLC",VI,SAINT THOMAS,4316
"CARDIOVASCULAR ASSOCIATES OF THE VI, PLLC",VI,ST CROIX,3351
CHARLOTTE HENRY,VI,ST CROIX,169
"COG RESTORE, LLC",VI,ST CROIX,34305
"EYE CLINIC,LLC",VI,ST CROIX,11044
RISA NIELSEN,VI,ST CROIX,10898
ST CROIX GASTROENTEROLOGY CENTER LLC,VI,ST CROIX,16338
VI PATHOLOGY LLC,VI,ST CROIX,3154
WALTER J M PEDERSEN JR MD PC,VI,ST CROIX,6644
MYRAH KEATING SMITH COMMUNITY HEALTH CENTER,VI,ST JOHN,3480
AAC - AIR AMBULANCE CARIBBEAN INC,VI,ST THOMAS,2041594
ALEXANDER LENARD,VI,ST THOMAS,7
ALFRED HEATH,VI,ST THOMAS,3004
AMBULATORY CARE CLINIC L.L.C,VI,ST THOMAS,24238
"BISCOE ENTERPRISES, PC",VI,ST THOMAS,16663
BRACES PLUS PC,VI,ST THOMAS,40150
"CARIBBEAN CHIROPRACTIC CENTER, LLC",VI,ST THOMAS,1676
CARIBBEAN HEMATOLOGY AND ONCOLOGY CENTER LLC,VI,ST THOMAS,7059
CARICARE FAMILY HEALTH SERVICES LLC,VI,ST THOMAS,15347
"CHILDREN'S DENTAL CARE, INC.",VI,ST THOMAS,63799
"COMMUNITY MEDICAL LABORATORY, INC.",VI,ST THOMAS,20689
COMPREHENSIVE ORTHOPEDICS LLC,VI,ST THOMAS,44334
COMPREHENSIVE PRIMARY CARE SPECIALISTS LLC,VI,ST THOMAS,10119
"CONTINUUM CARE, INC.",VI,ST THOMAS,149050
CYNTHIA DE GUIA BURT,VI,ST THOMAS,678
DENITA BOSCHULTE,VI,ST THOMAS,1014
DEPARTMENT OF HEALTH GOVT OF THE VIRGIN ISLANDS,VI,ST THOMAS,55296
DERRICK D. JONES P C,VI,ST THOMAS,41
FRANK ODLUM,VI,ST THOMAS,7559
GAYANN HALL,VI,ST THOMAS,2001
GIGI CAINES LLC,VI,ST THOMAS,5683
"GILBERT K. COMISSIONG, M.D. LLC",VI,ST THOMAS,3964
GLENDA WRENSFORD,VI,ST THOMAS,1072
HAVENSIGHT MEDICAL LABORATORY INC,VI,ST THOMAS,364
HEALING TREE PHYSICAL THERAPY CENTER LLC,VI,ST THOMAS,1936
"HEALTHQUEST, LLC",VI,ST THOMAS,133556
"HILLARY WOODSON, MD PC",VI,ST THOMAS,18967
JOHN FRANKLIN MD PC,VI,ST THOMAS,22147
KEVIN LENAHAN,VI,ST THOMAS,761
"LISA A. YANNI, DC",VI,ST THOMAS,2525
"OPHTHALMOLOGY CONSULTANTS, PC",VI,ST THOMAS,204913
PAYNE REHABILITATION LLC,VI,ST THOMAS,5252
"PREMIER HEALTH CARE SERVICES, LLC",VI,ST THOMAS,37759
PROFESSIONAL PSYCHOLOGICAL SERVICES,VI,ST THOMAS,1008
RED HOOK FAMILY PRACTICE PC,VI,ST THOMAS,96993
SERENA MEDICAL SUPPLIES INC,VI,ST THOMAS,2694
SIDNEY COMISSIONG,VI,ST THOMAS,9855
SILVINA SALVO MD PC,VI,ST THOMAS,571
ST THOMAS NEUROLOGY PLLC,VI,ST THOMAS,18144
ST THOMAS RADIOLOGY ASSOCIATES LLC,VI,ST THOMAS,79905
"THERAPY WORKS, LLC",VI,ST THOMAS,16285
THOMAS JOYAL,VI,ST THOMAS,1610
TRADEWINDS CHIROPRACTIC,VI,ST THOMAS,639
VI GOVERNMENT HOSPITAL & HEALTH FACILITIES CORP,VI,ST THOMAS,10163701
VI NEUROLOGICAL MEDICAL GROUP INC.,VI,ST THOMAS,30372
VI ORAL SURGERY INC,VI,ST THOMAS,37226
VIGI LLC,VI,ST THOMAS,4844
VIRGIN ISLAND ORTHOPEDICS AND SPORTS MEDICINE P C,VI,ST THOMAS,76779
"VIRGIN ISLANDS EAR, NOSE &AMP; THROAT",VI,ST THOMAS,111168
"VIRGIN ISLANDS ONCOLOGY & HEMATOLOGY, PC",VI,ST THOMAS,220411
WALTER ROHLOFF,VI,ST THOMAS,7862
WILSON HEALTHCARE CONSULTANTS,VI,ST THOMAS,35917
CHRISTINE LLOYD,VI,ST. THOMAS,1071
LINDA CALLWOOD,VI,ST. THOMAS,5592
SESHAGARI ALLA,VI,ST. THOMAS,145
VI KIDNEY CENTER INC,VI,ST. THOMAS,9367
ST. THOMAS CLINICAL REFERENCE LABORATORY,VI,USVI,206100
"SHENANDOAH HEAD AND NECK SPECIALISTS, PLC",VI,WINCHESTER,45205
