Provider Name,State,City,Payment
"ALBURG VOLUNTEER FIRE DEPARTMENT, INC.",VT,ALBURG,3113
ASSOCIATES IN RADIOLOGY OF PLATTSBURGH NY PC,VT,ALBURGH,131151
ROBERT WOLFORD,VT,ALBURGH,1694
ARLINGTON RESCUE SQUAD INC,VT,ARLINGTON,7494
BATTENKILL VALLEY HEALTH CENTER INC,VT,ARLINGTON,138084
PAULA SHULMAN,VT,ARLINGTON,1169
ACCENT ORTHODONTICS INC,VT,BARRE,10186
"BARRE DENTISRY &AMP; IMPLANTS, PLC",VT,BARRE,29322
BARRE GARDENS NURSING AND REHAB,VT,BARRE,768782
BARRE PHARMACY LLC,VT,BARRE,939
BENJAMIN WELCH,VT,BARRE,2323
CAREY YEATON,VT,BARRE,480
CARL HILTON VANOSDALL,VT,BARRE,76
"CENTRAL VERMONT HOME HEALTH & HOSPICE, INC.",VT,BARRE,660419
"CENTRAL VERMONT MEDICAL CENTER, INC.",VT,BARRE,18145954
"CENTRAL VERMONT ORTHODONTICS, PLC",VT,BARRE,36382
CHOICE PHYSICAL THERAPY,VT,BARRE,52507
CHRISTOPHER HENDERSON,VT,BARRE,1302
CITY OF BARRE,VT,BARRE,20905
CURTIS HEALEY,VT,BARRE,1315
DANIEL WOODCOCK,VT,BARRE,1469
DAVID RIPLEY,VT,BARRE,11299
DAVID W BUTSCH MD PROF CORP,VT,BARRE,1167
EASTER SEALS VERMONT INC.,VT,BARRE,1386
ERIC FRIEDMAN,VT,BARRE,876
"GEORGE & KOCH DENTAL ASSOCIATES, PC",VT,BARRE,239691
JENNIE HOLDEN PLC,VT,BARRE,2216
JULIE BRADSHAW,VT,BARRE,1771
KARIN SEIDEL,VT,BARRE,838
KATHERINE BRAMHALL,VT,BARRE,1285
LOUIS J CASSANI,VT,BARRE,275
MARIE I. FORTIER,VT,BARRE,5527
MEDOPTIONS OF VERMONT LLC,VT,BARRE,25110
MELANIE LEGEROS,VT,BARRE,113
NEW ENGLAND ORAL SURGERY PC,VT,BARRE,263716
NICHOLAS MARCONI,VT,BARRE,587
REGINA TRAILWEAVER,VT,BARRE,1735
RICHARD C WOLLENSAK DDS,VT,BARRE,15360
"STEPHANIE LANDVATER, MD PLC",VT,BARRE,2639
TOWN OF BARRE,VT,BARRE,55908
Z JIA DMD PLLC,VT,BARRE,18053
"KINGDOM REHAB CENTER, LLC",VT,BARTON,951303
PAUL BERARD,VT,BARTON,758
"DAVID M HEYDENREICH DMD, PC",VT,BELLOWS FALLS,12828
DR. VERNON R. TEMPLE,VT,BELLOWS FALLS,3849
"GREATER FALLLS PHARMACY, INC.",VT,BELLOWS FALLS,1775
"JAHANGIR MOZAFFARI, DDS, PLLC",VT,BELLOWS FALLS,20387
JORDAN RIVER DENTAL LTD,VT,BELLOWS FALLS,12391
RICHARD DOUCET LICSW LLC,VT,BELLOWS FALLS,850
TIMOTHY JOHNSON,VT,BELLOWS FALLS,13751
VALARIE MCGETTIGAN,VT,BELLOWS FALLS,2199
WALTER GRIFFITHS,VT,BELLOWS FALLS,7409
ADVANCED EYECARE PC,VT,BENNINGTON,132681
AMANDA BURROWS,VT,BENNINGTON,432
ANGELA WINGATE,VT,BENNINGTON,6326
ASA MORIN,VT,BENNINGTON,34
"BENNINGTON DENTAL CENTER, PC",VT,BENNINGTON,19184
BETH HALPERN,VT,BENNINGTON,1516
CHIRO MED & REHAB,VT,BENNINGTON,7433
"CLINICAL NEUROSCIENCE RESEARCH ASSOCIATES, INC",VT,BENNINGTON,13559
CM HEALTHCARE LLC,VT,BENNINGTON,605701
DAVID BROWN,VT,BENNINGTON,2017
DAVID MELLINGER,VT,BENNINGTON,4871
DR. NANCY L. BURNS PC,VT,BENNINGTON,3900
ELIZABETH FREDLAND,VT,BENNINGTON,662
ERIC SEYFERTH,VT,BENNINGTON,12016
EXTENDED CARE PHARMACY LLC,VT,BENNINGTON,347
GRACE WILSON,VT,BENNINGTON,714
"GREEN MOUNTAIN PEDIATRICS, PC",VT,BENNINGTON,26711
KATHLEEN THUNBERG,VT,BENNINGTON,1521
KRISTEN MUNSON,VT,BENNINGTON,2066
LESLIE GLAZER,VT,BENNINGTON,1716
LISA CATAPANO FRIEDMAN,VT,BENNINGTON,535
LOUIS PROPP,VT,BENNINGTON,192
"MANINDRA N GHOSH, M.D., PLLC",VT,BENNINGTON,17055
MARJORIE LAROWE,VT,BENNINGTON,1626
MARY JEAN SADLAK PHD PC,VT,BENNINGTON,3057
MARY MAZZOLA,VT,BENNINGTON,2389
MOUNT ANTHONY HOUSING CORPORATION,VT,BENNINGTON,1109499
NORA G PARSONS,VT,BENNINGTON,748
PHARMACY INC,VT,BENNINGTON,10056
PROGRESSIVE PHYSICAL THERAPY LLC,VT,BENNINGTON,3411
RICHARD DONELA,VT,BENNINGTON,3265
RUTH MYERS,VT,BENNINGTON,418
"SALEM DENTISTRY, PC",VT,BENNINGTON,21996
SHERIDAN HEALTHCARE OF VERMONT INC,VT,BENNINGTON,31250
SHIRKSHIRE COUNSELING PLC,VT,BENNINGTON,591
