Provider Name,State,City,Payment
"ABBOTSFORD PHARMACY, INC.",WI,ABBOTSFORD,34
BEDROCK HCS AT ABBOTSFORD LLC,WI,ABBOTSFORD,530551
BOREALIS WELLNESS CLINIC LLC,WI,ABBOTSFORD,2385
CENTRAL FIRE & EMS DISTRICT,WI,ABBOTSFORD,7562
ENGEL CHIROPRACTIC LLC,WI,ABBOTSFORD,1692
"FIRST CITY DENTAL OF ABBOTSFORD, SC",WI,ABBOTSFORD,98662
ADAMS FAMILY DENTISTRY LLC,WI,ADAMS,110637
ADAMS-FRIENDSHIP FAMILY CHIROPRACTIC LLC,WI,ADAMS,1411
NORTHLAND COMMUNITY SERVICES INC.,WI,ADAMS,7937
SHERRY BAUMGART,WI,ADAMS,872
"ALBANY AREA EMS, INC",WI,ALBANY,2633
ABUNDANT LIFE COUNSELING & RENEWAL CENTER LLC,WI,ALGOMA,53
ALGOMA HOMETOWN PHARMACY LLC,WI,ALGOMA,1795
ALGOMA MEDICAL CENTER,WI,ALGOMA,354714
"B'WEL CHIROPRACTIC & HEALTH ASSOCIATES, INC.",WI,ALGOMA,481
CITY OF ALGOMA,WI,ALGOMA,28021
"EAST SHORE INDUSTRIES, INC.",WI,ALGOMA,19400
"LAKESHORE VISION CENTERS, LTD",WI,ALGOMA,23253
"LIGHTHOUSE CHIROPRACTIC, LLC",WI,ALGOMA,642
"ALLENTON VOLUNTEER FIRE DEPARTMENT, INC.",WI,ALLENTON,2352
MB COUNSELING CENTER OF WEST BEND LLC,WI,ALLENTON,2074
WESTERN BUFFALO COUNTY AMBULANCE SERVICE,WI,ALMA,1739
"AUTISM AND BEHAVIOR CENTER, INC.",WI,ALTOONA,29988
CHIPPEWA VALLEY ORTHOPEDICS AND SPORTS MEDICINE CLINIC SC,WI,ALTOONA,487133
DEFATTA ENT & FACIAL PLASTIC SURGERY SC,WI,ALTOONA,79431
"ESH ENTERPRISES, LLC",WI,ALTOONA,49336
"FRIE OPTOMETRY, LLC",WI,ALTOONA,1900
GRACE HOME RESPIRATORY INC,WI,ALTOONA,76872
"KENYON FAMILY DENTAL, SC",WI,ALTOONA,26696
LILA A CROSS AFH,WI,ALTOONA,1428
NORTHWOODS SPORT & HAND INC,WI,ALTOONA,68713
OAK LEAF SURGICAL HOSPITAL LLC,WI,ALTOONA,2203265
ORAL AND MAXILLOFACIAL SURGERY ASSO OF EAU CLAIRE SC,WI,ALTOONA,1383
SPRINGBROOK COMMUNITY ASSISTED LIVING INC,WI,ALTOONA,98974
SPRINGBROOK VILLAGE OF LA CRESCENT LLC,WI,ALTOONA,311687
"TONY P MARTIN DDS, SC",WI,ALTOONA,124912
A K KARPENSKI LLC,WI,AMERY,4972
AMERY CHIROPRACTIC LLC,WI,AMERY,2255
AMERY REGIONAL MEDICAL CENTER INC,WI,AMERY,5561712
"CHET JOHNSON DRUGS, INC.",WI,AMERY,7540
CHRISTOPHERSON EYE CLINIC,WI,AMERY,215
DENTAL ARTS S.C.,WI,AMERY,50930
FAMILY EYE INC,WI,AMERY,18835
JACQUELINE PETERSON,WI,AMERY,721
MUNICIPAL AMBULANCE SERVICE D/B/A AMERY AREA EMS,WI,AMERY,28772
"RIVER PLACE DENTAL, INC.",WI,AMERY,44678
TERRY LYNN CHRISTOPHERSON,WI,AMERY,1832
TODD FLOM,WI,AMERY,940
AMHERST CHIROPRACTIC LLC,WI,AMHERST,466
COMPASS CHIROPRACTIC AND WELLNESS SC,WI,AMHERST,1246
"MICHAEL D WESSELL, SC",WI,AMHERST,12611
"ROBERTS & ASSOCIATES PHYSICAL THERAPY, S.C.",WI,AMHERST,46493
ANTIGO CHIROPRACTIC HEALTH CENTER INC,WI,ANTIGO,1191
"ANTIGO DENTAL CLINIC, LLC",WI,ANTIGO,132583
ANTIGO FAMILY CHIROPRACTIC CENTER LLC,WI,ANTIGO,1156
ANTIGO MEDICAL BUILDING LLC,WI,ANTIGO,54623
ANTIGO VISION CLINIC SC,WI,ANTIGO,14815
BULA CHIROPRACTIC LLC,WI,ANTIGO,335
