Provider Name,State,City,Payment
ALDERSON VOLUNTEER FIRE DEPARTMENT INC,WV,ALDERSON,7286
MARILYN GLASER,WV,ALDERSON,11691
"ALUM CREEK MEDICAL CENTER, INC.",WV,ALUM CREEK,48245
TOWN OF ANMOORE,WV,ANMOORE,28513
SUMMERSVILLE OUT PATIENT CENTER,WV,ANSTED,5065
HOSPICE CARE CORPORATION,WV,ARTHRUDALE,535323
CAPITAL PALLIATIVE CARE CONSULTANTS LLC,WV,ARTHURDALE,64689
CHARLES E LANE JR.,WV,ATHENS,13169
CHARLES E LANE JR.,WV,ATHENS,66224
AUGUSTA VOLUNTEER RESCUE SQUAD INC,WV,AUGUSTA,7205
HAMPSHIRE COUNTY BOARD OF HEALTH,WV,AUGUSTA,980
"JACOB'S LADDER AT BROOKSIDE FARM, LLC",WV,AURORA,22445
E A HAWSE HEALTH CENTER INC,WV,BAKER,1431225
HARDY COUNTY EMERGENCY AMBULANCE AUTHORITY,WV,BAKER,9596
WENDY Z TREADWAY,WV,BAKER,638
304 CHIROPRACTIC PLLC,WV,BARBOURSVILLE,62
ALDERMAN & ASSOCIATES PLLC,WV,BARBOURSVILLE,6865
AMY A VAUGHAN DERMATOLOGY PLLC,WV,BARBOURSVILLE,36547
"BEST HOME MEDICAL, INC.",WV,BARBOURSVILLE,26907
CHATEAU GROVE INC.,WV,BARBOURSVILLE,29005
DISCOUNT EMPORIUM INC,WV,BARBOURSVILLE,856
HARRIS CHIROPRACTIC INC,WV,BARBOURSVILLE,149691
MARK COX,WV,BARBOURSVILLE,570
MARK D COX OD,WV,BARBOURSVILLE,85
"MIDLAND BEHAVIORAL HEALTH, INC.",WV,BARBOURSVILLE,15198
OASIS ANESTHESIA LLC,WV,BARBOURSVILLE,49447
OASIS BEHAVIORAL HEALTH SERVICES LLC,WV,BARBOURSVILLE,3070
OVERSTREET FAMILY CHIROPRACTIC,WV,BARBOURSVILLE,2466
RAJA MEDICAL PLLC,WV,BARBOURSVILLE,7257
ROBERT BALLARD,WV,BARBOURSVILLE,461
"S. GLENN BAILEY, O.D., INC.",WV,BARBOURSVILLE,63030
SHORT CHIROPRACTIC INC,WV,BARBOURSVILLE,19959
STONERISE RELIABLE HEALTHCARE LLC,WV,BARBOURSVILLE,398475
"STULTZ SLEEP STUDY SERVICES, PLLC",WV,BARBOURSVILLE,19321
"THE VILLAGE AT RIVERVIEW, INC.",WV,BARBOURSVILLE,58349
"VALLEY MEDICAL EQUIPMENT, INC.",WV,BARBOURSVILLE,22117
"VILLAGE CAREGIVING, LLC",WV,BARBOURSVILLE,146650
ANCHOR MEDICAL LLC,WV,BEAVER,3820
BACK TO HEALTH CHIROPRACTIC INC,WV,BEAVER,2047
"DAVID A. MCCORMACK, DDS INC.",WV,BEAVER,17560
HEALTH TEAM CRITICAL CARE TRANSPORT,WV,BEAVER,247462
M. I. DABABNAH M.D. INC.,WV,BEAVER,13696
"RAINBOW PEDIATRICS, INC.",WV,BEAVER,44889
SOUTHEASTERN EMERGENCY PHYSICIANS LLC,WV,BECKELY,2174461
