Provider Name,State,City,Payment
"ADVANCED DERMATOLOGY OF WYOMING, INC",WY,AFTON,52681
ASPEN HILLS DENTAL LLC,WY,AFTON,21305
ASPEN PHYSICAL THERAPY LLC,WY,AFTON,18167
AURALCARE HEARING CENTERS OF AMERICA LLC,WY,AFTON,424
BRANDON HENSCHEID,WY,AFTON,5632
BROULIM SUPERMARKETS LLC,WY,AFTON,8642
HIGH COUNTRY BEHAVIORAL HEALTH,WY,AFTON,140870
KELLY MEYER,WY,AFTON,259
"LINCOLN SELF RELIANCE, INC.",WY,AFTON,84184
MARY MCCARTHY,WY,AFTON,402
NORTH LINCOLN COUNTY HOSPITAL DISTRICT,WY,AFTON,6195876
STAR VALLEY CHIROPRACTIC PC,WY,AFTON,667
STAR VALLEY MEDICAL SUPPLY LLC,WY,AFTON,12650
"VOSS VISION, LLC",WY,AFTON,21464
TOWN OF ALBIN,WY,ALBIN,241
ALPINE EMS INC,WY,ALPINE,888
OUR VALLEY PHARMACY,WY,ALPINE,2668
KN CASE MANAGEMENT & SERVICES LLC,WY,ARAPAHOE,1587
WIND RIVER FAMILY & COMMUNITY HEALTH CARE,WY,ARAPAHOE,3193466
LITTLE SNAKE RIVER EMERGENCY MEDICAL SERVICES,WY,BAGGS,913
BASIN PHARMACY,WY,BASIN,1276
SOUTH BIG HORN COUNTY HOSPITAL DISTRICT,WY,BASIN,3670094
STATE OF WYOMING,WY,BASIN,3170959
VIRGINIA STARR,WY,BIG HORN,92
SUBLETTE COUNTY RURAL HEALTH CARE DISTRICT,WY,BIG PINEY,62548
"BUFFALO CHIROPRACTIC, LLC",WY,BUFFALO,3617
BUFFALO PRESCRIPTION SHOP INC,WY,BUFFALO,1551
"COTANT FAMILY DENTISTRY, P.C.",WY,BUFFALO,31008
DANA WILSON HILL,WY,BUFFALO,209
FAMILY MEDICAL CENTER,WY,BUFFALO,9012
HEIN DENTAL,WY,BUFFALO,22773
JOHNSON COUNTY AMBULANCE RURAL HEALTHCARE,WY,BUFFALO,11729
JOHNSON COUNTY MEMORIAL HOSPITAL,WY,BUFFALO,4338678
"RHONDA MONEY, MSW, LLC",WY,BUFFALO,1252
SHERWOOD GROUP INC.,WY,BUFFALO,48787
SILVER LINING COUNSELING,WY,BUFFALO,2103
"SUMMIT PSYCHOLOGICAL SERVICES, LLC",WY,BUFFALO,2486
TIMOTHY BLANEY,WY,BUFFALO,433
VISION CENTER OF JOHNSON COUNTY PC,WY,BUFFALO,7000
TOWN OF BURNS,WY,BURNS,54
307 CHIROPRACTIC HEALTH CENTER PC,WY,CASPER,215
307 PHYSICAL THERAPY,WY,CASPER,11183
ACM THERAPY GROUP LLC,WY,CASPER,145572
ALEECE GUTIERREZ,WY,CASPER,1756
AMY BERRY,WY,CASPER,88
ANNE MACGUIRE,WY,CASPER,6562
ASPEN CREEK COUNSELING,WY,CASPER,2307
ASPEN RIDGE DENTAL LLC,WY,CASPER,59270
AUTUMN WELLS,WY,CASPER,1023
"BENJAMIN LEEPER DDS, PC",WY,CASPER,15204
BODY N MOTION,WY,CASPER,1930
BRENNA GATIMU,WY,CASPER,703
BRYAN COLLINS,WY,CASPER,5279
"BRYANT W. STOWE, DDS, MS, LLC",WY,CASPER,17684
"BURKE & BURKE, MD, PC",WY,CASPER,16554
CASPER CARDIOLOGY,WY,CASPER,59397
"CASPER CHILDREN'S CENTER, LLC",WY,CASPER,134081
CASPER GENERAL SURGERY LLC,WY,CASPER,4186
CASPER HOME HEALTH LLC,WY,CASPER,28992
"CASPER MEDICAL IMAGING, P.C.",WY,CASPER,209887
CASPER MOUNTAIN CHIROPRACTIC LLC,WY,CASPER,1240
CASPER OPCO LLC,WY,CASPER,865952
CASPER ORTHOPEDIC ASSOCIATES PC,WY,CASPER,326027
CASPER VISION CENTER PC,WY,CASPER,22264
"CASPER WOMEN'S CARE, PC",WY,CASPER,1293
"CATHY BERENS, PC",WY,CASPER,554
CEDAR RIDGE CHILD AND FAMILY COUNSELING LLC,WY,CASPER,15315
CEDARS HEALTH,WY,CASPER,45768
CENTRAL WYOMING COUNSELING CENTER,WY,CASPER,61189
CENTRAL WYOMING HOSPICE PROGRAM,WY,CASPER,191332
CENTRAL WYOMING NEUROLOGY LLC,WY,CASPER,18588
CENTRAL WYOMING OPTOMETRIC CENTER PC,WY,CASPER,5930
"CENTRAL WYOMING OUTPATIENT SURGERY CENTER, LLC",WY,CASPER,53488
CENTRAL WYOMING SKIN CLINIC,WY,CASPER,375490
"CENTRAL WYOMING THERAPY, LLC",WY,CASPER,9111
"CENTRAL WYOMING UROLOGICAL ASSOCIATES, PC",WY,CASPER,88127
CHARLES WOODRUFF,WY,CASPER,1070
CITY OF CASPER-NATRONA COUNTY HEALTH DEPTARTMENT,WY,CASPER,998
COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY,WY,CASPER,1731
COMMUNITY HEALTH CENTER OF CENTRAL WYOMING INC.,WY,CASPER,795493
"COMPLETE PHYSICAL THERAPY, LLC",WY,CASPER,10790
DANIEL STAIGHT,WY,CASPER,419
"DAVID A BAXTER IV, MD, PC",WY,CASPER,3846
DAVID ELLBOGEN PC,WY,CASPER,14512
DEER CREEK DENTISTRY,WY,CASPER,38473
"DONNA NURSS, P.C.",WY,CASPER,277
"ELITE THERAPY SERVICES, LLC",WY,CASPER,40859
"EMERGENCY MEDICAL PHYSICIANS, PC DBA EMP P.C.",WY,CASPER,429585
EMOTIONAL WELLNESS COUNSELING LLC,WY,CASPER,1372
EPSILON HEALTH SOLUTIONS LLC,WY,CASPER,133148
"ERIC SIITERI, PHD, LLC",WY,CASPER,2076
"ERIN M PRACH DDS, LLC",WY,CASPER,9996
EYE CENTER OF NORTHERN COLORADO PC,WY,CASPER,747981
FAMILY CLINIC,WY,CASPER,8054
"FAMILY VISION & CONTACT LENS CLINIC, LLC",WY,CASPER,36582
FOOT DOCTOR PC,WY,CASPER,25342
"FOUNDATIONS OF HOPE, HEALTH, AND WELLNESS, LLC",WY,CASPER,867
FRONTIER BEHAVIORAL HEALTH LLC,WY,CASPER,1449
FRONTIER EYE CARE LLC,WY,CASPER,17494
GASTROENTEROLOGY ASSOCIATES PC,WY,CASPER,342522
HEALING TREE COUNSELING LLC,WY,CASPER,3208
HIGH COUNTRY ORTHOTICS & PROSTHETICS,WY,CASPER,5700
"INSTACARE CENTER OF WYOMING - WEST, INC.",WY,CASPER,669
INTERMOUNTAIN HOME COMPANIONS,WY,CASPER,70570
JENNIFER GREENUP,WY,CASPER,2088
JENSEN EYE CARE LLC,WY,CASPER,6906
JOE SCHOEBER,WY,CASPER,6200
KAROL SANTISTEVAN,WY,CASPER,6
"KATRAE MJ, LLC",WY,CASPER,11976
KENNETH BELL,WY,CASPER,2175
"KENNETH K. MORSE, P.C.",WY,CASPER,4084
"KINTSUGI PSYCHIATRY, LLC",WY,CASPER,677
KODIAK ANESTHESIA PC,WY,CASPER,131
LARSEN VISION CLINIC PC,WY,CASPER,21665
LISA THOMAS,WY,CASPER,2525
"LOGOS SPEECH THERAPY, INC.",WY,CASPER,2149
LOREN THIEL,WY,CASPER,1216
LORRIE LEE WELLS,WY,CASPER,435
MILLER CHIROPRACTIC CLINIC PC,WY,CASPER,993
MOHR HEALTHCARE SOLUTIONS,WY,CASPER,34065
MOUNTAIN VIEW ANESTHESIA LLC,WY,CASPER,1504
"MOUNTAIN VIEW AUDIOLOGY, LLC",WY,CASPER,5421
"NANCY ROBERTSON THERAPY, LLC",WY,CASPER,7097
NORTH PLATTE PATHOLOGY LLC,WY,CASPER,197
